held_out,lead_s,aesindy_skill,persistence_skill,n_forecasts
fixation,0.0,0.19884500012231374,1.0,234
fixation,0.004,0.25911452011257047,0.9752738694311341,234
fixation,0.008,0.2667007598168532,0.9136943325744702,234
fixation,0.012,0.23708566710298298,0.8265996757286783,234
fixation,0.016,0.19239681605111766,0.7211956092130319,234
fixation,0.02,0.1490001360918458,0.6106463573259923,234
fixation,0.024,0.11545938035881258,0.511264514111598,234
fixation,0.028,0.09467134604415398,0.43439597565133764,234
fixation,0.032,0.08702731653545862,0.38462066886819196,234
fixation,0.036000000000000004,0.09203254040959566,0.3618182924328436,234
fixation,0.04,0.10740710840373863,0.3621815616681066,234
fixation,0.044,0.1280259605250638,0.3787187195191947,234
fixation,0.048,0.1473993185578199,0.4030766769418773,234
fixation,0.052000000000000005,0.15985192185739713,0.4270476432201618,234
fixation,0.056,0.16213718925267856,0.4433554362196964,234
fixation,0.06,0.15534256979248756,0.4488525588835255,234
fixation,0.064,0.14499995301053592,0.4473068304286946,234
fixation,0.068,0.1372437818797546,0.4454060822508921,234
fixation,0.07200000000000001,0.13503729626591576,0.44640378387373447,234
fixation,0.076,0.13752649262804847,0.4480857376796761,234
fixation,0.08,0.1413729493650802,0.4457570130672189,234
fixation,0.084,0.1429030572168704,0.4385484683920809,234
fixation,0.088,0.1399872537089007,0.43175115110580453,234
fixation,0.092,0.13236838476868104,0.430626680559745,234
fixation,0.096,0.1214385498868413,0.4344846650966007,234
fixation,0.1,0.10974072392341909,0.43830829023026724,234
fixation,0.10400000000000001,0.09957270829495052,0.43757398388891783,234
fixation,0.108,0.09247253210810275,0.43050537272965717,234
fixation,0.112,0.0903309369059875,0.4184894198905052,234
fixation,0.116,0.09564940728635078,0.40514452035810294,234
fixation,0.12,0.11021981648633128,0.39376676650327413,234
fixation,0.124,0.13368312093345983,0.38522549686886476,234
fixation,0.128,0.16278540645114056,0.3780521900693912,234
fixation,0.132,0.19152222096774266,0.3709824946552829,234
fixation,0.136,0.21321925236347897,0.36560498509664235,234
fixation,0.14,0.22315977368657586,0.3654536873682226,234
fixation,0.14400000000000002,0.22009351223360357,0.3720350761147907,234
fixation,0.148,0.20662093090837488,0.3826387074213994,234
fixation,0.152,0.1893334322288566,0.392582056094918,234
fixation,0.156,0.17624940663188143,0.3981864539970298,234
fixation,0.16,0.1723663052709428,0.3961853785259179,234
fixation,0.164,0.17711354740787433,0.38300111777384666,234
fixation,0.168,0.18514388924279787,0.35792144246875746,234
fixation,0.17200000000000001,0.18938343280175127,0.32519638403448087,234
fixation,0.176,0.18393958184425055,0.2912877316444221,234
fixation,0.18,0.16622817409537785,0.2617146496834379,234
fixation,0.184,0.1390349171844128,0.24009623148709905,234
fixation,0.188,0.11047812266059487,0.22803608769377662,234
fixation,0.192,0.09135612838363542,0.2253886184521547,234
fixation,0.196,0.08989188712403236,0.23076641379954235,234
fixation,0.2,0.10731929258540018,0.24105055239331785,234
fixation,0.20400000000000001,0.13567220952408965,0.250381738481237,234
fixation,0.20800000000000002,0.15964072604813428,0.2519118924566964,234
fixation,0.212,0.16646677498048928,0.24263348238759594,234
fixation,0.216,0.154987612833091,0.22545892334830722,234
fixation,0.22,0.1345269320113695,0.20624600417908487,234
fixation,0.224,0.11676463393473545,0.19060072953448945,234
fixation,0.228,0.11140685954211492,0.18307493507673242,234
fixation,0.232,0.12366500006586155,0.18653017824591103,234
fixation,0.23600000000000002,0.15111194777617656,0.199605573261555,234
fixation,0.24,0.18272664933412072,0.21537618149999413,234
fixation,0.244,0.20645748876462244,0.22636382020011545,234
fixation,0.248,0.21663437512430694,0.22915923028777344,234
fixation,0.252,0.2118302294459297,0.22224277088897548,234
fixation,0.256,0.19295782612513743,0.20495807916809375,234
fixation,0.26,0.16233855176483822,0.1808237398350696,234
fixation,0.264,0.1259870852691196,0.1590328595531024,234
fixation,0.268,0.0913371885583534,0.1496244713351874,234
fixation,0.272,0.06508922744341988,0.1565006898992881,234
fixation,0.276,0.05233053285642952,0.17493365623921373,234
fixation,0.28,0.05125712753664711,0.19447157498405068,234
fixation,0.28400000000000003,0.0598586050715155,0.20417890801111419,234
fixation,0.28800000000000003,0.07288251868293026,0.19793782701819884,234
fixation,0.292,0.08569902435872928,0.17779754335435827,234
fixation,0.296,0.09625185926980079,0.15171174485430478,234
fixation,0.3,0.10696627561630785,0.12704714433553452,234
fixation,0.304,0.11511285958208631,0.10690112661126025,234
fixation,0.308,0.12174167270050418,0.09050324234495953,234
fixation,0.312,0.1242366040122662,0.07508346466203698,234
fixation,0.316,0.12006577050558448,0.05847295947095954,234
fixation,0.32,0.1102525307552026,0.04146915984659039,234
fixation,0.324,0.09664112272405297,0.027846490578479408,234
fixation,0.328,0.08428532604088275,0.021675525382553656,234
fixation,0.332,0.07847186818143202,0.024124000730791337,234
fixation,0.336,0.08180459362099589,0.032450814213472554,234
fixation,0.34,0.09495463409594866,0.04179295951709678,234
fixation,0.34400000000000003,0.10562207186898413,0.04749625577396523,234
fixation,0.34800000000000003,0.10538212334790154,0.04824866983952252,234
fixation,0.352,0.0991532468389103,0.049210247210480236,234
fixation,0.356,0.0850034791517231,0.058900359735561895,234
fixation,0.36,0.07985125889673451,0.08264572065090778,234
fixation,0.364,0.07165607448319145,0.11757216276225887,234
fixation,0.368,0.07564216715851894,0.1510714648092826,234
fixation,0.372,0.07728645204753373,0.168427575993546,234
fixation,0.376,0.08871693172648137,0.16284946823488392,234
fixation,0.38,0.08349685550520894,0.13726404294127273,234
fixation,0.384,0.07344989675945462,0.10074046106428666,234
fixation,0.388,0.060228371955981415,0.06355779897479445,234
fixation,0.392,0.04946913867057455,0.033065938886635296,234
fixation,0.396,0.03289063992936044,0.011734812063164693,234
fixation,0.4,0.022985598248119903,-0.00258381638600943,234
fixation,0.404,0.018991205371927108,-0.01389470401362312,234
fixation,0.40800000000000003,0.014141811721968866,-0.02419064678395961,234
fixation,0.41200000000000003,0.015918151206540727,-0.031690509982227215,234
fixation,0.41600000000000004,0.018020661610477214,-0.03250628120150187,234
fixation,0.42,0.019974377122576235,-0.024161267773238397,234
fixation,0.424,0.019881749064481886,-0.00831130667750262,234
fixation,0.428,0.047381231050216466,0.008676347112566927,234
fixation,0.432,0.05409708298315396,0.018042401624639093,234
fixation,0.436,0.07235876032412114,0.013499212289531123,234
fixation,0.44,0.09710776102697306,-0.004940788535868781,234
fixation,0.444,0.09017439230540487,-0.03128513410676313,234
fixation,0.448,0.04714806878910864,-0.05675829286948278,234
fixation,0.452,-0.008827742518058583,-0.07411791222730421,234
fixation,0.456,-0.02907877061493855,-0.08120368742453303,234
fixation,0.46,-0.05638629044666914,-0.08009450887807401,234
fixation,0.464,-0.038958770708197095,-0.07351075051531182,234
fixation,0.468,-0.07034503246092992,-0.06305766402881773,234
fixation,0.47200000000000003,0.015651148069478614,-0.050212699036368075,234
fixation,0.47600000000000003,0.007620890928100847,-0.03801506820422014,234
fixation,0.48,0.05602521820015192,-0.030803061349565456,234
fixation,0.484,0.010397876223143308,-0.031874238685494584,234
fixation,0.488,0.04892966828754517,-0.041848891296879034,234
fixation,0.492,0.05508697046713786,-0.058649639190713684,234
fixation,0.496,0.09788574005835791,-0.07808090711037272,234
fixation,0.5,0.08708051322818748,-0.09510161633892134,234
fixation,0.504,0.09268675967047532,-0.1063694827258707,234
fixation,0.508,0.019865549863445204,-0.11114926984853056,234
fixation,0.512,0.030476414829693294,-0.1102685298332959,234
fixation,0.516,0.03970103428499869,-0.10607946619858902,234
fixation,0.52,0.03327512256213155,-0.10202902109372987,234
fixation,0.524,-0.05014891071725186,-0.10002249299546075,234
fixation,0.528,-0.0716140346855356,-0.09850916283279869,234
fixation,0.532,-0.08621480049500094,-0.09376792361247925,234
fixation,0.536,-0.11207138549255123,-0.0832813850306679,234
fixation,0.54,-0.009781489290509246,-0.06840940735666953,234
fixation,0.544,0.0036508183204908263,-0.05368328339275376,234
fixation,0.548,-0.0313840041937669,-0.04373257873512913,234
fixation,0.552,-0.08655080288305791,-0.04113446962910504,234
fixation,0.556,-0.016924250164939723,-0.0459508134879552,234
fixation,0.56,-0.007326974378605226,-0.05624032219914997,234
fixation,0.5640000000000001,-0.023822480064380692,-0.06939298313557257,234
fixation,0.5680000000000001,0.036100628141675306,-0.08316879904916875,234
fixation,0.5720000000000001,0.05197330289053702,-0.09531604049703583,234
fixation,0.5760000000000001,0.013055136982519745,-0.10311531875273426,234
fixation,0.58,-0.014404231082913867,-0.10439930060847033,234
fixation,0.584,-0.011519625179618258,-0.09923845051285393,234
fixation,0.588,0.01835828275563593,-0.09007909015879839,234
