held_out,lead_s,aesindy_skill,persistence_skill,n_forecasts
fixation,0.0,0.6938222594178237,1.0,234
fixation,0.004,0.6345625296901778,0.9752738694311341,234
fixation,0.008,0.5547281080634604,0.9136943325744702,234
fixation,0.012,0.4885452446004007,0.8265996757286783,234
fixation,0.016,0.4338949896133735,0.7211956092130319,234
fixation,0.02,0.38977061785350253,0.6106463573259923,234
fixation,0.024,0.3583202409826535,0.511264514111598,234
fixation,0.028,0.3417381621430262,0.43439597565133764,234
fixation,0.032,0.3420684824050119,0.38462066886819196,234
fixation,0.036000000000000004,0.36065749433363253,0.3618182924328436,234
fixation,0.04,0.39450916594502344,0.3621815616681066,234
fixation,0.044,0.434872273676282,0.3787187195191947,234
fixation,0.048,0.4694782971893891,0.4030766769418773,234
fixation,0.052000000000000005,0.48642996338897426,0.4270476432201618,234
fixation,0.056,0.47882324760146977,0.4433554362196964,234
fixation,0.06,0.45137240337949536,0.4488525588835255,234
fixation,0.064,0.41783278018667264,0.4473068304286946,234
fixation,0.068,0.3899646240423556,0.4454060822508921,234
fixation,0.07200000000000001,0.37015414041020295,0.44640378387373447,234
fixation,0.076,0.35397122739685694,0.4480857376796761,234
fixation,0.08,0.33453706655389165,0.4457570130672189,234
fixation,0.084,0.30790486780941156,0.4385484683920809,234
fixation,0.088,0.2740513339376408,0.43175115110580453,234
fixation,0.092,0.2357527624613548,0.430626680559745,234
fixation,0.096,0.1953728400991434,0.4344846650966007,234
fixation,0.1,0.15530436761846753,0.43830829023026724,234
fixation,0.10400000000000001,0.11796856815854354,0.43757398388891783,234
fixation,0.108,0.08509759015690255,0.43050537272965717,234
fixation,0.112,0.06070135198485681,0.4184894198905052,234
fixation,0.116,0.043579108614258344,0.40514452035810294,234
fixation,0.12,0.03420466240100543,0.39376676650327413,234
fixation,0.124,0.035955698775792674,0.38522549686886476,234
fixation,0.128,0.05379188437864948,0.3780521900693912,234
fixation,0.132,0.08605866007767836,0.3709824946552829,234
fixation,0.136,0.12357786013082112,0.36560498509664235,234
fixation,0.14,0.15576166051032805,0.3654536873682226,234
fixation,0.14400000000000002,0.17612218492908654,0.3720350761147907,234
fixation,0.148,0.18391888513719948,0.3826387074213994,234
fixation,0.152,0.18399651527820507,0.392582056094918,234
fixation,0.156,0.1824968090162476,0.3981864539970298,234
fixation,0.16,0.18225888191990894,0.3961853785259179,234
fixation,0.164,0.1814599968089838,0.38300111777384666,234
fixation,0.168,0.17536082943751408,0.35792144246875746,234
fixation,0.17200000000000001,0.16200197367353694,0.32519638403448087,234
fixation,0.176,0.14319682096693345,0.2912877316444221,234
fixation,0.18,0.12380209156129092,0.2617146496834379,234
fixation,0.184,0.10992471421795208,0.24009623148709905,234
fixation,0.188,0.10900915500991944,0.22803608769377662,234
fixation,0.192,0.12582494882520173,0.2253886184521547,234
fixation,0.196,0.15966107309374178,0.23076641379954235,234
fixation,0.2,0.20469341359240864,0.24105055239331785,234
fixation,0.20400000000000001,0.24639910727850606,0.250381738481237,234
fixation,0.20800000000000002,0.271439126361823,0.2519118924566964,234
fixation,0.212,0.2746286579738446,0.24263348238759594,234
fixation,0.216,0.26038087763529905,0.22545892334830722,234
fixation,0.22,0.23841094312194702,0.20624600417908487,234
fixation,0.224,0.2184873659808417,0.19060072953448945,234
fixation,0.228,0.20786626393777508,0.18307493507673242,234
fixation,0.232,0.20902466115853852,0.18653017824591103,234
fixation,0.23600000000000002,0.2152400883676979,0.199605573261555,234
fixation,0.24,0.21291910384039078,0.21537618149999413,234
fixation,0.244,0.1948773909852395,0.22636382020011545,234
fixation,0.248,0.16501713468623383,0.22915923028777344,234
fixation,0.252,0.1301145913549959,0.22224277088897548,234
fixation,0.256,0.09617583686668708,0.20495807916809375,234
fixation,0.26,0.068200636750258,0.1808237398350696,234
fixation,0.264,0.05164562797465978,0.1590328595531024,234
fixation,0.268,0.05014164140048888,0.1496244713351874,234
fixation,0.272,0.06312382429053447,0.1565006898992881,234
fixation,0.276,0.08540675557032901,0.17493365623921373,234
fixation,0.28,0.10863802452668,0.19447157498405068,234
fixation,0.28400000000000003,0.12451629282838689,0.20417890801111419,234
fixation,0.28800000000000003,0.12786269202952297,0.19793782701819884,234
fixation,0.292,0.11952204531276053,0.17779754335435827,234
fixation,0.296,0.10443582399614355,0.15171174485430478,234
fixation,0.3,0.08598226359128307,0.12704714433553452,234
fixation,0.304,0.06341126470118388,0.10690112661126025,234
fixation,0.308,0.034543259928302664,0.09050324234495953,234
fixation,0.312,-0.00016916911807629174,0.07508346466203698,234
fixation,0.316,-0.035854450178118696,0.05847295947095954,234
fixation,0.32,-0.06519811033603132,0.04146915984659039,234
fixation,0.324,-0.0825628202311829,0.027846490578479408,234
fixation,0.328,-0.08676322932239795,0.021675525382553656,234
fixation,0.332,-0.08115255233439317,0.024124000730791337,234
fixation,0.336,-0.07104807283598731,0.032450814213472554,234
fixation,0.34,-0.06024994497330588,0.04179295951709678,234
fixation,0.34400000000000003,-0.05033117958196842,0.04749625577396523,234
fixation,0.34800000000000003,-0.042267802027250514,0.04824866983952252,234
fixation,0.352,-0.0361655188783936,0.049210247210480236,234
fixation,0.356,-0.029264050442468565,0.058900359735561895,234
fixation,0.36,-0.016853754538627225,0.08264572065090778,234
fixation,0.364,0.0031686967814018854,0.11757216276225887,234
fixation,0.368,0.025458454831911385,0.1510714648092826,234
