lead_s,skill,persistence,amplitude_ratio,growth_factor
0,0.693822,1,0.726404,1
0.004,0.634563,0.975274,0.697591,0.979388
0.008,0.554728,0.913694,0.693046,1.13301
0.012,0.488545,0.8266,0.702994,1.28461
0.016,0.433895,0.721196,0.723494,1.43013
0.02,0.389771,0.610646,0.753412,1.51118
0.024,0.35832,0.511265,0.792115,1.6169
0.028,0.341738,0.434396,0.83878,1.70562
0.032,0.342068,0.384621,0.88924,1.69533
0.036,0.360657,0.361818,0.937886,1.73375
0.04,0.394509,0.362182,0.982323,1.75062
0.044,0.434872,0.378719,1.02608,1.76362
0.048,0.469478,0.403077,1.07578,1.90552
0.052,0.48643,0.427048,1.13318,1.9194
0.056,0.478823,0.443355,1.19032,2.03414
0.06,0.451372,0.448853,1.23856,2.03828
0.064,0.417833,0.447307,1.28023,2.01961
0.068,0.389965,0.445406,1.32802,2.16283
0.072,0.370154,0.446404,1.39411,2.39717
0.076,0.353971,0.448086,1.47926,2.49759
0.08,0.334537,0.445757,1.57104,2.94467
0.084,0.307905,0.438548,1.65838,3.4911
0.088,0.274051,0.431751,1.74494,4.0184
0.092,0.235753,0.430627,1.83802,4.66285
0.096,0.195373,0.434485,1.93865,5.33728
0.1,0.155304,0.438308,2.05146,6.11293
0.104,0.117968,0.437574,2.18473,7.04382
0.108,0.0850973,0.430505,2.3342,7.59588
0.112,0.0607009,0.418489,2.49092,8.2513
0.116,0.0435787,0.405145,2.63814,9.18756
0.12,0.0342044,0.393767,2.78054,9.80995
0.124,0.0359554,0.385225,2.93535,10.539
0.128,0.0537916,0.378052,3.1161,11.2952
0.132,0.0860585,0.370982,3.32929,12.2941
0.136,0.123578,0.365605,3.58033,13.379
0.14,0.155762,0.365454,3.87878,14.2484
0.144,0.176122,0.372035,4.24086,14.7135
0.148,0.183919,0.382639,4.67093,15.4276
0.152,0.183996,0.392582,5.17122,15.7669
0.156,0.182497,0.398186,5.75597,15.7477
0.16,0.182259,0.396185,6.43072,15.6178
0.164,0.18146,0.383001,7.17033,15.506
0.168,0.175361,0.357921,7.9569,15.742
0.172,0.162002,0.325196,8.84175,15.2082
0.176,0.143197,0.291288,9.88754,15.0688
0.18,0.123802,0.261715,11.1036,14.6024
0.184,0.109925,0.240096,12.4595,13.9839
0.188,0.109009,0.228036,13.9616,13.5808
0.192,0.125825,0.225389,15.6777,13.5758
0.196,0.159661,0.230766,17.704,14.0441
0.2,0.204693,0.241051,20.0696,14.7679
0.204,0.246399,0.250382,22.5952,15.1633
0.208,0.271439,0.251912,24.945,16.5277
0.212,0.274629,0.242633,26.981,19.6714
0.216,0.260381,0.225459,28.9845,22.7341
0.22,0.238411,0.206246,31.4885,26.709
0.224,0.218487,0.190601,35.0126,30.7015
0.228,0.207866,0.183075,39.8438,35.411
0.232,0.209025,0.18653,45.7846,40.6033
0.236,0.21524,0.199606,51.8661,48.209
0.24,0.212919,0.215376,56.8445,55.1788
0.244,0.194877,0.226364,60.746,64.5993
0.248,0.165017,0.229159,64.8935,72.3719
0.252,0.130115,0.222243,70.444,80.4744
0.256,0.0961758,0.204958,77.5725,88.91
0.26,0.0682006,0.180824,85.7504,99.3599
0.264,0.0516456,0.159033,94.4267,112.864
0.268,0.0501416,0.149624,103.566,124.37
0.272,0.0631238,0.156501,113.723,138.328
0.276,0.0854067,0.174934,125.743,152.408
