lead_s,skill,persistence,amplitude_ratio,growth_factor
0,0.198845,1,0.0448689,1
0.004,0.259115,0.975274,0.0356675,0.8682
0.008,0.266701,0.913694,0.0309127,0.932409
0.012,0.237086,0.8266,0.0286483,1.01489
0.016,0.192397,0.721196,0.0274183,1.11044
0.02,0.149,0.610646,0.0264579,1.08579
0.024,0.115459,0.511265,0.0254987,1.06393
0.028,0.0946712,0.434396,0.0244445,1.02006
0.032,0.0870273,0.384621,0.023185,0.968697
0.036,0.0920323,0.361818,0.0216396,0.897378
0.04,0.107407,0.362182,0.0198705,0.824286
0.044,0.128026,0.378719,0.0180619,0.770605
0.048,0.1474,0.403077,0.0163786,0.711562
0.052,0.159852,0.427048,0.0148415,0.646609
0.056,0.162137,0.443355,0.0133498,0.592224
0.06,0.155342,0.448853,0.011838,0.533447
0.064,0.145,0.447307,0.0103811,0.483526
0.068,0.137244,0.445406,0.00910223,0.433197
0.072,0.135037,0.446404,0.00804955,0.387168
0.076,0.137526,0.448086,0.00717738,0.346968
0.08,0.141372,0.445757,0.00640294,0.305756
0.084,0.142903,0.438548,0.00568587,0.271967
0.088,0.139985,0.431751,0.00504045,0.238291
0.092,0.13237,0.430627,0.00447496,0.208395
0.096,0.121439,0.434485,0.00397203,0.184205
0.1,0.109742,0.438308,0.00352334,0.164598
0.104,0.0995753,0.437574,0.00313489,0.145491
0.108,0.0924735,0.430505,0.00280144,0.128573
0.112,0.0903331,0.418489,0.00250484,0.114985
0.116,0.09565,0.405145,0.00223163,0.101299
0.12,0.110219,0.393767,0.00198223,0.0899176
0.124,0.133683,0.385225,0.00176357,0.0800634
0.128,0.162784,0.378052,0.0015766,0.0709035
0.132,0.191523,0.370982,0.00141501,0.0635458
0.136,0.213219,0.365605,0.00127325,0.0568554
0.14,0.223169,0.365454,0.00114883,0.0508269
0.144,0.220093,0.372035,0.00103851,0.0454675
0.148,0.206619,0.382639,0.000937722,0.0406187
0.152,0.189336,0.392582,0.000844817,0.0364124
0.156,0.176252,0.398186,0.000760988,0.0325181
0.16,0.17236,0.396185,0.000685312,0.029034
0.164,0.177117,0.383001,0.000614619,0.0259162
0.168,0.185143,0.357921,0.000548414,0.023316
0.172,0.1894,0.325196,0.000489558,0.0208278
0.176,0.183934,0.291288,0.000439865,0.0186166
0.18,0.166247,0.261715,0.000397856,0.0168108
0.184,0.139001,0.240096,0.000360912,0.0151889
0.188,0.110477,0.228036,0.000327732,0.0135323
0.192,0.0913441,0.225389,0.000298878,0.0120613
0.196,0.0899134,0.230766,0.000274872,0.0106388
0.2,0.107284,0.241051,0.000254282,0.00934937
0.204,0.135672,0.250382,0.000233822,0.00831077
0.208,0.159663,0.251912,0.000211031,0.00754407
0.212,0.166482,0.242633,0.000186742,0.00666475
0.216,0.154999,0.225459,0.000164129,0.0058773
0.22,0.134512,0.206246,0.000145881,0.00514747
0.224,0.116748,0.190601,0.00013271,0.00450634
0.228,0.111453,0.183075,0.000123551,0.00390323
0.232,0.123693,0.18653,0.000116126,0.00333929
0.236,0.151145,0.199606,0.000107575,0.00285743
0.24,0.182829,0.215376,9.64101e-05,0.00255933
0.244,0.206472,0.226364,8.41986e-05,0.00231653
0.248,0.216542,0.229159,7.35283e-05,0.0019254
0.252,0.211807,0.222243,6.52373e-05,0.00161722
0.256,0.192904,0.204958,5.87488e-05,0.00144009
0.26,0.162372,0.180824,5.31432e-05,0.00131567
0.264,0.125809,0.159033,4.79057e-05,0.00117483
