held_out,lead_s,aesindy_skill,persistence_skill,n_forecasts
fixation,0.0,-0.06355941015949075,1.0,234
fixation,0.004,-0.0009523474545814304,0.9752738694311341,234
fixation,0.008,0.04957576947634297,0.9136943325744702,234
fixation,0.012,0.08503427599865411,0.8265996757286783,234
fixation,0.016,0.11342909047483984,0.7211956092130318,234
fixation,0.02,0.0991292234157819,0.6106463573259924,234
fixation,0.024,0.050324960357999445,0.511264514111598,234
fixation,0.028,0.016187362151792492,0.43439597565133753,234
fixation,0.032,-0.004467040903839929,0.384620668868192,234
fixation,0.036000000000000004,0.01634967664863261,0.3618182924328435,234
fixation,0.04,0.061835087136176664,0.36218156166810656,234
fixation,0.044,0.09626376252133997,0.3787187195191947,234
fixation,0.048,0.10854397383893863,0.4030766769418773,234
fixation,0.052000000000000005,0.10337652130282993,0.4270476432201618,234
fixation,0.056,0.11253077745301342,0.4433554362196964,234
fixation,0.06,0.1320124939334909,0.4488525588835254,234
fixation,0.064,0.11891934531484136,0.4473068304286944,234
fixation,0.068,0.06735632082106435,0.4454060822508921,234
fixation,0.07200000000000001,0.0009539708693385498,0.44640378387373436,234
fixation,0.076,-0.04398773107931643,0.4480857376796761,234
fixation,0.08,-0.04007855579897045,0.44575701306721877,234
fixation,0.084,-0.005058212282578801,0.4385484683920807,234
fixation,0.088,0.0166038419230022,0.4317511511058044,234
fixation,0.092,0.011157045977349919,0.4306266805597449,234
fixation,0.096,-0.02383378776414764,0.4344846650966007,234
fixation,0.1,-0.07856428888861387,0.4383082902302673,234
fixation,0.10400000000000001,-0.1306113469295578,0.43757398388891783,234
fixation,0.108,-0.1491787897950047,0.4305053727296572,234
fixation,0.112,-0.11650099582283192,0.4184894198905052,234
fixation,0.116,-0.06301380105278631,0.40514452035810294,234
fixation,0.12,-0.015019925631400154,0.39376676650327413,234
fixation,0.124,0.02645414760445055,0.38522549686886476,234
fixation,0.128,0.05823535593378902,0.3780521900693912,234
fixation,0.132,0.057623557705491844,0.3709824946552829,234
fixation,0.136,0.024777337086696792,0.3656049850966423,234
fixation,0.14,-0.02750163718788143,0.3654536873682226,234
fixation,0.14400000000000002,-0.08744080719387985,0.3720350761147907,234
fixation,0.148,-0.12588816983348636,0.3826387074213994,234
fixation,0.152,-0.10479817759092798,0.3925820560949179,234
fixation,0.156,-0.027072473832297588,0.3981864539970298,234
fixation,0.16,0.040128661838413036,0.3961853785259179,234
fixation,0.164,0.04433862293511702,0.38300111777384666,234
