matrix_row,trial,trial_rows,original_samples,downsampled_samples,cropped_samples_used,cropped_duration_s
0,0,121,7100,710,705,14.1
1,1,242,7100,710,705,14.1
2,2,363,7100,710,705,14.1
3,3,484,7100,710,705,14.1
4,4,605,7045,705,705,14.1
5,155,726,7100,710,705,14.1
6,156,847,7100,710,705,14.1
7,157,968,7100,710,705,14.1
8,158,1089,7100,710,705,14.1
9,159,1210,7047,705,705,14.1
10,310,1331,7100,710,705,14.1
11,311,1452,7100,710,705,14.1
12,312,1573,7100,710,705,14.1
13,313,1694,7100,710,705,14.1
14,314,1815,7043,705,705,14.1
15,465,1936,7100,710,705,14.1
16,466,2057,7100,710,705,14.1
17,467,2178,7101,711,705,14.1
18,468,2299,7101,711,705,14.1
19,469,2420,7046,705,705,14.1
20,620,2541,7100,710,705,14.1
21,621,2662,7100,710,705,14.1
22,622,2783,7100,710,705,14.1
23,623,2904,7100,710,705,14.1
24,624,3025,7046,705,705,14.1
25,775,3146,7100,710,705,14.1
26,776,3267,7100,710,705,14.1
27,777,3388,7100,710,705,14.1
28,778,3509,7100,710,705,14.1
29,779,3630,7043,705,705,14.1
30,930,3751,7100,710,705,14.1
31,931,3872,7100,710,705,14.1
32,932,3993,7100,710,705,14.1
33,933,4114,7100,710,705,14.1
34,934,4235,7042,705,705,14.1
35,1085,4356,7101,711,705,14.1
36,1086,4477,7100,710,705,14.1
37,1087,4598,7101,711,705,14.1
38,1088,4719,7101,711,705,14.1
39,1089,4840,7043,705,705,14.1
40,1240,4961,7100,710,705,14.1
41,1241,5082,7100,710,705,14.1
42,1242,5203,7100,710,705,14.1
43,1243,5324,7100,710,705,14.1
44,1244,5445,7046,705,705,14.1
45,1395,5566,7100,710,705,14.1
46,1396,5687,7101,711,705,14.1
47,1397,5808,7101,711,705,14.1
48,1398,5929,7101,711,705,14.1
49,1399,6050,7046,705,705,14.1
