time_s,corr_median,corr_q25,corr_q75,amp_median,conc_sim_median,conc_measured_median
0.25,0.0319,-0.09831,0.221,1.104,0.5897,0.2442
0.35,0.04792,-0.07366,0.1024,1.079,0.5899,0.2843
0.45,-0.07204,-0.239,0.1167,1.138,0.5821,0.3143
0.55,0.009684,-0.1982,0.2376,1.494,0.5856,0.2032
0.65,-0.01886,-0.1057,0.0547,1.495,0.5767,0.2378
0.75,-0.06661,-0.12,0.09199,1.424,0.5804,0.306
0.85,-0.01219,-0.04514,0.05118,1.312,0.5836,0.2442
0.95,0.003025,-0.06862,0.08678,1.393,0.5848,0.2491
1.05,0.1397,0.07792,0.1702,1.36,0.5947,0.2543
1.15,0.1275,0.09599,0.1695,1.253,0.5931,0.2339
1.25,0.08226,0.002564,0.2245,1.385,0.5936,0.2304
1.35,0.1555,0.05611,0.3041,1.56,0.5964,0.2814
1.45,0.05109,-0.09232,0.2528,1.239,0.5897,0.24
1.55,0.07806,0.005335,0.1363,1.2,0.5882,0.3167
1.65,0.1126,-0.07981,0.214,1.057,0.5933,0.3016
1.75,0.05631,-0.08398,0.1557,1.083,0.5876,0.3104
1.85,0.0736,0.03181,0.1743,1.158,0.59,0.273
1.95,0.1314,0.1046,0.169,1.198,0.594,0.315
2.05,0.1047,0.02942,0.1324,1.346,0.5879,0.2945
2.15,-0.08269,-0.1888,0.04524,1.322,0.5847,0.3161
2.25,-0.000679,-0.2398,0.1232,1.296,0.5888,0.3367
2.35,-0.04676,-0.1577,0.00181,1.108,0.5837,0.3573
2.45,-0.08333,-0.1942,0.08298,1.111,0.5782,0.3441
2.55,-0.04544,-0.1845,0.02572,1.156,0.5829,0.2908
2.65,0.05738,-0.04885,0.1959,1.192,0.5749,0.3209
2.75,0.00768,-0.1679,0.1262,1.283,0.5669,0.306
2.85,0.02184,-0.09135,0.1414,1.318,0.5734,0.3357
2.95,0.02107,-0.09354,0.136,1.379,0.5869,0.3042
3.05,0.06765,-0.06654,0.1522,1.377,0.5975,0.3395
3.15,0.05838,0.004445,0.1736,1.399,0.5926,0.2487
3.25,0.0838,0.03432,0.1248,1.636,0.5963,0.2242
3.35,0.1129,-0.03504,0.1509,1.611,0.5941,0.2394
3.45,0.1776,0.07302,0.2755,1.522,0.5886,0.331
3.55,0.0627,0.03841,0.1356,1.387,0.5968,0.3054
3.65,0.06402,-0.007482,0.1828,1.563,0.5945,0.2435
3.75,0.06009,-0.04569,0.1641,1.462,0.5902,0.285
3.85,0.09933,0.04665,0.156,1.499,0.5861,0.2852
3.95,-0.03321,-0.1105,0.09132,1.523,0.5828,0.2869
4.05,0.05473,-0.05414,0.0859,1.775,0.5845,0.2691
4.15,0.0778,-0.02318,0.1713,1.717,0.5882,0.2835
