dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,4,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9465567476023,0.9451412006965413,16,3519,3518,ok,
fixation_only,0,4,1,3,80.0,zscore,0.05,1,0,38,12,0.006,0.8596790664591558,0.8572474853444849,12,2345,2345,ok,
fixation_only,0,2,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,4,3521,3520,ok,
fixation_only,0,4,1,5,80.0,zscore,0.05,1,0,38,12,0.01,0.8124111611640096,0.8109577051002462,14,1406,1406,ok,
fixation_only,0,2,1,3,80.0,zscore,0.05,1,0,38,12,0.006,0.7153972491615457,0.7105290737709827,4,2347,2347,ok,
fixation_only,0,4,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,16,3516,3515,ok,
fixation_only,0,2,1,5,80.0,zscore,0.05,1,0,38,12,0.01,0.6250292426383002,0.6192633820205602,4,1408,1408,ok,
fixation_only,0,4,2,3,80.0,zscore,0.05,1,0,38,12,0.006,0.5784950107000887,0.5817137506662992,16,2342,2342,ok,
fixation_only,0,2,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.5428653705528241,0.5381453584987734,4,3520,3519,ok,
fixation_only,0,4,2,5,80.0,zscore,0.05,1,0,38,12,0.01,0.43250934117618645,0.45571146731289247,16,1403,1403,ok,
fixation_only,0,2,2,3,80.0,zscore,0.05,1,0,38,12,0.006,0.4295054270586706,0.4290993559817427,4,2346,2346,ok,
fixation_only,0,2,2,5,80.0,zscore,0.05,1,0,38,12,0.01,0.2773218945223794,0.29444902024333763,4,1407,1407,ok,
