dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,2,1,10,none,zscore,0.05,1,0,38,12,0.02,0.492417459504801,0.4989711342053429,4,704,704,ok,
fixation_only,0,2,1,10,none,zscore,0.1,1,0,38,12,0.02,0.492417459504801,0.4989711342053429,4,704,704,ok,
fixation_only,0,2,1,10,none,zscore,0.2,1,0,38,12,0.02,0.492417459504801,0.4989711342053429,4,704,704,ok,
fixation_only,0,2,1,10,10.0,zscore,0.05,1,0,38,12,0.02,0.8295655057998234,0.8406338151076276,4,704,704,ok,
fixation_only,0,2,1,10,10.0,zscore,0.1,1,0,38,12,0.02,0.8295655057998234,0.8406338151076276,4,704,704,ok,
fixation_only,0,2,1,10,10.0,zscore,0.2,1,0,38,12,0.02,0.8295655057998234,0.8406338151076276,4,704,704,ok,
fixation_only,0,2,1,10,20.0,zscore,0.05,1,0,38,12,0.02,0.6401727227684844,0.64287134408548,4,704,704,ok,
fixation_only,0,2,1,10,20.0,zscore,0.1,1,0,38,12,0.02,0.6401727227684844,0.64287134408548,4,704,704,ok,
fixation_only,0,2,1,10,20.0,zscore,0.2,1,0,38,12,0.02,0.6401727227684844,0.64287134408548,4,704,704,ok,
fixation_only,0,2,2,10,none,zscore,0.05,1,0,38,12,0.02,0.03521640556229322,0.05548209860992198,4,703,703,ok,
fixation_only,0,2,2,10,none,zscore,0.1,1,0,38,12,0.02,0.03521640556229322,0.05548209860992198,4,703,703,ok,
fixation_only,0,2,2,10,none,zscore,0.2,1,0,38,12,0.02,0.03521640556229322,0.05548209860992198,4,703,703,ok,
fixation_only,0,2,2,10,10.0,zscore,0.05,1,0,38,12,0.02,0.4385947064462413,0.470942090084071,4,703,703,ok,
fixation_only,0,2,2,10,10.0,zscore,0.1,1,0,38,12,0.02,0.4385947064462413,0.470942090084071,4,703,703,ok,
fixation_only,0,2,2,10,10.0,zscore,0.2,1,0,38,12,0.02,0.4385947064462413,0.470942090084071,4,703,703,ok,
fixation_only,0,2,2,10,20.0,zscore,0.05,1,0,38,12,0.02,0.08338364363196599,0.11352001228446662,5,703,703,ok,
fixation_only,0,2,2,10,20.0,zscore,0.1,1,0,38,12,0.02,0.08338220967786653,0.1135224972541462,4,703,703,ok,
fixation_only,0,2,2,10,20.0,zscore,0.2,1,0,38,12,0.02,0.08338220967786653,0.1135224972541462,4,703,703,ok,
fixation_only,0,2,5,10,none,zscore,0.05,1,0,38,12,0.02,0.013217210288606063,0.00602336452843133,4,700,700,ok,
fixation_only,0,2,5,10,none,zscore,0.1,1,0,38,12,0.02,0.013217210288606063,0.00602336452843133,4,700,700,ok,
fixation_only,0,2,5,10,none,zscore,0.2,1,0,38,12,0.02,0.013217210288606063,0.00602336452843133,4,700,700,ok,
fixation_only,0,2,5,10,10.0,zscore,0.05,1,0,38,12,0.02,5.905053806221083e-05,0.00016580163404616988,3,700,700,ok,
fixation_only,0,2,5,10,10.0,zscore,0.1,1,0,38,12,0.02,5.515318271043235e-05,0.00015871078547957662,2,700,700,ok,
fixation_only,0,2,5,10,10.0,zscore,0.2,1,0,38,12,0.02,-3.1959953417093345e-07,-1.0515605403105255e-06,0,700,700,ok,
fixation_only,0,2,5,10,20.0,zscore,0.05,1,0,38,12,0.02,0.019757979482134425,0.007749444103859193,4,700,700,ok,
fixation_only,0,2,5,10,20.0,zscore,0.1,1,0,38,12,0.02,0.019757979482134425,0.007749444103859193,4,700,700,ok,
fixation_only,0,2,5,10,20.0,zscore,0.2,1,0,38,12,0.02,0.019757979482134425,0.007749444103859193,4,700,700,ok,
fixation_only,0,4,1,10,none,zscore,0.05,1,0,38,12,0.02,0.7562247271444823,0.7616516447392034,14,702,702,ok,
fixation_only,0,4,1,10,none,zscore,0.1,1,0,38,12,0.02,0.7562230745095361,0.7616546525815646,13,702,702,ok,
fixation_only,0,4,1,10,none,zscore,0.2,1,0,38,12,0.02,0.7562208848786434,0.761653329975893,12,702,702,ok,
fixation_only,0,4,1,10,10.0,zscore,0.05,1,0,38,12,0.02,0.9803920410073732,0.9823299795513398,14,702,702,ok,
fixation_only,0,4,1,10,10.0,zscore,0.1,1,0,38,12,0.02,0.9803920410073732,0.9823299795513398,14,702,702,ok,
fixation_only,0,4,1,10,10.0,zscore,0.2,1,0,38,12,0.02,0.9803920410073732,0.9823299795513398,14,702,702,ok,
fixation_only,0,4,1,10,20.0,zscore,0.05,1,0,38,12,0.02,0.8625296892843406,0.8641809177875116,15,702,702,ok,
fixation_only,0,4,1,10,20.0,zscore,0.1,1,0,38,12,0.02,0.8625287832060835,0.8641824346269557,14,702,702,ok,
fixation_only,0,4,1,10,20.0,zscore,0.2,1,0,38,12,0.02,0.8625256388695324,0.8641832474825336,12,702,702,ok,
fixation_only,0,4,2,10,none,zscore,0.05,1,0,38,12,0.02,0.08060037761793126,0.11409907200242089,16,699,699,ok,
fixation_only,0,4,2,10,none,zscore,0.1,1,0,38,12,0.02,0.08060037761793126,0.11409907200242089,16,699,699,ok,
fixation_only,0,4,2,10,none,zscore,0.2,1,0,38,12,0.02,0.08060037761793126,0.11409907200242089,16,699,699,ok,
fixation_only,0,4,2,10,10.0,zscore,0.05,1,0,38,12,0.02,0.7659543484808979,0.7923909165685195,16,699,699,ok,
fixation_only,0,4,2,10,10.0,zscore,0.1,1,0,38,12,0.02,0.7659543484808979,0.7923909165685195,16,699,699,ok,
fixation_only,0,4,2,10,10.0,zscore,0.2,1,0,38,12,0.02,0.7659543484808979,0.7923909165685195,16,699,699,ok,
fixation_only,0,4,2,10,20.0,zscore,0.05,1,0,38,12,0.02,0.18734325936958818,0.24021800379278924,17,699,699,ok,
fixation_only,0,4,2,10,20.0,zscore,0.1,1,0,38,12,0.02,0.18734229262328655,0.2402206232218778,16,699,699,ok,
