dataset,channel,window_start_s,window_end_s,window_duration_s,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,samples_per_window_before_downsample,samples_per_window_after_downsample,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8314170997773265,0.8237266583372745,835.100392745622,1116.3749571864864,28.898103618501025,33.412197730566696,4,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8328783067114377,0.8248271985319412,827.8620152057243,1109.405185666351,28.77259138843292,33.30773462225179,12,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8314170997773265,0.8237266583372745,835.100392745622,1116.3749571864864,28.898103618501025,33.412197730566696,4,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8328783067114377,0.8248271985319412,827.8620152057243,1109.405185666351,28.77259138843292,33.30773462225179,12,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8314170997773265,0.8237266583372745,835.100392745622,1116.3749571864864,28.898103618501025,33.412197730566696,4,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8328783067114377,0.8248271985319412,827.8620152057243,1109.405185666351,28.77259138843292,33.30773462225179,12,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,2,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.5573071648442443,0.5326408240157371,2193.2866405376367,2958.1711397067506,46.832538267081326,54.3890718776001,4,1098,1098,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,2,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.5608617494367835,0.5354904812666528,2175.6754671753715,2940.13490288998,46.64413647153704,54.22301082464879,12,1098,1098,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,2,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.5573071648442443,0.5326408240157371,2193.2866405376367,2958.1711397067506,46.832538267081326,54.3890718776001,4,1098,1098,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,2,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.5608617494367835,0.5354904812666528,2175.6754671753715,2940.13490288998,46.64413647153704,54.22301082464879,12,1098,1098,ok,
