dataset,channel,window_start_s,window_end_s,window_duration_s,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,samples_per_window_before_downsample,samples_per_window_after_downsample,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9749245992590502,0.9737281138195373,124.38600973909065,166.16173673256904,11.152847606736616,12.890373801118765,142,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9749246387793603,0.9737280808579566,124.38581377914393,166.161945326249,11.152838821535257,12.89038189218027,155,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9749242968656245,0.9737278556773181,124.38750914327532,166.1633711748714,11.152914827222313,12.890437198748202,84,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9744711305698552,0.9735480414805915,126.63532050607655,167.30095148111388,11.253236001527585,12.934486904439384,26,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.974471198228112,0.9735479598317432,126.63498496018822,167.30146819070993,11.25322109265557,12.934506878528842,33,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9744709906482778,0.9735478676139793,126.6360142179728,167.30205218325787,11.253266824259203,12.934529453492225,20,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9484554621878103,0.9464573794493398,255.431548416531,339.02091212585253,15.982226015687896,18.412520526148846,41,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9484554219625709,0.9464573786607848,255.4317477098419,339.02091712344145,15.982232250528769,18.412520661860544,36,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9484553590714255,0.9464572599046059,255.4320593144761,339.0216695614025,15.98224199899614,18.412541094629024,34,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9476780391763311,0.946057603893694,259.2840972822238,341.5520803528696,16.10230099340538,18.48112768076855,15,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9476780224086383,0.9460575786939096,259.2841803566582,341.5522400603997,16.10230357298788,18.481132001595565,14,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9476779595174929,0.9460574599377307,259.2844919612924,341.5529924983607,16.102313248763124,18.48115235850732,12,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8328783067114377,0.8248271985319412,827.8620152057243,1109.405185666351,28.77259138843292,33.30773462225179,12,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8328783067114377,0.8248271985319412,827.8620152057243,1109.405185666351,28.77259138843292,33.30773462225179,12,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8328783067114377,0.8248271985319412,827.8620152057243,1109.405185666351,28.77259138843292,33.30773462225179,12,1099,1099,ok,
fixation_only_windowed,0,0.1,4.5,4.4,2,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.8314170997773265,0.8237266583372745,835.100392745622,1116.3749571864864,28.898103618501025,33.412197730566696,4,1099,1099,ok,
