dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,2,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.8255497107186088,0.8265716302244623,838.15752404164,1041.2356248624315,28.95095031327366,32.26818285652961,4,3520,3521,ok,
fixation_only,0,2,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.8269589089700824,0.8278824625457384,831.386715464799,1033.3655210352574,28.833777336048062,32.14600318912535,12,3520,3521,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.8255497107186088,0.8265716302244623,838.15752404164,1041.2356248624315,28.95095031327366,32.26818285652961,4,3520,3521,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.8269589089700824,0.8278824625457384,831.386715464799,1033.3655210352574,28.833777336048062,32.14600318912535,12,3520,3521,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.8255497107186088,0.8265716302244623,838.15752404164,1041.2356248624315,28.95095031327366,32.26818285652961,4,3520,3521,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.8269589089700824,0.8278824625457384,831.386715464799,1033.3655210352574,28.833777336048062,32.14600318912535,12,3520,3521,ok,
fixation_only,0,2,2,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.5428702371844303,0.5393515266426372,2196.6896109413283,2765.3866163552943,46.868855447315205,52.58694340190628,4,3519,3520,ok,
fixation_only,0,2,2,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.5461245763191578,0.5423051519591093,2181.050808881013,2747.655098519128,46.701721690757964,52.41807988203238,12,3519,3520,ok,
fixation_only,0,2,2,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.5428702371844303,0.5393515266426372,2196.6896109413283,2765.3866163552943,46.868855447315205,52.58694340190628,4,3519,3520,ok,
fixation_only,0,2,2,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.5461245763191578,0.5423051519591093,2181.050808881013,2747.655098519128,46.701721690757964,52.41807988203238,12,3519,3520,ok,
