dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,2,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,925.822869215988,763.1131222876805,30.427337530845318,27.624502208866687,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.05,2,0,38,12,0.004,0.8280696930332069,0.8240038833194322,918.1268656391542,758.0326220857189,30.300608337773586,27.532392233253525,12,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,925.822869215988,763.1131222876805,30.427337530845318,27.624502208866687,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,2,0,38,12,0.004,0.8280696930332069,0.8240038833194322,918.1268656391542,758.0326220857189,30.300608337773586,27.532392233253525,12,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,925.822869215988,763.1131222876805,30.427337530845318,27.624502208866687,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,2,0,38,12,0.004,0.8280696930332069,0.8240038833194322,918.1268656391542,758.0326220857189,30.300608337773586,27.532392233253525,12,3521,3520,ok,
fixation_only,0,2,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.5428653705528241,0.5381453584987734,2441.492174803804,1989.104599785714,49.41145793036069,44.59937891704002,4,3520,3519,ok,
fixation_only,0,2,2,2,80.0,zscore,0.05,2,0,38,12,0.004,0.5462619075488245,0.5404888272033553,2423.3510774128886,1979.0119802669624,49.22754388970557,44.48608749111302,12,3520,3519,ok,
fixation_only,0,2,2,2,80.0,zscore,0.1,1,0,38,12,0.004,0.5428653705528241,0.5381453584987734,2441.492174803804,1989.104599785714,49.41145793036069,44.59937891704002,4,3520,3519,ok,
fixation_only,0,2,2,2,80.0,zscore,0.1,2,0,38,12,0.004,0.5462619075488245,0.5404888272033553,2423.3510774128886,1979.0119802669624,49.22754388970557,44.48608749111302,12,3520,3519,ok,
fixation_only,0,2,2,2,80.0,zscore,0.2,1,0,38,12,0.004,0.5428653705528241,0.5381453584987734,2441.492174803804,1989.104599785714,49.41145793036069,44.59937891704002,4,3520,3519,ok,
fixation_only,0,2,2,2,80.0,zscore,0.2,2,0,38,12,0.004,0.5462619075488245,0.5404888272033553,2423.3510774128886,1979.0119802669624,49.22754388970557,44.48608749111302,12,3520,3519,ok,
fixation_only,0,2,5,2,80.0,zscore,0.05,1,0,38,12,0.004,0.151736352811096,0.163158258959629,4529.2544674577275,3602.8977435862525,67.29973601328409,60.024143005846014,4,3517,3516,ok,
fixation_only,0,2,5,2,80.0,zscore,0.05,2,0,38,12,0.004,0.15514254004124106,0.16532621394007285,4511.062082600623,3593.567200022197,67.16444061108992,59.94636936480972,11,3517,3516,ok,
fixation_only,0,2,5,2,80.0,zscore,0.1,1,0,38,12,0.004,0.151736352811096,0.163158258959629,4529.2544674577275,3602.8977435862525,67.29973601328409,60.024143005846014,4,3517,3516,ok,
fixation_only,0,2,5,2,80.0,zscore,0.1,2,0,38,12,0.004,0.15514179078839224,0.16531984104140435,4511.066081286088,3593.594654676882,67.1644703789592,59.94659835784581,10,3517,3516,ok,
fixation_only,0,2,5,2,80.0,zscore,0.2,1,0,38,12,0.004,0.151736352811096,0.163158258959629,4529.2544674577275,3602.8977435862525,67.29973601328409,60.024143005846014,4,3517,3516,ok,
fixation_only,0,2,5,2,80.0,zscore,0.2,2,0,38,12,0.004,0.15514179078839224,0.16531984104140435,4511.066081286088,3593.594654676882,67.1644703789592,59.94659835784581,10,3517,3516,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9465567476023,0.9451412006965413,285.38538857456535,236.2632009611056,16.89335338452864,15.370855570237644,16,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,2,0,38,12,0.004,0.9472926973713552,0.9458490129500766,281.4555126710959,233.21479910024706,16.776635916389672,15.271371880097972,50,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.9465567226763834,0.945141173586191,285.3855216114913,236.26331767775224,16.893357322080515,15.370859366923902,12,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,2,0,38,12,0.004,0.9472926825837992,0.9458490002397406,281.45559159186894,233.21485381085037,16.77663826849315,15.271373671377777,44,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.9465567226763834,0.945141173586191,285.3855216114913,236.26331767775224,16.893357322080515,15.370859366923902,12,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,2,0,38,12,0.004,0.9472925706639876,0.9458490733185417,281.45618894734116,233.21453921898802,16.77665607167713,15.271363371323073,34,3519,3518,ok,
fixation_only,0,4,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,1602.599272608467,1301.3561526244498,40.03247772257504,36.07431430567253,16,3516,3515,ok,
fixation_only,0,4,2,2,80.0,zscore,0.05,2,0,38,12,0.004,0.7039711124155258,0.7020263747734038,1580.1124394999788,1282.535274000169,39.75062816484765,35.81250164398138,60,3516,3515,ok,
fixation_only,0,4,2,2,80.0,zscore,0.1,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,1602.599272608467,1301.3561526244498,40.03247772257504,36.07431430567253,16,3516,3515,ok,
fixation_only,0,4,2,2,80.0,zscore,0.1,2,0,38,12,0.004,0.7039711124155258,0.7020263747734038,1580.1124394999788,1282.535274000169,39.75062816484765,35.81250164398138,60,3516,3515,ok,
fixation_only,0,4,2,2,80.0,zscore,0.2,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,1602.599272608467,1301.3561526244498,40.03247772257504,36.07431430567253,16,3516,3515,ok,
