config_key,sweep_id,configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,x0_rmse_uv,trajectory_rmse_uv,rhs_evaluations
1c2f67a6392e,raw_grid_deg2357_t20000,1,4,success,,14.084,14.084,27.464190232051507,27.459924797944222,17078.0
1c2f67a6392e,raw_grid_deg2357_t20000,1,1088,success,,14.196,14.196,53.35204667890614,53.3532767826719,21207.0
1c2f67a6392e,raw_grid_deg2357_t20000,1,622,success,,14.192,14.192,44.652637137145554,44.6526255424114,20736.0
1c2f67a6392e,raw_grid_deg2357_t20000,1,620,success,,14.192,14.192,40.237529238276814,40.237799997159556,17482.0
78dfdf348f9b,raw_grid_deg2357_t20000,2,4,success,,14.084,14.084,27.471295004866708,27.467172225017535,16802.0
78dfdf348f9b,raw_grid_deg2357_t20000,2,1088,success,,14.196,14.196,53.169231651804324,53.16433289569041,20851.0
78dfdf348f9b,raw_grid_deg2357_t20000,2,622,success,,14.192,14.192,44.84516175556827,44.84501208021341,20830.0
78dfdf348f9b,raw_grid_deg2357_t20000,2,620,success,,14.192,14.192,40.283805009674786,40.28239792493966,16980.0
a2f4bac6028d,raw_grid_deg2357_t20000,3,4,success,,14.084,14.084,27.525953439338625,27.523093279507048,16702.0
a2f4bac6028d,raw_grid_deg2357_t20000,3,1088,success,,14.196,14.196,52.406858535606716,52.40665358267502,19616.0
a2f4bac6028d,raw_grid_deg2357_t20000,3,622,success,,14.192,14.192,45.190511818879216,45.18669398989648,19435.0
a2f4bac6028d,raw_grid_deg2357_t20000,3,620,success,,14.192,14.192,40.16175237390707,40.161857095076336,16051.0
305572345034,raw_grid_deg2357_t20000,4,4,success,,14.08,14.08,28.220020991534167,28.21350572482869,18200.0
305572345034,raw_grid_deg2357_t20000,4,1088,success,,14.192,14.192,58.479711864277625,58.45960762307833,20552.0
305572345034,raw_grid_deg2357_t20000,4,622,success,,14.188,14.188,51.00161226332498,50.97714607922598,20612.0
305572345034,raw_grid_deg2357_t20000,4,620,success,,14.188,14.188,40.48018751693668,40.47911438216267,18403.0
f2bb26240d7f,raw_grid_deg2357_t20000,5,4,success,,14.08,14.08,28.414396342490207,28.415402428766427,18166.0
f2bb26240d7f,raw_grid_deg2357_t20000,5,1088,success,,14.192,14.192,57.43785684995703,57.42380632818562,20248.0
f2bb26240d7f,raw_grid_deg2357_t20000,5,622,success,,14.188,14.188,49.97402239059585,49.97607866171484,20627.0
f2bb26240d7f,raw_grid_deg2357_t20000,5,620,success,,14.188,14.188,40.39006306679283,40.38824753672205,17470.0
e5155a513d0c,raw_grid_deg2357_t20000,6,4,success,,14.08,14.08,28.692158871783185,28.69414425744821,17616.0
e5155a513d0c,raw_grid_deg2357_t20000,6,1088,success,,14.192,14.192,56.54832292452444,56.558307836929394,19151.0
e5155a513d0c,raw_grid_deg2357_t20000,6,622,success,,14.188,14.188,48.553970025016625,48.55079035856078,19360.0
e5155a513d0c,raw_grid_deg2357_t20000,6,620,success,,14.188,14.188,40.096324813666584,40.09304270562284,17262.0
09d31e9d93e2,raw_grid_deg2357_t20000,7,4,success,,14.068,14.068,28.64627604254867,28.645864158245093,10779.0
09d31e9d93e2,raw_grid_deg2357_t20000,7,1088,success,,14.18,14.18,58.750823848056704,58.548996796619164,12249.0
09d31e9d93e2,raw_grid_deg2357_t20000,7,622,success,,14.176,14.176,56.93467256618595,57.214938240994115,12702.0
09d31e9d93e2,raw_grid_deg2357_t20000,7,620,success,,14.176,14.176,40.33511080163889,40.29364599861302,10405.0
5bc04e39d1ef,raw_grid_deg2357_t20000,8,4,success,,14.068,14.068,28.614205502900706,28.60488176271097,10501.0
5bc04e39d1ef,raw_grid_deg2357_t20000,8,1088,success,,14.18,14.18,61.15421115520879,60.94830341610382,12640.0
5bc04e39d1ef,raw_grid_deg2357_t20000,8,622,success,,14.176,14.176,57.113390335043064,57.23326617107351,12487.0
5bc04e39d1ef,raw_grid_deg2357_t20000,8,620,success,,14.176,14.176,40.29074341936246,40.296781483602125,11237.0
88213e24642f,raw_grid_deg2357_t20000,9,4,success,,14.068,14.068,28.262551602296536,28.24018099557504,11206.0
88213e24642f,raw_grid_deg2357_t20000,9,1088,success,,14.18,14.18,55.76530668767687,55.82681893928439,12767.0
88213e24642f,raw_grid_deg2357_t20000,9,622,success,,14.176,14.176,52.44368334577552,52.59664701451198,12394.0
88213e24642f,raw_grid_deg2357_t20000,9,620,success,,14.176,14.176,40.0615113554409,40.047609143598805,11480.0
