configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
86,5,35.0,4,2,5,0.05,1.0,20,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.769978048666913,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.05,1.0,150,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.7733409814445047,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.0,1.0,20,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.8151079546960285,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.0,1.0,150,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.8089426342189742,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.05,1.0,20,1088,False,integration error: simulation exceeded 30 wall-clock seconds,1.0902442994865649,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.05,1.0,150,1088,False,integration error: simulation exceeded 30 wall-clock seconds,1.098349874678977,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.0,1.0,20,1088,False,integration error: simulation exceeded 30 wall-clock seconds,1.1722591958758208,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.0,1.0,150,1088,False,integration error: simulation exceeded 30 wall-clock seconds,1.1815029385874347,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.05,1.0,20,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.9391789384519537,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.05,1.0,150,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.8785638254720073,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.0,1.0,20,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.9236403434100053,nan,nan,nan,nan,nan,nan
86,5,35.0,4,2,5,0.0,1.0,150,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.9876452986784754,nan,nan,nan,nan,nan,nan
