configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,nonzero_terms,subthreshold_count,n_trials,n_completed,n_failed,mean_trajectory_rmse,mean_x0_correlation,mean_max_amplitude_ratio,mean_collapse_std_ratio,mean_psd_similarity,mean_distribution_ks
46,3,35.0,4,1,0,0.05,1.0,20,58,1,9,9,0,1.2537732087505238,0.0247455322363247,0.6852692305505402,0.915327771223078,0.1742279517051588,0.1845198491905079
46,3,35.0,4,1,0,0.05,1.0,150,58,1,9,9,0,1.2537732087505238,0.0247455322363247,0.6852692305505402,0.915327771223078,0.1742279517051588,0.1845198491905079
46,3,35.0,4,1,0,0.0,1.0,20,107,7,9,9,0,1.1870100436512356,0.0357540426902737,0.6216775230985782,0.7651271073955872,0.1731049771673873,0.1776447105788423
46,3,35.0,4,1,0,0.0,1.0,150,107,7,9,9,0,1.1870100436512356,0.0357540426902737,0.6216775230985782,0.7651271073955872,0.1731049771673873,0.1776447105788423
47,3,35.0,4,1,5,0.05,1.0,20,61,1,9,9,0,1.2249147573759327,0.0273508194199904,0.6326359559451773,0.8286949502325565,0.1717051581893187,0.1851851851851852
47,3,35.0,4,1,5,0.05,1.0,150,61,1,9,9,0,1.2249147573759327,0.0273508194199904,0.6326359559451773,0.8286949502325565,0.1717051581893187,0.1851851851851852
47,3,35.0,4,1,5,0.0,1.0,20,110,20,9,9,0,1.1924701055800917,0.0295528043707905,0.6240510094406628,0.7641709586375905,0.1728065020912521,0.1783100465735196
47,3,35.0,4,1,5,0.0,1.0,150,110,20,9,9,0,1.1924701055800917,0.0295528043707905,0.6240510094406628,0.7641709586375905,0.1728065020912521,0.1783100465735196
49,3,35.0,4,2,0,0.05,1.0,20,87,0,9,9,0,1.3631267483382157,0.0385262712674563,0.7040199148166479,1.0866939130077595,0.1913209958471951,0.1754269239299179
49,3,35.0,4,2,0,0.05,1.0,150,87,0,9,9,0,1.3631267483382157,0.0385262712674563,0.7040199148166479,1.0866939130077595,0.1913209958471951,0.1754269239299179
49,3,35.0,4,2,0,0.0,1.0,20,102,0,9,9,0,1.3623078598714662,0.0374485540252433,0.7550682227351775,1.1027342865046563,0.1950915231550013,0.1687735639831448
49,3,35.0,4,2,0,0.0,1.0,150,102,0,9,9,0,1.3623078598714662,0.0374485540252433,0.7550682227351775,1.1027342865046563,0.1950915231550013,0.1687735639831448
50,3,35.0,4,2,5,0.05,1.0,20,87,0,9,9,0,1.3690717803356924,0.0506622223438302,0.710323983344787,1.109924015131336,0.1931258965776508,0.1763140385894877
50,3,35.0,4,2,5,0.05,1.0,150,87,0,9,9,0,1.3690717803356924,0.0506622223438302,0.710323983344787,1.109924015131336,0.1931258965776508,0.1763140385894877
50,3,35.0,4,2,5,0.0,1.0,20,103,0,9,9,0,1.370572874757241,0.0518648180701494,0.7437855625937286,1.1197624049095631,0.1961903754661309,0.174983366600133
50,3,35.0,4,2,5,0.0,1.0,150,103,0,9,9,0,1.370572874757241,0.0518648180701494,0.7437855625937286,1.1197624049095631,0.1961903754661309,0.174983366600133
55,3,35.0,6,1,0,0.05,1.0,20,173,7,9,0,9,,,,,,
55,3,35.0,6,1,0,0.05,1.0,150,173,7,9,0,9,,,,,,
55,3,35.0,6,1,0,0.0,1.0,20,489,38,9,0,9,,,,,,
55,3,35.0,6,1,0,0.0,1.0,150,489,38,9,0,9,,,,,,
56,3,35.0,6,1,5,0.05,1.0,20,176,6,9,0,9,,,,,,
56,3,35.0,6,1,5,0.05,1.0,150,176,6,9,0,9,,,,,,
56,3,35.0,6,1,5,0.0,1.0,20,490,30,9,0,9,,,,,,
56,3,35.0,6,1,5,0.0,1.0,150,490,30,9,0,9,,,,,,
58,3,35.0,6,2,0,0.05,1.0,20,202,5,9,0,9,,,,,,
58,3,35.0,6,2,0,0.05,1.0,150,202,5,9,0,9,,,,,,
58,3,35.0,6,2,0,0.0,1.0,20,264,0,9,0,9,,,,,,
58,3,35.0,6,2,0,0.0,1.0,150,264,0,9,0,9,,,,,,
59,3,35.0,6,2,5,0.05,1.0,20,201,3,9,0,9,,,,,,
59,3,35.0,6,2,5,0.05,1.0,150,201,3,9,0,9,,,,,,
59,3,35.0,6,2,5,0.0,1.0,20,272,2,9,0,9,,,,,,
59,3,35.0,6,2,5,0.0,1.0,150,272,2,9,0,9,,,,,,
82,5,35.0,4,1,0,0.05,1.0,20,202,7,9,0,9,,,,,,
82,5,35.0,4,1,0,0.05,1.0,150,202,7,9,0,9,,,,,,
82,5,35.0,4,1,0,0.0,1.0,20,484,198,9,0,9,,,,,,
82,5,35.0,4,1,0,0.0,1.0,150,484,198,9,0,9,,,,,,
83,5,35.0,4,1,5,0.05,1.0,20,197,5,9,0,9,,,,,,
83,5,35.0,4,1,5,0.05,1.0,150,197,5,9,0,9,,,,,,
83,5,35.0,4,1,5,0.0,1.0,20,486,166,9,0,9,,,,,,
83,5,35.0,4,1,5,0.0,1.0,150,486,166,9,0,9,,,,,,
85,5,35.0,4,2,0,0.05,1.0,20,114,1,9,0,9,,,,,,
85,5,35.0,4,2,0,0.05,1.0,150,114,1,9,0,9,,,,,,
85,5,35.0,4,2,0,0.0,1.0,20,269,17,9,0,9,,,,,,
85,5,35.0,4,2,0,0.0,1.0,150,269,17,9,0,9,,,,,,
86,5,35.0,4,2,5,0.05,1.0,20,187,1,9,0,9,,,,,,
86,5,35.0,4,2,5,0.05,1.0,150,187,1,9,0,9,,,,,,
86,5,35.0,4,2,5,0.0,1.0,20,268,14,9,0,9,,,,,,
86,5,35.0,4,2,5,0.0,1.0,150,268,14,9,0,9,,,,,,
118,7,35.0,4,1,0,0.05,1.0,20,427,83,9,0,9,,,,,,
118,7,35.0,4,1,0,0.05,1.0,150,427,83,9,0,9,,,,,,
118,7,35.0,4,1,0,0.0,1.0,20,1291,804,9,0,9,,,,,,
118,7,35.0,4,1,0,0.0,1.0,150,1291,804,9,0,9,,,,,,
119,7,35.0,4,1,5,0.05,1.0,20,436,107,9,0,9,,,,,,
119,7,35.0,4,1,5,0.05,1.0,150,436,107,9,0,9,,,,,,
119,7,35.0,4,1,5,0.0,1.0,20,1302,803,9,0,9,,,,,,
119,7,35.0,4,1,5,0.0,1.0,150,1302,803,9,0,9,,,,,,
121,7,35.0,4,2,0,0.05,1.0,20,82,0,9,0,9,,,,,,
121,7,35.0,4,2,0,0.05,1.0,150,82,0,9,0,9,,,,,,
121,7,35.0,4,2,0,0.0,1.0,20,1293,856,9,0,9,,,,,,
121,7,35.0,4,2,0,0.0,1.0,150,1293,856,9,0,9,,,,,,
122,7,35.0,4,2,5,0.05,1.0,20,83,0,9,0,9,,,,,,
122,7,35.0,4,2,5,0.05,1.0,150,83,0,9,0,9,,,,,,
122,7,35.0,4,2,5,0.0,1.0,20,1292,875,9,0,9,,,,,,
122,7,35.0,4,2,5,0.0,1.0,150,1292,875,9,0,9,,,,,,
