configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
82,5,35.0,4,1,0,0.05,20000.0,20,4,True,,2.0,26.488272432743567,-0.04596714292298689,0.3657118633175988,0.5442599021130264,0.16139423126185076,0.16966067864271456
82,5,35.0,4,1,0,0.05,20000.0,150,4,True,,2.0,26.488272432743567,-0.04596714292298689,0.3657118633175988,0.5442599021130264,0.16139423126185076,0.16966067864271456
82,5,35.0,4,1,0,0.0,20000.0,20,4,True,,2.0,26.133473791575405,-0.06426523071818474,0.26363138022545013,0.4504032719010358,0.15803888226249035,0.19161676646706588
82,5,35.0,4,1,0,0.0,20000.0,150,4,True,,2.0,26.133473791575405,-0.06426523071818474,0.26363138022545013,0.4504032719010358,0.15803888226249035,0.19161676646706588
82,5,35.0,4,1,0,0.05,20000.0,20,1088,True,,2.0,53.334101522487266,0.16356432365728632,0.7106431417789741,0.9340510149539613,0.1947987375069235,0.09381237524950099
82,5,35.0,4,1,0,0.05,20000.0,150,1088,True,,2.0,53.334101522487266,0.16356432365728632,0.7106431417789741,0.9340510149539613,0.1947987375069235,0.09381237524950099
82,5,35.0,4,1,0,0.0,20000.0,20,1088,True,,2.0,52.8562248802762,0.12907373374257872,0.6288815052635729,0.9223516546678552,0.19307691897725693,0.1157684630738523
82,5,35.0,4,1,0,0.0,20000.0,150,1088,True,,2.0,52.8562248802762,0.12907373374257872,0.6288815052635729,0.9223516546678552,0.19307691897725693,0.1157684630738523
82,5,35.0,4,1,0,0.05,20000.0,20,622,True,,2.0,53.876837295704085,-0.03658537761014253,0.7992492821371673,0.8660282595429276,0.00849233070213768,0.1437125748502994
82,5,35.0,4,1,0,0.05,20000.0,150,622,True,,2.0,53.876837295704085,-0.03658537761014253,0.7992492821371673,0.8660282595429276,0.00849233070213768,0.1437125748502994
82,5,35.0,4,1,0,0.0,20000.0,20,622,True,,2.0,54.734903024889626,-0.03400202427965849,0.7870125596332244,0.908690945686024,0.02087872885572665,0.18762475049900199
82,5,35.0,4,1,0,0.0,20000.0,150,622,True,,2.0,54.734903024889626,-0.03400202427965849,0.7870125596332244,0.908690945686024,0.02087872885572665,0.18762475049900199
82,5,35.0,4,1,0,0.05,20000.0,20,620,False,integration error: simulation exceeded 120 wall-clock seconds,1.9036754257619586,nan,nan,nan,nan,nan,nan
82,5,35.0,4,1,0,0.05,20000.0,150,620,False,integration error: simulation exceeded 120 wall-clock seconds,1.9180453336828402,nan,nan,nan,nan,nan,nan
82,5,35.0,4,1,0,0.0,20000.0,20,620,True,,2.0,36.089905114108724,-0.029385634231489766,0.20787736033004595,0.2502802517023574,0.050414378171661986,0.4550898203592814
82,5,35.0,4,1,0,0.0,20000.0,150,620,True,,2.0,36.089905114108724,-0.029385634231489766,0.20787736033004595,0.2502802517023574,0.050414378171661986,0.4550898203592814
82,5,35.0,4,1,0,0.05,20000.0,20,2,True,,2.0,61.443085524689174,-0.039914343865291,0.8678187156631787,0.7859150250620363,0.013257592922532715,0.05788423153692615
82,5,35.0,4,1,0,0.05,20000.0,150,2,True,,2.0,61.443085524689174,-0.039914343865291,0.8678187156631787,0.7859150250620363,0.013257592922532715,0.05788423153692615
82,5,35.0,4,1,0,0.0,20000.0,20,2,True,,2.0,59.50990544394885,-0.05831565637092499,0.8249526690451323,0.7511898153491016,0.01205307092675766,0.13572854291417166
82,5,35.0,4,1,0,0.0,20000.0,150,2,True,,2.0,59.50990544394885,-0.05831565637092499,0.8249526690451323,0.7511898153491016,0.01205307092675766,0.13572854291417166
82,5,35.0,4,1,0,0.05,20000.0,20,3,True,,2.0,39.03106207237501,0.10033891365949711,0.7922048010453958,1.2337252818298592,0.1575331460707644,0.21756487025948104
82,5,35.0,4,1,0,0.05,20000.0,150,3,True,,2.0,39.03106207237501,0.10033891365949711,0.7922048010453958,1.2337252818298592,0.1575331460707644,0.21756487025948104
82,5,35.0,4,1,0,0.0,20000.0,20,3,True,,2.0,43.37905751344582,0.008315984309738969,0.9230060269648837,1.377970768928701,0.1779648512271956,0.2654690618762475
82,5,35.0,4,1,0,0.0,20000.0,150,3,True,,2.0,43.37905751344582,0.008315984309738969,0.9230060269648837,1.377970768928701,0.1779648512271956,0.2654690618762475
82,5,35.0,4,1,0,0.05,20000.0,20,1244,True,,2.0,49.12636139994424,0.15332763395668764,0.5297692299383537,0.9400283927456556,0.2630435733056538,0.21157684630738524
82,5,35.0,4,1,0,0.05,20000.0,150,1244,True,,2.0,49.12636139994424,0.15332763395668764,0.5297692299383537,0.9400283927456556,0.2630435733056538,0.21157684630738524
82,5,35.0,4,1,0,0.0,20000.0,20,1244,True,,2.0,54.703231476101436,0.09102454991982273,0.6969752189129952,1.085541289346813,0.29019990756236497,0.2315369261477046
82,5,35.0,4,1,0,0.0,20000.0,150,1244,True,,2.0,54.703231476101436,0.09102454991982273,0.6969752189129952,1.085541289346813,0.29019990756236497,0.2315369261477046
82,5,35.0,4,1,0,0.05,20000.0,20,778,True,,2.0,48.473977247678974,-0.04175638781095911,0.775762163117779,1.1702011956708303,0.5118883527792523,0.1596806387225549
82,5,35.0,4,1,0,0.05,20000.0,150,778,True,,2.0,48.473977247678974,-0.04175638781095911,0.775762163117779,1.1702011956708303,0.5118883527792523,0.1596806387225549
82,5,35.0,4,1,0,0.0,20000.0,20,778,True,,2.0,46.58225558994538,-0.018419561359141842,0.7393446082405338,1.0977689115832971,0.5082395777811501,0.16367265469061876
82,5,35.0,4,1,0,0.0,20000.0,150,778,True,,2.0,46.58225558994538,-0.018419561359141842,0.7393446082405338,1.0977689115832971,0.5082395777811501,0.16367265469061876
82,5,35.0,4,1,0,0.05,20000.0,20,312,True,,2.0,40.72446860998567,-0.1093515768032578,0.4717381318700423,0.7242310871100239,0.2508565763425255,0.11177644710578842
82,5,35.0,4,1,0,0.05,20000.0,150,312,True,,2.0,40.72446860998567,-0.1093515768032578,0.4717381318700423,0.7242310871100239,0.2508565763425255,0.11177644710578842
82,5,35.0,4,1,0,0.0,20000.0,20,312,True,,2.0,40.85249474785274,0.0018904871268861257,0.5413041439302727,0.810720017767745,0.23413468179497712,0.10179640718562874
82,5,35.0,4,1,0,0.0,20000.0,150,312,True,,2.0,40.85249474785274,0.0018904871268861257,0.5413041439302727,0.810720017767745,0.23413468179497712,0.10179640718562874
