configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,requested_horizon_s,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
85,5,35.0,4,2,0,0.05,1.0,20,4,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,4,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,4,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,4,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,1088,14.176,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,1088,14.176,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,1088,14.176,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,1088,14.176,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,622,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,622,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,622,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,622,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,620,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,620,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,620,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,620,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,2,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,2,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,2,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,2,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,3,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,3,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,3,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,3,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,1244,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,1244,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,1244,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,1244,14.064,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,778,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,778,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,778,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,778,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,20,312,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.05,1.0,150,312,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,20,312,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
85,5,35.0,4,2,0,0.0,1.0,150,312,14.172,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
