configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
46,3,35.0,4,1,0,0.05,1.0,20,4,True,,2.0,0.7140157387321013,-0.0136031706185967,0.3643623880476886,0.5466330611131436,0.1461963920241158,0.1836327345309381
46,3,35.0,4,1,0,0.05,1.0,150,4,True,,2.0,0.7140157387321013,-0.0136031706185967,0.3643623880476886,0.5466330611131436,0.1461963920241158,0.1836327345309381
46,3,35.0,4,1,0,0.0,1.0,20,4,True,,2.0,0.6880523695247605,0.0383560256275157,0.3196191149737046,0.4846913529889384,0.1400425318432074,0.1936127744510978
46,3,35.0,4,1,0,0.0,1.0,150,4,True,,2.0,0.6880523695247605,0.0383560256275157,0.3196191149737046,0.4846913529889384,0.1400425318432074,0.1936127744510978
46,3,35.0,4,1,0,0.05,1.0,20,1088,True,,2.0,1.5615140572642388,0.0715574285020669,0.8163721554473368,1.138294033346474,0.197047862835498,0.0938123752495009
46,3,35.0,4,1,0,0.05,1.0,150,1088,True,,2.0,1.5615140572642388,0.0715574285020669,0.8163721554473368,1.138294033346474,0.197047862835498,0.0938123752495009
46,3,35.0,4,1,0,0.0,1.0,20,1088,True,,2.0,1.410373531798683,0.1273412965921466,0.5923743421438634,0.9113632173635492,0.1959113769143117,0.0678642714570858
46,3,35.0,4,1,0,0.0,1.0,150,1088,True,,2.0,1.410373531798683,0.1273412965921466,0.5923743421438634,0.9113632173635492,0.1959113769143117,0.0678642714570858
46,3,35.0,4,1,0,0.05,1.0,20,622,True,,2.0,1.430441144587647,0.0013369314691748,0.776400447040051,0.8809551215544119,0.0099683705525084,0.1297405189620758
46,3,35.0,4,1,0,0.05,1.0,150,622,True,,2.0,1.430441144587647,0.0013369314691748,0.776400447040051,0.8809551215544119,0.0099683705525084,0.1297405189620758
