configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
208,4,0,0.0,1.996,success,,1.996,236.17885448597372,14214,500,21.968983427469965,500,32.7621544062077,32.92759629130236
208,4,1,2.0,1.996,success,,1.996,237.69341927208006,14332,500,17.062537857918993,500,37.567392903510836,37.51037666140209
208,4,2,4.0,1.996,success,,1.996,133.8877608627081,8086,500,12.604247001115354,500,33.55456512858756,33.46791786974259
208,4,3,6.0,1.996,success,,1.996,215.0695005506277,13034,500,25.600194009674297,500,37.92114955876998,37.70666384204831
208,4,4,8.0,1.996,success,,1.996,211.6950534451753,12570,500,29.01686218395637,500,37.32681826604055,36.50484672494298
208,4,5,10.0,1.996,success,,1.996,191.66171743161976,11486,500,25.585214312960854,500,34.40138999285579,34.3679726242174
208,4,6,12.0,1.996,success,,1.996,182.7376703005284,11021,500,32.28380724320221,500,41.24569980224228,41.13645344694672
208,4,7,14.0,0.06,success,,0.06,8.13858732022345,497,16,9.038078314529375,16,26.90401970360278,15.418560627153239
208,1088,0,0.0,1.996,success,,1.996,173.2292988076806,10452,500,28.10850486303418,500,48.55496952150634,48.595615532398256
208,1088,1,2.0,1.996,success,,1.996,199.9330463334918,12060,500,10.528188973130924,500,38.64845686464706,38.604260499974465
208,1088,2,4.0,1.996,failed,integration error: model derivative became non-finite,0.8285897951836714,535.9872121568769,32414,0,,0,,
208,1088,3,6.0,1.996,failed,integration error: model derivative became non-finite,1.1816711099859598,597.4182698111981,36111,0,,0,,
208,1088,4,8.0,1.996,success,,1.996,161.20591769181192,9826,500,43.74120759811784,500,91.89783099604469,91.61218951311659
208,1088,5,10.0,1.996,success,,1.996,226.9708019439131,13837,500,27.53463808603492,500,49.69151993073347,49.547159864130485
208,1088,6,12.0,1.996,failed,integration error: model derivative became non-finite,1.8669048026420487,653.1650422886014,39815,0,,0,,
208,1088,7,14.0,0.17200000000000001,success,,0.17200000000000001,19.74321699887514,1203,44,51.82117121089018,44,47.64727592289017,46.08815745048841
208,622,0,0.0,1.996,failed,integration error: model derivative became non-finite,0.7480356648261836,540.7758464813232,32588,0,,0,,
208,622,1,2.0,1.996,success,,1.996,166.25272577814758,10021,500,31.097279876153614,500,59.95382902059559,59.807689772048185
208,622,2,4.0,1.996,success,,1.996,142.60276107303798,8557,500,31.083651933599413,500,49.59003082738922,48.906929919012356
208,622,3,6.0,1.996,failed,integration error: model derivative became non-finite,0.275968409032094,487.08199761621654,29354,0,,0,,
208,622,4,8.0,1.996,success,,1.996,223.49658213369548,13489,500,16.750705919979676,500,37.0611892136755,37.02500108951819
208,622,5,10.0,1.996,success,,1.996,226.89116213284433,13690,500,24.434414049361408,500,41.676646871654285,41.92731851806071
208,622,6,12.0,1.996,failed,integration error: model derivative became non-finite,1.9429000615661718,618.6464758049697,37599,0,,0,,
208,622,7,14.0,0.168,success,,0.168,16.0224633757025,972,43,39.95155398324376,43,71.95600687492548,69.89286862360727
208,620,0,0.0,1.996,success,,1.996,265.66173463501036,16130,500,9.791445794070547,500,37.10421106221224,37.04723133502786
208,620,1,2.0,1.996,success,,1.996,153.0032517760992,9309,500,31.492224790548075,500,51.80427110044997,51.1762534753923
208,620,2,4.0,1.996,success,,1.996,174.08898136392236,10504,500,44.365269845182034,500,63.28820768744423,63.05959827339759
208,620,3,6.0,1.996,failed,integration error: model derivative became non-finite,0.5740609634456925,507.9453718625009,30826,0,,0,,
208,620,4,8.0,1.996,success,,1.996,201.7556877490133,12358,500,23.671010496635365,500,44.03338392335242,43.963373747545596
208,620,5,10.0,1.996,failed,integration error: model derivative became non-finite,1.7007751020877049,602.0761293563992,37137,0,,0,,
208,620,6,12.0,1.996,success,,1.996,166.24130545184016,10275,500,26.987636767660256,500,42.77219800200768,42.86669754728316
208,620,7,14.0,0.168,success,,0.168,11.650266911834478,713,43,27.555270999143122,43,42.09175548128774,39.37776046442514
