degree,parameter,value,configurations,all_held_out_completed_count,all_held_out_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction
1,lowpass_hz,35.0,36,36,1.0,324,324,1.0
1,lowpass_hz,80.0,36,36,1.0,324,324,1.0
1,n_delays,2,18,18,1.0,162,162,1.0
1,n_delays,4,18,18,1.0,162,162,1.0
1,n_delays,6,18,18,1.0,162,162,1.0
1,n_delays,8,18,18,1.0,162,162,1.0
1,delay_samples,1,24,24,1.0,216,216,1.0
1,delay_samples,2,24,24,1.0,216,216,1.0
1,delay_samples,5,24,24,1.0,216,216,1.0
1,smooth_window_samples,0,24,24,1.0,216,216,1.0
1,smooth_window_samples,5,24,24,1.0,216,216,1.0
1,smooth_window_samples,9,24,24,1.0,216,216,1.0
2,lowpass_hz,35.0,36,19,0.5277777777777778,324,242,0.7469135802469136
2,lowpass_hz,80.0,36,14,0.3888888888888889,324,216,0.6666666666666666
2,n_delays,2,18,14,0.7777777777777778,162,156,0.9629629629629629
2,n_delays,4,18,9,0.5,162,126,0.7777777777777778
2,n_delays,6,18,8,0.4444444444444444,162,111,0.6851851851851852
2,n_delays,8,18,2,0.1111111111111111,162,65,0.4012345679012346
2,delay_samples,1,24,12,0.5,216,137,0.6342592592592593
2,delay_samples,2,24,10,0.4166666666666667,216,141,0.6527777777777778
2,delay_samples,5,24,11,0.4583333333333333,216,180,0.8333333333333334
2,smooth_window_samples,0,24,12,0.5,216,169,0.7824074074074074
2,smooth_window_samples,5,24,10,0.4166666666666667,216,152,0.7037037037037037
2,smooth_window_samples,9,24,11,0.4583333333333333,216,137,0.6342592592592593
3,lowpass_hz,35.0,36,12,0.3333333333333333,324,152,0.4691358024691358
3,lowpass_hz,80.0,36,13,0.3611111111111111,324,184,0.5679012345679012
3,n_delays,2,18,18,1.0,162,162,1.0
3,n_delays,4,18,5,0.2777777777777778,162,87,0.5370370370370371
3,n_delays,6,18,2,0.1111111111111111,162,51,0.3148148148148148
3,n_delays,8,18,0,0.0,162,36,0.2222222222222222
3,delay_samples,1,24,9,0.375,216,104,0.48148148148148145
3,delay_samples,2,24,10,0.4166666666666667,216,125,0.5787037037037037
3,delay_samples,5,24,6,0.25,216,107,0.49537037037037035
3,smooth_window_samples,0,24,9,0.375,216,124,0.5740740740740741
3,smooth_window_samples,5,24,9,0.375,216,121,0.5601851851851852
3,smooth_window_samples,9,24,7,0.2916666666666667,216,91,0.4212962962962963
