parameter,value,matched_equation_pairs,mean_coefficient_cosine_similarity,median_coefficient_cosine_similarity,minimum_coefficient_cosine_similarity,mean_relative_l2_change_from_35hz,median_relative_l2_change_from_35hz,maximum_relative_l2_change_from_35hz
degree,1,36,0.9384115269521123,0.9952064158596037,0.4592768791911497,0.3717824533757266,0.22510871918476388,0.8961293994722521
degree,2,36,0.8958155912707362,0.9328670461290451,0.45294969600442203,0.4618189235652516,0.5155772583384293,0.8987046169526175
degree,3,36,0.8892155393710856,0.9201403106145327,0.439680745688861,0.4826769946998172,0.5175601083239576,0.9030919927623517
n_delays,2,27,0.9728890703560739,0.9993398809569994,0.7561988557366442,0.19002056954531518,0.14631076685100664,0.8142108673888999
n_delays,4,27,0.9498104685102755,0.9890669666340192,0.8089015931150417,0.3745372199307584,0.35536672598216246,0.6320595811425029
n_delays,6,27,0.8948677318532452,0.9131454351966188,0.680784357003819,0.539510505755831,0.5711126193043916,0.7745232046712519
n_delays,8,27,0.8136896060723174,0.9094724104045535,0.439680745688861,0.6509695336224892,0.7954929716725084,0.9030919927623517
delay_samples,1,36,0.9723430494365597,0.9807685488605982,0.9094724104045535,0.46713984899278554,0.5214989036199292,0.8391433492412687
delay_samples,2,36,0.8174268235324863,0.8310541036884165,0.439680745688861,0.5348432979524039,0.627588691626666,0.9030919927623517
delay_samples,5,36,0.9336727846248878,0.9905113615165284,0.7561988557366442,0.314295224695606,0.17412352432265502,0.8142108673888999
smooth_window_samples,0,36,0.8789628533790952,0.9196585158250454,0.571509772456289,0.5317500057648733,0.5796107233804352,0.8499946448755288
smooth_window_samples,5,36,0.9164513573411178,0.977280885627648,0.6745476844324476,0.45355006675007975,0.49358566829953776,0.8080361722914433
smooth_window_samples,9,36,0.9280284468737209,0.9911722546700573,0.439680745688861,0.3309782991258423,0.2293537500666934,0.9030919927623517
