degree,n_delays,delay_samples,smooth_window_samples,configuration_35hz,configuration_80hz,completed_trials_35hz,completed_trials_80hz,completed_trials_difference_80_minus_35,all_9_completed_35hz,all_9_completed_80hz,coefficient_cosine_similarity,coefficient_relative_l2_change_from_35hz
1,2,1,0,1,109,9,9,0,True,True,0.9999552072403695,0.14631076685100664
1,2,1,5,2,110,9,9,0,True,True,0.9999821606761188,0.08599474878031421
1,2,1,9,3,111,9,9,0,True,True,0.9999992411407442,0.018651641693993953
1,2,2,0,4,112,9,9,0,True,True,0.9996817518167851,0.20572932623757823
1,2,2,5,5,113,9,9,0,True,True,0.9998425331401566,0.13239890599083098
1,2,2,9,6,114,9,9,0,True,True,0.9999919565846518,0.02703971943863057
1,2,5,0,7,115,9,9,0,True,True,0.9998871311279252,0.13631629706919557
1,2,5,5,8,116,9,9,0,True,True,0.9999256470715598,0.1339279021457933
1,2,5,9,9,117,9,9,0,True,True,0.9999748686553689,0.05325911076439104
1,4,1,0,10,118,9,9,0,True,True,0.9817147273477629,0.47543795679456535
1,4,1,5,11,119,9,9,0,True,True,0.9930493517773188,0.34673290223623315
1,4,1,9,12,120,9,9,0,True,True,0.9910614716222156,0.3046055490867128
1,4,2,0,13,121,9,9,0,True,True,0.9044895891535765,0.5996416599813219
1,4,2,5,14,122,9,9,0,True,True,0.9563764579084877,0.4843862209096294
1,4,2,9,15,123,9,9,0,True,True,0.9921597932480819,0.24448811213194954
1,4,5,0,16,124,9,9,0,True,True,0.9982410953059571,0.15922644635204275
1,4,5,5,17,125,9,9,0,True,True,0.9982299858963242,0.15923288973175415
1,4,5,9,18,126,9,9,0,True,True,0.9987462262714392,0.08731291089894734
1,6,1,0,19,127,9,9,0,True,True,0.9446202255938253,0.7111726139935152
1,6,1,5,20,128,9,9,0,True,True,0.981615391081841,0.5598012308038087
1,6,1,9,21,129,9,9,0,True,True,0.9775684045551415,0.5711126193043916
1,6,2,0,22,130,9,9,0,True,True,0.7497246393557401,0.759142434538008
1,6,2,5,23,131,9,9,0,True,True,0.8324126739815169,0.6913022070937622
1,6,2,9,24,132,9,9,0,True,True,0.8989990771922262,0.5335001053668607
1,6,5,0,25,133,9,9,0,True,True,0.9976039755184625,0.16973652502847375
1,6,5,5,26,134,9,9,0,True,True,0.9975543877680935,0.1706309930682047
1,6,5,9,27,135,9,9,0,True,True,0.9983748649238711,0.09718475897985589
1,8,1,0,28,136,9,9,0,True,True,0.9243444151444059,0.8367214662355325
