parameter,value,configurations,all_held_out_completed_count,all_held_out_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction
degree,1,72,72,1.0,648,648,1.0
degree,2,72,33,0.4583333333333333,648,458,0.7067901234567902
degree,3,72,25,0.3472222222222222,648,336,0.5185185185185185
lowpass_hz,35.0,108,67,0.6203703703703703,972,718,0.7386831275720165
lowpass_hz,80.0,108,63,0.5833333333333334,972,724,0.7448559670781894
n_delays,2,54,50,0.9259259259259259,486,480,0.9876543209876543
n_delays,4,54,32,0.5925925925925926,486,375,0.7716049382716049
n_delays,6,54,28,0.5185185185185185,486,324,0.6666666666666666
n_delays,8,54,20,0.37037037037037035,486,263,0.5411522633744856
delay_samples,1,72,45,0.625,648,457,0.7052469135802469
delay_samples,2,72,44,0.6111111111111112,648,482,0.7438271604938271
delay_samples,5,72,41,0.5694444444444444,648,503,0.7762345679012346
smooth_window_samples,0,72,45,0.625,648,509,0.7854938271604939
smooth_window_samples,5,72,43,0.5972222222222222,648,489,0.7546296296296297
smooth_window_samples,9,72,42,0.5833333333333334,648,444,0.6851851851851852
nonzero_terms,4,18,18,1.0,162,162,1.0
nonzero_terms,11,4,4,1.0,36,36,1.0
nonzero_terms,12,16,12,0.75,144,138,0.9583333333333334
nonzero_terms,16,16,16,1.0,144,144,1.0
nonzero_terms,19,5,5,1.0,45,45,1.0
nonzero_terms,20,13,13,1.0,117,117,1.0
nonzero_terms,28,1,1,1.0,9,9,1.0
nonzero_terms,30,1,1,1.0,9,9,1.0
nonzero_terms,34,4,4,1.0,36,36,1.0
nonzero_terms,36,12,12,1.0,108,108,1.0
nonzero_terms,51,1,1,1.0,9,9,1.0
nonzero_terms,54,1,1,1.0,9,9,1.0
nonzero_terms,56,2,2,1.0,18,18,1.0
nonzero_terms,57,6,4,0.6666666666666666,54,44,0.8148148148148148
nonzero_terms,58,2,2,1.0,18,18,1.0
nonzero_terms,59,6,1,0.16666666666666666,54,39,0.7222222222222222
nonzero_terms,60,3,1,0.3333333333333333,27,16,0.5925925925925926
nonzero_terms,62,3,3,1.0,27,27,1.0
nonzero_terms,64,12,12,1.0,108,108,1.0
nonzero_terms,132,1,0,0.0,9,0,0.0
nonzero_terms,135,6,3,0.5,54,38,0.7037037037037037
nonzero_terms,136,4,1,0.25,36,22,0.6111111111111112
nonzero_terms,137,4,0,0.0,36,14,0.3888888888888889
nonzero_terms,138,1,0,0.0,9,4,0.4444444444444444
nonzero_terms,139,2,1,0.5,18,9,0.5
nonzero_terms,156,3,0,0.0,27,7,0.25925925925925924
nonzero_terms,157,1,0,0.0,9,0,0.0
nonzero_terms,158,1,1,1.0,9,9,1.0
nonzero_terms,159,3,2,0.6666666666666666,27,26,0.9629629629629629
nonzero_terms,160,1,0,0.0,9,8,0.8888888888888888
nonzero_terms,161,3,1,0.3333333333333333,27,17,0.6296296296296297
nonzero_terms,162,2,2,1.0,18,18,1.0
nonzero_terms,163,4,2,0.5,36,26,0.7222222222222222
nonzero_terms,326,1,0,0.0,9,7,0.7777777777777778
nonzero_terms,328,2,0,0.0,18,3,0.16666666666666666
nonzero_terms,331,1,0,0.0,9,4,0.4444444444444444
nonzero_terms,332,2,0,0.0,18,8,0.4444444444444444
nonzero_terms,335,3,0,0.0,27,0,0.0
nonzero_terms,336,1,0,0.0,9,6,0.6666666666666666
nonzero_terms,337,4,1,0.25,36,17,0.4722222222222222
nonzero_terms,338,1,0,0.0,9,6,0.6666666666666666
nonzero_terms,339,1,1,1.0,9,9,1.0
nonzero_terms,340,1,0,0.0,9,5,0.5555555555555556
nonzero_terms,344,1,0,0.0,9,0,0.0
nonzero_terms,466,1,0,0.0,9,8,0.8888888888888888
nonzero_terms,469,1,0,0.0,9,5,0.5555555555555556
nonzero_terms,470,1,0,0.0,9,0,0.0
nonzero_terms,471,1,0,0.0,9,1,0.1111111111111111
nonzero_terms,472,1,0,0.0,9,3,0.3333333333333333
nonzero_terms,474,1,0,0.0,9,0,0.0
nonzero_terms,475,1,0,0.0,9,8,0.8888888888888888
nonzero_terms,476,2,1,0.5,18,9,0.5
nonzero_terms,478,2,1,0.5,18,9,0.5
nonzero_terms,479,2,0,0.0,18,3,0.16666666666666666
nonzero_terms,480,1,0,0.0,9,1,0.1111111111111111
nonzero_terms,481,1,0,0.0,9,1,0.1111111111111111
nonzero_terms,483,1,0,0.0,9,3,0.3333333333333333
nonzero_terms,484,1,0,0.0,9,0,0.0
nonzero_terms,485,1,0,0.0,9,0,0.0
nonzero_terms,1198,1,0,0.0,9,0,0.0
nonzero_terms,1201,1,0,0.0,9,1,0.1111111111111111
nonzero_terms,1202,1,0,0.0,9,5,0.5555555555555556
nonzero_terms,1203,1,0,0.0,9,5,0.5555555555555556
nonzero_terms,1204,1,0,0.0,9,4,0.4444444444444444
nonzero_terms,1205,1,0,0.0,9,7,0.7777777777777778
nonzero_terms,1206,1,0,0.0,9,0,0.0
nonzero_terms,1208,1,0,0.0,9,2,0.2222222222222222
nonzero_terms,1209,1,0,0.0,9,2,0.2222222222222222
nonzero_terms,1210,2,0,0.0,18,4,0.2222222222222222
nonzero_terms,1211,1,0,0.0,9,0,0.0
nonzero_terms,1213,2,0,0.0,18,3,0.16666666666666666
nonzero_terms,1216,1,0,0.0,9,2,0.2222222222222222
nonzero_terms,1222,1,0,0.0,9,0,0.0
nonzero_terms,1238,1,0,0.0,9,0,0.0
nonzero_terms,1240,1,0,0.0,9,1,0.1111111111111111
