n_modes,degree,threshold,explained_variance,nonzero_terms,n_completed,n_test,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
3,1,0.0,0.5735971025106141,12,9,9,0.7567178196062007,0.007707540996043888,0.34175174820525955,42.335991358936845
3,1,100.0,0.5735971025106141,12,9,9,0.7567178196062007,0.007707540996043888,0.34175174820525955,42.335991358936845
3,1,1000.0,0.5735971025106141,4,9,9,0.7575434544565024,0.022795162726785577,0.35842182045161763,42.453744625121146
3,1,10000.0,0.5735971025106141,4,9,9,0.7575434544565024,0.022795162726785577,0.35842182045161763,42.453744625121146
3,2,0.0,0.5735971025106141,30,9,9,0.7636000968511062,-0.061819841165440696,0.31924991925093893,42.6022994743705
3,2,100.0,0.5735971025106141,28,9,9,0.7635728434383345,-0.061708288959130456,0.3182607316028892,42.61539528177583
3,2,1000.0,0.5735971025106141,16,9,9,0.7641909072469046,-0.06700402508931076,0.31925991915408214,42.2947625840196
3,2,10000.0,0.5735971025106141,6,9,9,0.7667763673118824,-0.07465284963231777,0.3640363856431843,42.53451762504784
3,3,0.0,0.5735971025106141,60,9,9,0.7587472748655375,0.011194004544134408,0.41259976647775465,43.19246028139839
3,3,100.0,0.5735971025106141,59,9,9,0.7577863910454388,0.010989107744279874,0.41037977303958173,43.16101707550397
3,3,1000.0,0.5735971025106141,45,9,9,0.758528324204488,0.018912710582431966,0.3639801853946015,42.4748675111816
3,3,10000.0,0.5735971025106141,15,9,9,0.7575214323945455,0.016387181785368184,0.3630796916193689,42.17223261189819
5,1,0.0,0.6935933685443778,30,9,9,0.62753119030673,-0.07229626832668214,0.3185051492879111,46.995065261130506
5,1,100.0,0.6935933685443778,28,9,9,0.6273937448386304,-0.07232578128762837,0.3183264234231575,46.99480071473997
5,1,1000.0,0.6935933685443778,16,9,9,0.6222666323084791,-0.07278798920798335,0.32174993230923393,47.23755313224301
5,1,10000.0,0.6935933685443778,12,9,9,0.6219134228685961,-0.07281390066722228,0.32141623565510447,47.2393383436396
5,2,0.0,0.6935933685443778,105,9,9,0.6482227164433166,-0.028054718554886903,0.38252453423104743,46.42392293303826
5,2,100.0,0.6935933685443778,101,9,9,0.648300208326326,-0.028260467417713903,0.3837023364729527,46.44293836342364
5,2,1000.0,0.6935933685443778,78,9,9,0.6520144265740424,-0.032292663880505564,0.3659335169819415,45.79038985965086
5,2,10000.0,0.6935933685443778,16,9,9,0.6228544338790242,-0.05416068374108866,0.32279525469609127,47.44399475823121
5,3,0.0,0.6935933685443778,280,8,9,0.6775348237758652,-0.003024559724325508,0.26896877455196033,42.69327810089517
5,3,100.0,0.6935933685443778,274,8,9,0.6775642534755484,-0.004189096646217794,0.26939994667596934,42.70347517068479
5,3,1000.0,0.6935933685443778,226,8,9,0.6782641865964081,-0.0066896080519349655,0.255494487695981,42.53245613681814
5,3,10000.0,0.6935933685443778,49,9,9,0.636965152652676,-0.03495341377240219,0.35500985989029704,46.096612671876315
8,1,0.0,0.8326768479845444,72,9,9,0.7619929183720432,-0.04773649568963922,0.7367085833780739,41.64075949410742
8,1,100.0,0.8326768479845444,68,9,9,0.762180696629865,-0.04776310592422175,0.7362734305109053,41.636791901838805
8,1,1000.0,0.8326768479845444,49,9,9,0.7851924347946748,-0.04950761692259969,0.7705903155520142,42.23813790306385
8,1,10000.0,0.8326768479845444,32,9,9,0.7831459817603582,-0.05198030915813821,0.7764234573256917,42.35455950597945
8,2,0.0,0.8326768479845444,360,9,9,0.7984747676491145,-0.08798188411137849,0.7265358785037381,41.208062975298276
8,2,100.0,0.8326768479845444,344,9,9,0.7983177822985663,-0.08716523943967858,0.7295356715963076,41.24454712035316
8,2,1000.0,0.8326768479845444,275,9,9,0.7917086277048806,-0.09396735950138412,0.7281033683940936,41.35403633677917
8,2,10000.0,0.8326768479845444,47,9,9,0.8182649285615937,-0.05634834530656059,0.7502746295537124,41.992478407701995
8,3,0.0,0.8326768479845444,1320,8,9,0.7269742668317718,-0.01793699480855008,0.6809221049749514,41.35578204522824
8,3,100.0,0.8326768479845444,1281,8,9,0.7304400092057842,-0.008222516104487557,0.6763005535161107,41.336655643810786
8,3,1000.0,0.8326768479845444,1030,8,9,0.7301370425793501,-0.0003809233796808996,0.6860744380422416,41.54540988578733
8,3,10000.0,0.8326768479845444,181,7,9,0.749538121565928,0.12210811870350037,0.7662867390442115,42.54555532749619
12,1,0.0,0.9342452899727535,156,9,9,0.6393008790439317,0.06813323092470755,0.8788846572724364,47.80529177840381
12,1,100.0,0.9342452899727535,142,9,9,0.6384191928033797,0.06805689440190121,0.8824666012243616,47.8979763266518
12,1,1000.0,0.9342452899727535,101,9,9,0.63130880972516,0.06874744341786707,0.9221709319452133,48.864562192568954
12,1,10000.0,0.9342452899727535,72,9,9,0.6341798381495627,0.06588269529892699,0.9264078193253693,48.90039462857754
12,2,0.0,0.9342452899727535,1092,9,9,0.6236242302375717,0.036439861778650974,0.8623374749980273,48.11428687997589
12,2,100.0,0.9342452899727535,1055,9,9,0.6211087118732822,0.037013405758938196,0.8640542834841699,48.150475809306556
12,2,1000.0,0.9342452899727535,792,9,9,0.63462358450041,0.038053924771539696,0.9170311921485588,49.6640802243677
12,2,10000.0,0.9342452899727535,158,9,9,0.6201974953888953,0.014410990997381063,0.9025908616039329,49.51452884013332
12,3,0.0,0.9342452899727535,5460,5,9,0.8155041336902399,0.051293985183687316,0.7752550138420239,44.52257621138967
