case,n_train,replicate,seed,nonzero_terms,n_completed,n_test,completed_trials,train_ids,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
nd4,4,0,4000,30,6,9,0;2;3;5;7;8,621;469;933;1087,0.15293104393138765,-5.1508945013099263e-05,0.7539306521011974,42.664398178130284
nd4,4,1,4001,37,9,9,0;1;2;3;4;5;6;7;8,1;931;313;465,0.1350522721900045,0.0006496347455524549,1.414060852048629,62.45959448451845
nd4,4,2,4002,35,9,9,0;1;2;3;4;5;6;7;8,0;467;931;469,0.1340099209429214,0.0011554736872455259,1.1661319014476499,56.019315727625255
nd4,4,3,4003,39,8,9,0;1;2;3;4;5;7;8,0;776;775;466,0.11882764555309366,-0.004245283708351403,0.826575473390003,46.62081095225838
nd4,4,4,4004,28,9,9,0;1;2;3;4;5;6;7;8,776;157;155;1085,0.12851582233859393,0.01803401524939498,0.8010431582260411,46.20812672009598
nd4,8,0,8000,49,0,9,,0;934;775;1086;156;467;155;469,nan,nan,nan,nan
nd4,8,1,8001,39,9,9,0;1;2;3;4;5;6;7;8,0;775;621;777;932;469;933;1085,0.1283458119444959,-0.03642345601691955,0.748633629374233,46.30266226895405
nd4,8,2,8002,51,9,9,0;1;2;3;4;5;6;7;8,1398;0;776;311;310;930;313;469,0.19301765501517903,-0.017115885285411032,0.6365678255640685,51.404888088222634
nd4,8,3,8003,44,9,9,0;1;2;3;4;5;6;7;8,776;934;1086;621;931;157;469;1085,0.12185150871695644,-0.020898617918417777,1.9816393228256428,67.92412219241508
nd4,8,4,8004,47,9,9,0;1;2;3;4;5;6;7;8,1;311;310;621;932;469;465;466,0.12933901308805573,-0.00433029799144445,0.6941577478181485,43.12473877633524
nd4,12,0,12000,57,0,9,,0;934;775;310;621;777;931;313;314;155;1087;1085,nan,nan,nan,nan
nd4,12,1,12001,52,7,9,1;2;3;4;5;7;8,776;311;310;930;621;467;931;314;157;155;469;779,0.12058214420970896,-0.027628545480194378,0.6366267227373621,45.099068190622795
nd4,12,2,12002,56,3,9,2;4;7,1398;1086;621;777;467;931;314;157;155;469;1087;1085,0.14803646326350708,-0.052580136152222616,1.4909336487213625,59.4974882586291
nd4,12,3,12003,55,9,9,0;1;2;3;4;5;6;7;8,1398;0;776;934;156;621;467;313;932;465;933;1087,0.1836564542637697,0.0032595275883100456,1.2035244902877336,54.007079912970724
nd4,12,4,12004,57,9,9,0;1;2;3;4;5;6;7;8,0;775;1086;310;930;467;931;313;932;157;1087;466,0.10324731609334505,0.0026177354893606106,0.8300237343519219,47.960043779935305
nd4,16,0,16000,62,8,9,0;1;2;3;4;5;7;8,1;776;934;775;311;310;156;930;158;467;932;157;779;1087;466;1085,0.11666037207569804,0.0033522750586878255,0.9551799018007592,47.404597374116584
nd4,16,1,16001,60,8,9,0;1;2;3;4;5;7;8,1;0;776;934;775;311;1086;156;777;158;931;313;314;465;466;1085,0.11842136166172693,0.015011752142097542,0.6617702186985892,44.15675244885104
nd4,16,2,16002,63,6,9,1;2;3;4;5;7,0;776;934;775;311;310;156;930;621;158;931;313;779;933;466;1085,0.11929721433460955,0.022773501928156185,1.59255059796938,64.81158955591974
nd4,16,3,16003,60,2,9,1;5,1398;934;775;1086;310;156;930;777;931;313;314;155;469;465;1087;466,0.14396120454765554,-0.0274891521143418,1.6940511821152346,60.84536719306149
nd4,16,4,16004,59,4,9,1;2;4;5,1;0;775;311;621;158;931;932;314;157;155;469;465;1087;466;1085,0.10662112282367457,-0.024973962570794185,0.5258485494717591,46.17018086166967
nd4,20,0,20000,66,6,9,1;2;3;4;5;7,1398;1;776;775;311;1086;310;156;930;621;777;158;467;931;314;157;155;465;933;1085,0.117963122077334,0.04712230748117808,1.38646639441763,57.160654520511045
