case,n_train,replicate,seed,nonzero_terms,n_completed,n_test,completed_trials,train_ids,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
nd4,4,0,4000,30,6,9,0;2;3;5;7;8,621;469;933;1087,0.15293102024474878,-5.1538074606642106e-05,0.7539312402776255,42.66440048194006
nd4,4,1,4001,37,9,9,0;1;2;3;4;5;6;7;8,1;931;313;465,0.13505222631159444,0.0006495438423766167,1.414056854493531,62.459569090016245
nd4,4,2,4002,35,9,9,0;1;2;3;4;5;6;7;8,0;467;931;469,0.13400993412810924,0.0011580914049168127,1.1661314535007292,56.01924516579295
nd4,4,3,4003,39,8,9,0;1;2;3;4;5;7;8,0;776;775;466,0.11882765716493787,-0.00424541238522664,0.8265762016027082,46.62082447168946
nd4,4,4,4004,28,9,9,0;1;2;3;4;5;6;7;8,776;157;155;1085,0.12851580927686918,0.018033943939058335,0.8010437031273664,46.208097207030434
nd4,8,0,8000,49,0,9,,0;934;775;1086;156;467;155;469,nan,nan,nan,nan
nd4,8,1,8001,39,9,9,0;1;2;3;4;5;6;7;8,0;775;621;777;932;469;933;1085,0.12834589451675785,-0.03642074043987599,0.7486342488029833,46.302737977175575
nd4,8,2,8002,51,9,9,0;1;2;3;4;5;6;7;8,1398;0;776;311;310;930;313;469,0.1930171252635585,-0.017115582481359446,0.6365676187178587,51.40492827373852
nd4,8,3,8003,44,9,9,0;1;2;3;4;5;6;7;8,776;934;1086;621;931;157;469;1085,0.12185149624797922,-0.020898591012267494,1.981631434163873,67.9240981409789
nd4,8,4,8004,47,9,9,0;1;2;3;4;5;6;7;8,1;311;310;621;932;469;465;466,0.1293391253171035,-0.004330048252465095,0.6941579915541272,43.124742772653114
nd4,12,0,12000,57,0,9,,0;934;775;310;621;777;931;313;314;155;1087;1085,nan,nan,nan,nan
nd4,12,1,12001,52,8,9,1;2;3;4;5;6;7;8,776;311;310;930;621;467;931;314;157;155;469;779,0.14270037295404653,-0.023953379417063797,0.6307281725969103,46.2987946219225
nd4,12,2,12002,56,3,9,2;4;7,1398;1086;621;777;467;931;314;157;155;469;1087;1085,0.14814234042324173,-0.05094021540294359,1.490945883961544,59.49763761192079
nd4,12,3,12003,55,9,9,0;1;2;3;4;5;6;7;8,1398;0;776;934;156;621;467;313;932;465;933;1087,0.1836570537287165,0.0004950346993796251,1.2035298885998977,54.00706365847821
nd4,12,4,12004,57,9,9,0;1;2;3;4;5;6;7;8,0;775;1086;310;930;467;931;313;932;157;1087;466,0.10324754292710936,0.002621627547898335,0.8300261192295186,47.9601696142278
nd4,16,0,16000,62,8,9,0;1;2;3;4;5;7;8,1;776;934;775;311;310;156;930;158;467;932;157;779;1087;466;1085,0.11666032503547771,0.0033528271636996884,0.9551817327115402,47.40454760729581
nd4,16,1,16001,60,8,9,0;1;2;3;4;5;7;8,1;0;776;934;775;311;1086;156;777;158;931;313;314;465;466;1085,0.11842142320295096,0.015017786095020911,0.6617676245040198,44.156710140863154
nd4,16,2,16002,63,6,9,1;2;3;4;5;7,0;776;934;775;311;310;156;930;621;158;931;313;779;933;466;1085,0.11928124992109401,0.03637333898345216,1.5925855061252467,64.81254513066034
nd4,16,3,16003,60,2,9,1;5,1398;934;775;1086;310;156;930;777;931;313;314;155;469;465;1087;466,0.14396112520189494,-0.027476998394021065,1.6937803183589009,60.84076316902554
nd4,16,4,16004,59,4,9,1;2;4;5,1;0;775;311;621;158;931;932;314;157;155;469;465;1087;466;1085,0.10662072054704022,-0.024974545880422173,0.5258601448536171,46.17026544960247
nd4,20,0,20000,66,6,9,1;2;3;4;5;7,1398;1;776;775;311;1086;310;156;930;621;777;158;467;931;314;157;155;465;933;1085,0.11796327208284961,0.04711605322927488,1.3864612626030437,57.16119500798112
nd4,20,1,20001,66,8,9,1;2;3;4;5;6;7;8,1398;1;0;776;775;311;310;156;930;777;158;467;931;313;932;314;157;779;465;1085,0.12452532204320865,-0.002741166771494867,1.5266306553652556,61.50822660906154
nd4,20,2,20002,64,8,9,0;1;2;3;4;5;7;8,1398;1;0;934;775;1086;156;930;777;158;467;931;314;157;155;779;933;1087;466;1085,0.1151397015089711,0.01963143880142363,1.6330573182640942,60.356628875866036
nd4,20,3,20003,68,8,9,0;1;2;3;4;5;7;8,0;776;934;311;1086;156;930;621;777;158;931;313;314;155;469;779;933;1087;466;1085,0.11211677725823485,-0.0053003757746623685,1.3343854823732104,57.809251089065555
nd4,20,4,20004,67,7,9,1;2;3;4;5;7;8,1398;0;934;775;311;1086;310;156;930;158;467;931;313;932;314;157;155;469;466;1085,0.1301944821722207,0.02473073803118698,1.425314110516937,60.60429678931161
nd4,24,0,24000,70,8,9,0;1;2;3;4;5;7;8,1;934;775;311;1086;310;156;930;621;777;158;467;931;932;314;157;155;469;779;465;933;1087;466;1085,0.11298745146384478,0.003109885833101482,1.3726560645732537,57.70951507567513
nd4,24,1,24001,73,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;934;775;310;930;621;777;158;467;931;313;932;314;157;155;469;779;465;933;1087;466;1085,0.09896935275871274,-0.014216053083824424,1.2884621923027042,56.73772691950525
nd4,24,2,24002,72,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;934;775;311;310;156;930;621;777;158;467;931;313;932;314;157;155;469;465;933;1087;1085,0.13265818763056314,0.02250149111842394,1.35253217388241,57.21557566043319
nd4,24,3,24003,72,8,9,0;1;2;3;4;5;7;8,1398;1;0;776;934;775;311;310;156;621;777;158;467;931;313;314;157;155;469;779;465;1087;466;1085,0.11902769641324638,0.0042367269285006,1.3831201524909646,58.90564124530929
nd4,24,4,24004,72,8,9,0;1;2;3;4;5;7;8,1398;1;0;776;934;775;311;310;156;930;621;777;158;467;931;313;932;314;157;155;779;933;1087;466,0.11452731935869995,0.0007058562247277359,1.4377174444396719,59.399211897387445
nd4,28,0,28000,74,8,9,0;1;2;3;4;5;7;8,1398;1;0;776;934;775;311;1086;310;156;930;621;777;158;467;931;313;932;314;157;155;469;779;465;933;1087;466;1085,0.11607262216227239,0.028923134993338838,1.3848903499611787,56.44089474894722
