configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
173,2,80.0,8,1,5,0.05,4,False,integration error: simulation exceeded 60 wall-clock seconds,1.4502937366228617,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.0,4,False,integration error: simulation exceeded 60 wall-clock seconds,1.0849208478779377,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,1088,True,,2.0,3.010699421605076,0.04011965003999999,3.4618631529794484,3.2482629655172555,0.16635180053267154,0.29740518962075846
173,2,80.0,8,1,5,0.0,1088,False,integration error: simulation exceeded 60 wall-clock seconds,1.6041308484792616,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,622,False,integration error: simulation exceeded 60 wall-clock seconds,0.6733198090671858,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.0,622,False,integration error: simulation exceeded 60 wall-clock seconds,1.0768742980738446,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,620,True,,2.0,1.834755740281636,-0.006736093210213711,1.5268215925755764,2.083269641445668,0.06522761627296066,0.1936127744510978
173,2,80.0,8,1,5,0.0,620,False,integration error: simulation exceeded 60 wall-clock seconds,1.5882492889393542,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,2,False,integration error: simulation exceeded 60 wall-clock seconds,0.7789027848982294,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.0,2,False,integration error: simulation exceeded 60 wall-clock seconds,0.7686832265924068,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,3,False,integration error: simulation exceeded 60 wall-clock seconds,0.6653903447894985,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.0,3,False,integration error: simulation exceeded 60 wall-clock seconds,0.9957093268030305,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,1244,False,integration error: simulation exceeded 60 wall-clock seconds,0.8467900746159159,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.0,1244,False,integration error: simulation exceeded 60 wall-clock seconds,1.0260447555502448,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,778,False,integration error: simulation exceeded 60 wall-clock seconds,0.4895541285905663,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.0,778,False,integration error: simulation exceeded 60 wall-clock seconds,0.3534185395467655,nan,nan,nan,nan,nan,nan
173,2,80.0,8,1,5,0.05,312,True,,2.0,1.1054865995266843,0.05444340777841805,0.7000686549994947,0.9811502848699812,0.29270416780165004,0.0718562874251497
173,2,80.0,8,1,5,0.0,312,True,,2.0,1.2179171788481307,-0.04309749591246432,0.6142161955507552,1.1070622816513365,0.29313756552676185,0.10778443113772455
