configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,35.0,,,sr3,0.1,0.05,0.01,1,2,1,4.0,4.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,2.4000184200704098,,,
2,35.0,,,sr3,0.1,0.05,0.1,1,2,1,4.0,4.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0005491971969604492,,,
3,35.0,,,sr3,0.1,0.05,1.0,1,2,1,4.0,4.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0005503073334693909,,,
4,35.0,,,sr3,0.1,0.05,10.0,1,2,1,4.0,4.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.000504620373249054,,,
5,35.0,,,sr3,0.1,0.05,0.01,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0005318243056535721,,,
6,35.0,,,sr3,0.1,0.05,0.1,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00047666020691394806,,,
7,35.0,,,sr3,0.1,0.05,1.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00045770592987537384,,,
8,35.0,,,sr3,0.1,0.05,10.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00044347532093524933,,,
9,35.0,,,sr3,0.1,0.05,0.01,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004450008273124695,,,
10,35.0,,,sr3,0.1,0.05,0.1,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00042158178985118866,,,
11,35.0,,,sr3,0.1,0.05,1.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00044106505811214447,,,
12,35.0,,,sr3,0.1,0.05,10.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00042389705777168274,,,
13,35.0,,,sr3,0.1,0.05,0.01,1,2,2,8.0,8.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.000424705445766449,,,
14,35.0,,,sr3,0.1,0.05,0.1,1,2,2,8.0,8.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004225838929414749,,,
15,35.0,,,sr3,0.1,0.05,1.0,1,2,2,8.0,8.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00045212917029857635,,,
16,35.0,,,sr3,0.1,0.05,10.0,1,2,2,8.0,8.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.000430351123213768,,,
17,35.0,,,sr3,0.1,0.05,0.01,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00044449977576732635,,,
18,35.0,,,sr3,0.1,0.05,0.1,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00043487921357154846,,,
19,35.0,,,sr3,0.1,0.05,1.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004572533071041107,,,
20,35.0,,,sr3,0.1,0.05,10.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00043400563299655914,,,
21,35.0,,,sr3,0.1,0.05,0.01,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004858449101448059,,,
22,35.0,,,sr3,0.1,0.05,0.1,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004377812147140503,,,
