dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,4,1,10,10.0,zscore,0.05,1,0,38,12,0.02,0.9803920410073732,0.9823299795513398,14,702,702,ok,
fixation_only,0,4,1,10,10.0,zscore,0.1,1,0,38,12,0.02,0.9803920410073732,0.9823299795513398,14,702,702,ok,
fixation_only,0,4,1,10,10.0,zscore,0.2,1,0,38,12,0.02,0.9803920410073732,0.9823299795513398,14,702,702,ok,
fixation_only,0,4,1,10,20.0,zscore,0.2,1,0,38,12,0.02,0.8625256388695324,0.8641832474825336,12,702,702,ok,
fixation_only,0,4,1,10,20.0,zscore,0.1,1,0,38,12,0.02,0.8625287832060835,0.8641824346269557,14,702,702,ok,
fixation_only,0,4,1,10,20.0,zscore,0.05,1,0,38,12,0.02,0.8625296892843406,0.8641809177875116,15,702,702,ok,
fixation_only,0,2,1,10,10.0,zscore,0.05,1,0,38,12,0.02,0.8295655057998234,0.8406338151076276,4,704,704,ok,
fixation_only,0,2,1,10,10.0,zscore,0.1,1,0,38,12,0.02,0.8295655057998234,0.8406338151076276,4,704,704,ok,
fixation_only,0,2,1,10,10.0,zscore,0.2,1,0,38,12,0.02,0.8295655057998234,0.8406338151076276,4,704,704,ok,
fixation_only,0,4,2,10,10.0,zscore,0.05,1,0,38,12,0.02,0.7659543484808979,0.7923909165685195,16,699,699,ok,
fixation_only,0,4,2,10,10.0,zscore,0.1,1,0,38,12,0.02,0.7659543484808979,0.7923909165685195,16,699,699,ok,
fixation_only,0,4,2,10,10.0,zscore,0.2,1,0,38,12,0.02,0.7659543484808979,0.7923909165685195,16,699,699,ok,
fixation_only,0,4,1,10,none,zscore,0.1,1,0,38,12,0.02,0.7562230745095361,0.7616546525815646,13,702,702,ok,
fixation_only,0,4,1,10,none,zscore,0.2,1,0,38,12,0.02,0.7562208848786434,0.761653329975893,12,702,702,ok,
fixation_only,0,4,1,10,none,zscore,0.05,1,0,38,12,0.02,0.7562247271444823,0.7616516447392034,14,702,702,ok,
