configuration_index,stlsq_threshold,nonzero_terms,possible_terms,term_utilization_percent,terms_removed_from_baseline
216,0.1,1320,1320,100.0,0
216,0.2,1320,1320,100.0,0
216,0.3,1320,1320,100.0,0
216,1.0,1320,1320,100.0,0
216,3.0,1319,1320,99.92424242424242,1
216,10.0,1319,1320,99.92424242424242,1
216,30.0,1316,1320,99.6969696969697,4
216,100.0,1306,1320,98.93939393939394,14
216,300.0,1278,1320,96.81818181818181,42
216,1000.0,1202,1320,91.06060606060606,118
216,3000.0,964,1320,73.03030303030303,356
216,10000.0,444,1320,33.63636363636363,876
216,30000.0,101,1320,7.651515151515151,1219
216,100000.0,18,1320,1.3636363636363635,1302
