configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
1,35.0,1,2,1,4.0,4.0,0,0.0,finite_difference,6,6,100.0,0.7621560273692012,9,9,0,1.0,True,,True
2,35.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.12153424881398678,9,9,0,1.0,True,,True
3,35.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.09608330205082893,9,9,0,1.0,True,,True
4,35.0,1,2,2,8.0,8.0,0,0.0,finite_difference,6,6,100.0,0.08418026939034462,9,9,0,1.0,True,,True
5,35.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.09323031082749367,9,9,0,1.0,True,,True
6,35.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.09708619955927134,9,9,0,1.0,True,,True
7,35.0,1,2,5,20.0,20.0,0,0.0,finite_difference,6,6,100.0,0.08228942938148975,9,9,0,1.0,True,,True
8,35.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.09454501327127218,9,9,0,1.0,True,,True
9,35.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.09520633239299059,9,9,0,1.0,True,,True
10,35.0,1,4,1,4.0,12.0,0,0.0,finite_difference,20,20,100.0,0.15172613319009542,9,9,0,1.0,True,,True
11,35.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.1587117211893201,9,9,0,1.0,True,,True
12,35.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.15862522646784782,9,9,0,1.0,True,,True
13,35.0,1,4,2,8.0,24.0,0,0.0,finite_difference,20,20,100.0,0.14227424189448357,9,9,0,1.0,True,,True
14,35.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.15658734180033207,9,9,0,1.0,True,,True
15,35.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.157551989890635,9,9,0,1.0,True,,True
16,35.0,1,4,5,20.0,60.0,0,0.0,finite_difference,20,20,100.0,0.14487587474286556,9,9,0,1.0,True,,True
17,35.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.1587201338261366,9,9,0,1.0,True,,True
18,35.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.15991097781807184,9,9,0,1.0,True,,True
19,35.0,1,6,1,4.0,20.0,0,0.0,finite_difference,42,42,100.0,0.2640855582430959,9,9,0,1.0,True,,True
20,35.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.26689909026026726,9,9,0,1.0,True,,True
21,35.0,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.26550797559320927,9,9,0,1.0,True,,True
22,35.0,1,6,2,8.0,40.0,0,0.0,finite_difference,42,42,100.0,0.2432282418012619,9,9,0,1.0,True,,True
23,35.0,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.26059014815837145,9,9,0,1.0,True,,True
24,35.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.2610946921631694,9,9,0,1.0,True,,True
25,35.0,1,6,5,20.0,100.0,0,0.0,finite_difference,42,42,100.0,0.24749412294477224,9,9,0,1.0,True,,True
26,35.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.2614159546792507,9,9,0,1.0,True,,True
27,35.0,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.26484655123203993,9,9,0,1.0,True,,True
28,35.0,1,8,1,4.0,28.0,0,0.0,finite_difference,72,72,100.0,0.3965569566935301,9,9,0,1.0,True,,True
29,35.0,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.406692280434072,9,9,0,1.0,True,,True
30,35.0,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.40407131612300873,9,9,0,1.0,True,,True
31,35.0,1,8,2,8.0,56.0,0,0.0,finite_difference,72,72,100.0,0.388041652739048,9,9,0,1.0,True,,True
32,35.0,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.4041572380810976,9,9,0,1.0,True,,True
33,35.0,1,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.4055781699717045,9,9,0,1.0,True,,True
34,35.0,1,8,5,20.0,140.0,0,0.0,finite_difference,72,72,100.0,0.3839737009257078,9,9,0,1.0,True,,True
35,35.0,1,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.41345669981092215,9,9,0,1.0,True,,True
36,35.0,1,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.41045642644166946,9,9,0,1.0,True,,True
37,35.0,2,2,1,4.0,4.0,0,0.0,finite_difference,12,12,100.0,0.7122102007269859,9,9,0,1.0,True,,True
38,35.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1319029312580824,9,9,0,1.0,True,,True
39,35.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12852867506444454,9,9,0,1.0,True,,True
40,35.0,2,2,2,8.0,8.0,0,0.0,finite_difference,12,12,100.0,0.11374151334166527,9,9,0,1.0,True,,True
41,35.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12929563596844673,9,9,0,1.0,True,,True
42,35.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13177968002855778,9,9,0,1.0,True,,True
43,35.0,2,2,5,20.0,20.0,0,0.0,finite_difference,12,12,100.0,0.11542982049286366,9,9,0,1.0,True,,True
44,35.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12649847380816936,9,9,0,1.0,True,,True
45,35.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12909654714167118,9,9,0,1.0,True,,True
