degree,parameter,value,configurations,all_held_out_completed_count,all_held_out_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction
1,lowpass_hz,35.0,36,36,1.0,324,324,1.0
1,lowpass_hz,80.0,36,36,1.0,324,324,1.0
1,n_delays,2,18,18,1.0,162,162,1.0
1,n_delays,4,18,18,1.0,162,162,1.0
1,n_delays,6,18,18,1.0,162,162,1.0
1,n_delays,8,18,18,1.0,162,162,1.0
1,delay_samples,1,24,24,1.0,216,216,1.0
1,delay_samples,2,24,24,1.0,216,216,1.0
1,delay_samples,5,24,24,1.0,216,216,1.0
1,smooth_window_samples,0,24,24,1.0,216,216,1.0
1,smooth_window_samples,5,24,24,1.0,216,216,1.0
1,smooth_window_samples,9,24,24,1.0,216,216,1.0
2,lowpass_hz,35.0,36,19,0.5277777777777778,324,274,0.845679012345679
2,lowpass_hz,80.0,36,15,0.4166666666666667,324,225,0.6944444444444444
2,n_delays,2,18,14,0.7777777777777778,162,156,0.9629629629629629
2,n_delays,4,18,9,0.5,162,127,0.7839506172839507
2,n_delays,6,18,5,0.2777777777777778,162,136,0.8395061728395061
2,n_delays,8,18,6,0.3333333333333333,162,80,0.49382716049382713
2,delay_samples,1,24,11,0.4583333333333333,216,139,0.6435185185185185
2,delay_samples,2,24,13,0.5416666666666666,216,178,0.8240740740740741
2,delay_samples,5,24,10,0.4166666666666667,216,182,0.8425925925925926
2,smooth_window_samples,0,24,12,0.5,216,179,0.8287037037037037
2,smooth_window_samples,5,24,11,0.4583333333333333,216,160,0.7407407407407407
2,smooth_window_samples,9,24,11,0.4583333333333333,216,160,0.7407407407407407
3,lowpass_hz,35.0,36,12,0.3333333333333333,324,159,0.49074074074074076
3,lowpass_hz,80.0,36,14,0.3888888888888889,324,194,0.5987654320987654
3,n_delays,2,18,18,1.0,162,162,1.0
3,n_delays,4,18,4,0.2222222222222222,162,72,0.4444444444444444
3,n_delays,6,18,4,0.2222222222222222,162,69,0.42592592592592593
3,n_delays,8,18,0,0.0,162,50,0.30864197530864196
3,delay_samples,1,24,11,0.4583333333333333,216,119,0.5509259259259259
3,delay_samples,2,24,9,0.375,216,114,0.5277777777777778
3,delay_samples,5,24,6,0.25,216,120,0.5555555555555556
3,smooth_window_samples,0,24,10,0.4166666666666667,216,126,0.5833333333333334
3,smooth_window_samples,5,24,9,0.375,216,122,0.5648148148148148
3,smooth_window_samples,9,24,7,0.2916666666666667,216,105,0.4861111111111111
