lowpass_hz,degree,n_delays,smooth_window_samples,configuration_spacing_1,configuration_spacing_2,configuration_spacing_5,coefficient_count,relative_deviation_spacing_1,relative_deviation_spacing_2,relative_deviation_spacing_5,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
35.0,1,2,0,1,4,7,6,0.8772314705428629,0.11219564454905939,0.7650460472428917,0.6751341520933811,0.9826751330950382,0.9701415837878181
35.0,1,2,5,2,5,8,6,0.8757206664665005,0.11209970240875919,0.7636341821889033,0.6739411925788924,0.9828850819683052,0.9705209019376164
35.0,1,2,9,3,6,9,6,0.8619539805190602,0.1117157110110262,0.7502976101323964,0.6629207012380233,0.9850652841981873,0.9744044546240351
35.0,1,4,0,10,13,16,20,1.0861743375435469,0.23458487641956635,0.8661445310685825,0.8134312313656187,0.8814600510164118,0.7933427943381085
35.0,1,4,5,11,14,17,20,1.0840475086815164,0.2332306761312937,0.8652976184993157,0.8120540864474174,0.8830315422952638,0.7961076833311225
35.0,1,4,9,12,15,18,20,1.063565787998934,0.22268021307824495,0.8553148578248232,0.7983988495136718,0.8997091607349254,0.8247753991248684
35.0,1,6,0,19,22,25,42,1.4416039921030666,0.5044139611915643,0.9501664682193642,1.0385040252884472,0.7196472154141147,0.49610089289978115
35.0,1,6,5,20,23,26,42,1.4418748656211449,0.5039094813408215,0.950648257718555,1.0386946942193833,0.7200615308035596,0.4971913685649188
35.0,1,6,9,21,24,27,42,1.4123484646569655,0.47612114646148085,0.9486143477673752,1.0200144954062837,0.7360704757335587,0.5289710360596637
35.0,1,8,0,28,31,34,72,1.6865578817863642,0.7079243527496515,0.9843870410953006,1.1992570233979705,0.5997283081152708,0.28706034396462987
35.0,1,8,5,29,32,35,72,1.698891833985032,0.7181743729364071,0.9858637385788844,1.20746776417542,0.5952727163902032,0.2807040887595726
35.0,1,8,9,30,33,36,72,1.6239222965138536,0.6437630719459255,0.9848750860810487,1.1578044528473186,0.6096381762804235,0.31966693169442767
35.0,2,2,0,37,40,43,12,0.8675635854094762,0.11733931949162518,0.7564220435879747,0.6679843807188686,0.899906069974674,0.8205016159125146
35.0,2,2,5,38,41,44,12,0.866377301742016,0.11669718459222504,0.7552322672024407,0.6669841675505416,0.9016980497751091,0.8235982503745352
35.0,2,2,9,39,42,45,12,0.8552452681178434,0.1127777534778573,0.7440000237619275,0.657697834793259,0.9163304828810358,0.8498632938382502
35.0,2,4,0,46,49,52,60,1.0827156952730144,0.23652724961842012,0.8620504078981606,0.8106271897652184,0.8125830750681823,0.6795180227301556
35.0,2,4,5,47,50,53,60,1.0808099489776029,0.2352336591264159,0.8613673943650171,0.8094110633191167,0.8150879415472497,0.6840906840157854
35.0,2,4,9,48,51,54,60,1.062462285243272,0.22595176553848353,0.8527674052089189,0.7973064143939197,0.8425120810397076,0.7323573061825566
35.0,2,6,0,55,58,61,168,1.4390112782900069,0.5038256125889631,0.9481097707803166,1.0365818579021453,0.7057909381042596,0.477965507380154
35.0,2,6,5,56,59,62,168,1.4393470438522205,0.5033073549037284,0.9486761326755092,1.0368260237948108,0.7064342836515954,0.47950292071430267
35.0,2,6,9,57,60,63,168,1.4104494893017459,0.4760494263972038,0.9471492993530701,1.0186727661536972,0.7237935603002742,0.5141681490184762
35.0,2,8,0,64,67,70,360,1.6856277404476008,0.7077063296317025,0.9836599323489319,1.198579157568934,0.5912732086082336,0.28021009781361034
35.0,2,8,5,65,68,71,360,1.6981679962087008,0.7180913806947824,0.9852250348117303,1.2069380187890604,0.5870699232266813,0.27436783580540863
35.0,2,8,9,66,69,72,360,1.6225469319788768,0.6438865066455592,0.9843135655449574,1.157025147411832,0.5998595795575826,0.3148524882735529
35.0,3,2,0,73,76,79,20,0.8701510837909694,0.1200037875867381,0.7603966626271406,0.6707624771338598,0.9403324280258452,0.9063405727569351
35.0,3,2,5,74,77,80,20,0.8688099125138852,0.1194656988748077,0.7589929837335762,0.6696200581043024,0.9436796825964441,0.9114303135512707
35.0,3,2,9,75,78,81,20,0.8565179304698647,0.11569259623224337,0.7460079991887042,0.6591751605587269,0.9671183935558503,0.9470266321353543
35.0,3,4,0,82,85,88,140,1.0836264258947474,0.23654693842387364,0.8629991027276147,0.8113708844262286,0.8335312741250904,0.7155176509558011
35.0,3,4,5,83,86,89,140,1.081710021835634,0.2352369457292181,0.8623260864465431,0.810152099164486,0.8358354800665397,0.7196209398032531
35.0,3,4,9,84,87,90,140,1.0636904808626255,0.22601026300346655,0.8537853791932591,0.7982204273225196,0.8602330135439997,0.7618254989147858
35.0,3,6,0,91,94,97,504,1.442278974766813,0.5051826110675695,0.9501178021518814,1.0389260399639264,0.7072515697263927,0.47818746866448864
35.0,3,6,5,92,95,98,504,1.4429259709869646,0.5049565208634722,0.9507077231522073,1.0393686578194914,0.707538543181947,0.4791005228097218
35.0,3,6,9,93,96,99,504,1.4179999333079885,0.48000402672361797,0.9497057169987513,1.0235670675685205,0.7235691184343569,0.510358023443205
35.0,3,8,0,100,103,106,1320,1.6883247800916272,0.7093970162622623,0.9847446846392232,1.2004730711513198,0.5872246063171745,0.2715233997137412
35.0,3,8,5,101,104,107,1320,1.7011374771772492,0.7200906723318282,0.986258335620945,1.2090085190240356,0.5825877169108743,0.2650860899887804
35.0,3,8,9,102,105,108,1320,1.6379925964677573,0.6573211160292537,0.9860658553176511,1.1672498542420782,0.5908231072633106,0.2975297996895605
80.0,1,2,0,109,112,115,6,0.9147572586052234,0.15723417557043337,0.757576370196615,0.6917189662520793,0.9826319613978934,0.9687361871989484
80.0,1,2,5,110,113,116,6,0.9122541507503131,0.14057024334705792,0.7717544958967716,0.6946396261882143,0.9825561435007341,0.9689703698506107
80.0,1,2,9,111,114,117,6,0.8722400129189348,0.11432901935252376,0.7579481646918007,0.670412605580226,0.984358374551666,0.9730338246312165
80.0,1,4,0,118,121,124,20,1.0994567057889704,0.3614467352054222,0.7707889923104817,0.8028209557475026,0.9101098356739508,0.8537363245588422
80.0,1,4,5,119,122,125,20,1.1331398203645924,0.34171904352660837,0.8144628843891898,0.8294832823817087,0.9045736729657969,0.826034266355373
80.0,1,4,9,120,123,126,20,0.9855403112761384,0.1881816998258196,0.8151147822864588,0.7463498209288331,0.9148194057884275,0.8490020101375673
80.0,1,6,0,127,130,133,42,1.3403750991554946,0.5671093964844223,0.8170277371490438,0.963630772527859,0.7954490578906158,0.6931811876235067
80.0,1,6,5,128,131,134,42,1.4799030268868039,0.6252479679948402,0.8835586308790783,1.0585719696319367,0.7603739089428734,0.6012143971065688
80.0,1,6,9,129,132,135,42,1.4116836510229958,0.5843028609222232,0.8711989122771298,1.015422425824242,0.7518399744447807,0.6270641188100784
80.0,1,8,0,136,139,142,72,1.5318818928972957,0.7067390342091723,0.8616427349899317,1.0937047741541048,0.697617077233417,0.5541427057278123
80.0,1,8,5,137,140,143,72,1.7400595662900122,0.8169889586388809,0.9397780868613842,1.2353759354032108,0.6259813392325645,0.4086810122605219
80.0,1,8,9,138,141,144,72,1.5933934308695492,0.750886208017119,0.8963476942151345,1.1410772559082565,0.6134640439081588,0.500007680718953
80.0,2,2,0,145,148,151,12,0.8855121825705154,0.19075831456139067,0.7489841500915342,0.6786009669762828,0.8089772834335879,0.6845698995152131
80.0,2,2,5,146,149,152,12,0.8891594826920154,0.16823139467890777,0.7616927495760802,0.6829061020309971,0.822669221522614,0.7022030472769688
80.0,2,2,9,147,150,153,12,0.8632310223903389,0.12015151077644018,0.7502274762500843,0.6639391161041556,0.9084114823206768,0.8368925504328908
80.0,2,4,0,154,157,160,60,1.061187739335725,0.39726923377826556,0.753602289031309,0.7856756481433598,0.7777194390510901,0.683459011666962
80.0,2,4,5,155,158,161,60,1.1122309859315769,0.3652340425954807,0.8003008776128567,0.8187256696934314,0.7946135223647434,0.6691848206135037
80.0,2,4,9,156,159,162,60,0.9782695301526971,0.19151488857788515,0.8059947606174405,0.740116382810826,0.8666032651032524,0.7628451058867768
80.0,2,6,0,163,166,169,168,1.3130663683765909,0.5795602579557907,0.811747146446605,0.9520095955622291,0.670542532568328,0.5690246780260114
80.0,2,6,5,164,167,170,168,1.4684935174750924,0.6313622326066244,0.8776235298500485,1.05282390736768,0.6693155903790777,0.5103687049561437
80.0,2,6,9,165,168,171,168,1.4151007419727206,0.5942268426439178,0.8652496567612864,1.0172303277324213,0.7383124437291063,0.6122022818977143
80.0,2,8,0,172,175,178,360,1.512641693468622,0.7099847416290169,0.8571390667150527,1.0842586723740166,0.586802053227445,0.45164181428843125
80.0,2,8,5,173,176,179,360,1.7383785113837928,0.8209265903011017,0.9374113198205649,1.234857656848494,0.5468883365466459,0.34330921571909845
80.0,2,8,9,174,177,180,360,1.5919852992083807,0.7531994227642268,0.8918631444635553,1.1397582246249105,0.6046341730940257,0.4938478439949154
80.0,3,2,0,181,184,187,20,0.90018309974025,0.19098657182928672,0.7665889543663271,0.6914873121596969,0.779549306510947,0.6648519687421903
80.0,3,2,5,182,185,188,20,0.8990654083866068,0.16628003413057377,0.7739051051058756,0.6915915870938033,0.8034245127004779,0.6960523280046355
80.0,3,2,9,183,186,189,20,0.8661324052338458,0.12335901723747587,0.7536272045030723,0.6666725217818912,0.9417171038857175,0.9094557248068705
80.0,3,4,0,190,193,196,140,1.0743461739064997,0.39788100586542297,0.7586563207844718,0.7933238954513361,0.7814644706936381,0.6928060427956904
80.0,3,4,5,191,194,197,140,1.1188216363122045,0.36503405911129905,0.8034560356375975,0.8227096124786021,0.8024214871966416,0.6857727828320869
80.0,3,4,9,192,195,198,140,0.9747393442513249,0.1837185378638698,0.808535101612674,0.7388275172925812,0.8824501922676761,0.7924239463914194
80.0,3,6,0,199,202,205,504,1.3225152602028059,0.582570760397966,0.8183479476524562,0.9588410830731973,0.6634799123956847,0.5644527154737695
80.0,3,6,5,200,203,206,504,1.475827330543999,0.6342408187645059,0.8821462730361198,1.0580658096733577,0.6660253417476615,0.5097339613728444
80.0,3,6,9,201,204,207,504,1.4136147654283555,0.5914308732540744,0.8683498831520035,1.0168790000855952,0.7408869225953995,0.6174264900872003
80.0,3,8,0,208,211,214,1320,1.5205618665263954,0.7132584066411021,0.8634750516430715,1.0903264204491614,0.5739887335578153,0.4381016961720066
80.0,3,8,5,209,212,215,1320,1.7434800127741834,0.8234933205258352,0.9405476769594887,1.238613974910077,0.5373235455200946,0.3338544339984387
80.0,3,8,9,210,213,216,1320,1.578032189732495,0.7457283702629119,0.8919268562839431,1.1316403891412778,0.6054021614427016,0.4982634855694605
