parameter,value,matched_equation_pairs,mean_coefficient_cosine_similarity,median_coefficient_cosine_similarity,minimum_coefficient_cosine_similarity,mean_relative_l2_change_from_35hz,median_relative_l2_change_from_35hz,maximum_relative_l2_change_from_35hz
degree,1,36,0.9355972667478974,0.9952063776825182,0.4592768560464837,0.3738134378375778,0.22511101156974117,0.8961294014205189
degree,2,36,0.8946578832047987,0.9323150294615542,0.44909841943735423,0.4639122253101103,0.5069663152553722,0.9004101959903364
degree,3,36,0.8946401516275273,0.932188726386102,0.4327992701023882,0.46878866444779477,0.5215453769267765,0.9059542872132856
n_delays,2,27,0.9823493143091995,0.9993398809569994,0.8975074632312315,0.16936475507589677,0.13637448027758908,0.524466534814276
n_delays,4,27,0.948831482746759,0.9889473586829637,0.8119459067584855,0.3742398011421127,0.3551301354815404,0.6291481700585815
n_delays,6,27,0.8887969592536881,0.9416503704334164,0.6747514197767797,0.5482531677302002,0.5820159548676708,0.7764177696283566
n_delays,8,27,0.8132159791306512,0.9173403335972296,0.4327992701023882,0.6501613795124342,0.7942202276374652,0.9059542872132856
delay_samples,1,36,0.9729302673474466,0.9806254116504045,0.9173403335972296,0.4663707034834022,0.5213991395686022,0.8386530698430877
delay_samples,2,36,0.8135457580678429,0.819706149729402,0.4327992701023882,0.5363366032415773,0.6494044595743319,0.9059542872132856
delay_samples,5,36,0.9384192761649339,0.994000182860387,0.8204428023645695,0.30380702087050354,0.1720684108559103,0.6158849934753852
smooth_window_samples,0,36,0.8800955891555556,0.9226599597492228,0.566919987448458,0.528392034815037,0.5838681328354677,0.8517827612001035
smooth_window_samples,5,36,0.9188107073452039,0.9709709064393317,0.6728367440762265,0.4469556147180923,0.49354487456407925,0.7960326777460796
smooth_window_samples,9,36,0.9259890050794639,0.9912264025654276,0.4327992701023882,0.33116667806235356,0.19539597440877782,0.9059542872132856
