degree,n_delays,delay_samples,smooth_window_samples,configuration_35hz,configuration_80hz,completed_trials_35hz,completed_trials_80hz,completed_trials_difference_80_minus_35,all_9_completed_35hz,all_9_completed_80hz,coefficient_cosine_similarity,coefficient_relative_l2_change_from_35hz
1,2,1,0,1,109,9,9,0,True,True,0.9999552027985423,0.1463107707826171
1,2,1,5,2,110,9,9,0,True,True,0.9999821357071894,0.08599499013844568
1,2,1,9,3,111,9,9,0,True,True,0.9999989297104012,0.01866759179166792
1,2,2,0,4,112,9,9,0,True,True,0.9996806573354808,0.20573201789589593
1,2,2,5,5,113,9,9,0,True,True,0.999840830625939,0.13240763062905433
1,2,2,9,6,114,9,9,0,True,True,0.9999912391843985,0.027063699449509725
1,2,5,0,7,115,9,9,0,True,True,0.9998723894261659,0.13637448027758908
1,2,5,5,8,116,9,9,0,True,True,0.9999119399131804,0.13398990508081884
1,2,5,9,9,117,9,9,0,True,True,0.9999456362792651,0.053742943952247095
1,4,1,0,10,118,9,9,0,True,True,0.981714230352364,0.4754383039018921
1,4,1,5,11,119,9,9,0,True,True,0.9930489767658319,0.3467334819666641
1,4,1,9,12,120,9,9,0,True,True,0.991061478276461,0.3046054583134278
1,4,2,0,13,121,9,9,0,True,True,0.8979029327066593,0.5900282099406746
1,4,2,5,14,122,9,9,0,True,True,0.952830538529176,0.46752036176598494
1,4,2,9,15,123,9,9,0,True,True,0.9921589594136746,0.2444900052435864
1,4,5,0,16,124,9,9,0,True,True,0.9982277778979034,0.15927003019620428
1,4,5,5,17,125,9,9,0,True,True,0.9982198557213565,0.15926477375487588
1,4,5,9,18,126,9,9,0,True,True,0.9987367455568051,0.08741131956265294
1,6,1,0,19,127,9,9,0,True,True,0.9446237114658425,0.7111728693190453
1,6,1,5,20,128,9,9,0,True,True,0.9816153751227665,0.5598012236373
1,6,1,9,21,129,9,9,0,True,True,0.9775683739143698,0.5711125121444076
1,6,2,0,22,130,9,9,0,True,True,0.7397695084817147,0.7571618591161144
1,6,2,5,23,131,9,9,0,True,True,0.8324931466999103,0.671171877726205
1,6,2,9,24,132,9,9,0,True,True,0.8120923713931951,0.6696607490900823
1,6,5,0,25,133,9,9,0,True,True,0.9976050255188013,0.16968756750385383
1,6,5,5,26,134,9,9,0,True,True,0.9975508578726935,0.17059673534258718
1,6,5,9,27,135,9,9,0,True,True,0.9983603419336687,0.09730818034975891
1,8,1,0,28,136,9,9,0,True,True,0.924352702811629,0.8367215445538027
1,8,1,5,29,137,9,9,0,True,True,0.9785527828315954,0.699461064673271
1,8,1,9,30,138,9,9,0,True,True,0.9271876086590892,0.797543914134268
1,8,2,0,31,139,9,9,0,True,True,0.6116187373797495,0.8402971141806174
1,8,2,5,32,140,9,9,0,True,True,0.702692462560268,0.7865298727688214
1,8,2,9,33,141,9,9,0,True,True,0.4592768560464837,0.8961294014205189
1,8,5,0,34,142,9,9,0,True,True,0.9974187281314657,0.1735400863692334
1,8,5,5,35,143,9,9,0,True,True,0.9973637785992044,0.174674205800067
1,8,5,9,36,144,9,9,0,True,True,0.9982787773010678,0.09966700937904026
2,2,1,0,37,145,9,7,-2,True,False,0.9973893649033275,0.15587519089626065
2,2,1,5,38,146,9,7,-2,True,False,0.9988016998854944,0.09424164779045688
2,2,1,9,39,147,9,9,0,True,True,0.9999555456259455,0.020142615600039788
2,2,2,0,40,148,9,8,-1,True,False,0.978286750958868,0.24388203982377799
2,2,2,5,41,149,9,8,-1,True,False,0.9883890005867089,0.17240911582993487
2,2,2,9,42,150,9,9,0,True,True,0.9995113492276705,0.03722773061771337
2,2,5,0,43,151,9,9,0,True,True,0.8975074632312315,0.47478466885297815
2,2,5,5,44,152,9,9,0,True,True,0.9050716233054515,0.4492677373629535
2,2,5,9,45,153,9,9,0,True,True,0.9913913268543944,0.1329850741346784
2,4,1,0,46,154,9,3,-6,True,False,0.9759591683476148,0.4819523802880373
2,4,1,5,47,155,9,1,-8,True,False,0.9907117385251302,0.35333107356768256
2,4,1,9,48,156,9,0,-9,True,False,0.9896779260072119,0.31348344077231827
2,4,2,0,49,157,9,9,0,True,True,0.8119459067584855,0.6291481700585815
2,4,2,5,50,158,9,9,0,True,True,0.9066888852015059,0.498988514488691
2,4,2,9,51,159,9,9,0,True,True,0.9889473586829637,0.2552257217308084
2,4,5,0,52,160,8,6,-2,False,False,0.8564906036398814,0.5290938640827959
2,4,5,5,53,161,8,4,-4,False,False,0.8794528345691133,0.4805026406425313
2,4,5,9,54,162,8,8,0,False,False,0.9980655857324032,0.08849680253947986
2,6,1,0,55,163,8,9,1,False,True,0.9416503704334164,0.7128836877840545
2,6,1,5,56,164,8,9,1,False,True,0.980564648353902,0.5620891675483034
2,6,1,9,57,165,9,6,-3,True,False,0.9742366053953504,0.5742488104023012
2,6,2,0,58,166,8,5,-3,False,False,0.6747514197767797,0.7764177696283566
2,6,2,5,59,167,7,3,-4,False,False,0.7935845372771453,0.68575577210803
2,6,2,9,60,168,8,8,0,False,False,0.7975918095245267,0.6811292431650445
2,6,5,0,61,169,8,9,1,False,True,0.8343667957254113,0.5810527709173675
2,6,5,5,62,170,7,9,2,False,True,0.8636073223297389,0.5169194497408647
2,6,5,9,63,171,8,7,-1,False,False,0.9967657391199016,0.1081476488252379
2,8,1,0,64,172,0,9,9,False,True,0.922979688489692,0.8373809192441842
2,8,1,5,65,173,0,0,0,False,False,0.9699649469146272,0.7021845488772037
2,8,1,9,66,174,0,0,0,False,False,0.9173403335972296,0.8004241581383208
