lowpass_hz,degree,n_delays,delay_samples,configuration_smooth_0,configuration_smooth_5,configuration_smooth_9,coefficient_count,max_variance,max_standard_deviation,max_variance_equation_index,max_variance_feature_index,max_variance_feature_name,mean_coefficient_at_max_variance,mean_elementwise_variance,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
35.0,1,2,1,1,2,3,6,1.5019964381523538,1.2255596428376523,0,1,x0,234.03714009535926,0.7660023987469108,0.004523468757260681,0.9999992059321331,0.9999986940308085
35.0,1,2,2,4,5,6,6,1.4734115262042196,1.2138416396730751,0,1,x0,106.9350715292688,0.6452620678378082,0.008744243290334854,0.9999889219987739,0.9999817852666921
35.0,1,2,5,7,8,9,6,1.2521741122067545,1.1190058588795477,1,2,x1,-22.615486862489643,0.8133513265482479,0.0352370510300856,0.9998789835368586,0.9998028818592427
35.0,1,4,1,10,11,12,20,178.61046045053035,13.364522455012388,3,3,x2,734.9932475951686,28.584522066522812,0.017465590208282682,0.9999708570018373,0.9999518931095515
35.0,1,4,2,13,14,15,20,72.60038667373138,8.520586052246134,0,2,x1,-272.80491962460246,12.482192918540566,0.029886749327169518,0.9998254741320318,0.9997086667143343
35.0,1,4,5,16,17,18,20,6.615075814357152,2.571978968490441,0,2,x1,-48.58207423339096,1.781368840472659,0.0536972206702906,0.9982545032632593,0.9971509340203489
35.0,1,6,1,19,20,21,42,10269.060506603078,101.33637306812929,0,3,x2,1675.619869874746,933.7255466495404,0.05239622371203913,0.998975376821481,0.9984048143786157
35.0,1,6,2,22,23,24,42,923.2461785893574,30.38496632529576,5,4,x3,-300.4204165202446,104.80473624905096,0.07618810489125533,0.9986080619540489,0.997646973673264
35.0,1,6,5,25,26,27,42,7.264319137110152,2.695240088954999,0,2,x1,-48.968007400966336,1.527463680631524,0.05599555172965578,0.9980766351437174,0.9968605996046386
35.0,1,8,1,28,29,30,72,190168.3527932676,436.082965493113,0,4,x3,-4203.317212194407,12593.935276875774,0.09650782984277124,0.9943566206451827,0.9916053186240874
35.0,1,8,2,31,32,33,72,8246.99382384411,90.81296066005177,7,5,x4,405.1215911148619,689.2603130486291,0.1712249174135434,0.9931709737495913,0.9883255689794865
35.0,1,8,5,34,35,36,72,7.365885398643293,2.7140164698548337,0,2,x1,-49.066600883524245,1.2190690646221662,0.055677607901396364,0.9980961463709113,0.9968911213308632
35.0,2,2,1,37,38,39,12,3.9303402572067156,1.9825085768305557,0,0,1,-18.645766496351225,0.7689302552541472,0.00639548952159838,0.9999637068681827,0.9999397924261983
35.0,2,2,2,40,41,42,12,10.728684358043564,3.2754670442615605,0,0,1,-34.158405342767814,1.4116680105087986,0.017944258410419744,0.9995551668987158,0.9992638022722686
35.0,2,2,5,43,44,45,12,10.041545647652043,3.1688397952013987,1,0,1,13.134688852159906,1.672068761068327,0.05892445596532564,0.995182089451847,0.99202030306821
35.0,2,4,1,46,47,48,60,180.4268393422383,13.432305808841544,3,3,x2,736.2532510739719,11.552422214255179,0.019168233411145943,0.9998938764007699,0.999827597640873
35.0,2,4,2,49,50,51,60,72.3471274220917,8.5057114589017,0,2,x1,-273.6881285568639,4.7538363353428235,0.03173595994775542,0.9995597489543163,0.9992659299358695
35.0,2,4,5,52,53,54,60,14.107837617590965,3.756040151221891,1,0,1,-6.836817151668375,0.8972851926957081,0.05557940374100377,0.9959798816239092,0.9934241186964332
35.0,2,6,1,55,56,57,168,11141.615364790356,105.55385054459337,0,3,x2,1680.557482234043,271.41045900896773,0.056443510453142255,0.9984258599228948,0.997534598049487
35.0,2,6,2,58,59,60,168,950.5490042819725,30.830974754003037,5,4,x3,-301.5415542964825,27.75216746906123,0.07812233377509041,0.9983280779141532,0.9971852469009806
35.0,2,6,5,61,62,63,168,13.947736682664782,3.734666877067456,1,0,1,-9.33838461669069,0.4447713439340597,0.056171337469202075,0.9970311316491557,0.995121761435043
35.0,2,8,1,64,65,66,360,199473.64351829374,446.624723362124,0,4,x3,-4221.21295308056,2705.7196328026857,0.10002811072208218,0.9932839596464555,0.9900164790007863
35.0,2,8,2,67,68,69,360,8441.091009692651,91.87541025591479,7,5,x4,406.30296097160226,154.71429426393803,0.18058133576896762,0.9905431969610677,0.9841771377952903
35.0,2,8,5,70,71,72,360,16.276373115246038,4.03439873032476,1,0,1,-9.965492518471816,0.2776814522096523,0.05562560627635955,0.997103721633827,0.9952357197877265
35.0,3,2,1,73,74,75,20,1.6007195688158624,1.2651954666437366,0,0,1,-10.015911092734171,0.27701822588706543,0.004953149325708059,0.9999875587088138,0.999979232823328
35.0,3,2,2,76,77,78,20,3.9102543993725902,1.9774363199285558,0,0,1,-17.171064621553036,0.36795950198076516,0.011948812825684791,0.9998594930987649,0.999766406633687
35.0,3,2,5,79,80,81,20,13.941216222829915,3.733793810968934,1,0,1,-15.590671136147364,1.029127673038818,0.06669617710401483,0.9936235365936992,0.989435390054453
35.0,3,4,1,82,83,84,140,193.093866525195,13.895821908947848,3,3,x2,735.4461942072389,5.089685723688342,0.01941938971312078,0.9998817350426726,0.9998086419531914
35.0,3,4,2,85,86,87,140,71.23116472607916,8.439855728984895,3,3,x2,273.3055148197952,1.9332114424414304,0.03093680915937772,0.9996406537884361,0.999400302865313
35.0,3,4,5,88,89,90,140,13.237575486459841,3.6383479061876205,1,0,1,-7.9730443158111735,0.3592287681091639,0.056683859433479616,0.9961383212141047,0.993667074864928
35.0,3,6,1,91,92,93,504,10013.986047793956,100.06990580486202,5,4,x3,-1672.5695163245273,83.62206606618952,0.05386401567671237,0.9995178913207438,0.9992244417239594
35.0,3,6,2,94,95,96,504,943.7443282903578,30.72042200703561,5,4,x3,-300.1646193912286,9.17499852540372,0.07785426636217416,0.9982697917316615,0.9970971465439841
35.0,3,6,5,97,98,99,504,12.971347399602946,3.601575682892551,1,0,1,-9.723467405732293,0.14471620976870744,0.057634858409844184,0.9971318522996079,0.9952823118660404
35.0,3,8,1,100,101,102,1320,177568.14007472654,421.3883482901806,0,4,x3,-4221.357699517609,894.3404572198831,0.10811998771223581,0.9946413909752052,0.9920551091326549
35.0,3,8,2,103,104,105,1320,8293.41276308425,91.06817645634644,0,4,x3,-408.15214992355294,42.22958308258887,0.18081868748807822,0.9904484582080927,0.9839897557848774
35.0,3,8,5,106,107,108,1320,14.336760482257658,3.7863914856044216,1,0,1,-9.626621939791528,0.07371411255883482,0.056988640769746655,0.9972243581281899,0.9954271397504789
80.0,1,2,1,109,110,111,6,194.4030626366907,13.942849874996528,0,1,x0,213.3468692647068,117.64155167824333,0.061150620750180726,0.9999750520048535,0.9999512424643319
80.0,1,2,2,112,113,114,6,93.45165526817816,9.667039633113033,0,1,x0,92.54370940694155,55.103345011292994,0.09186125037249537,0.9998041689767293,0.999629047176934
80.0,1,2,5,115,116,117,6,5.894596571588369,2.427879027379323,1,1,x0,34.31286229776577,3.277241695276571,0.07911653856528073,0.9997667416872845,0.9995934216500039
80.0,1,4,1,118,119,120,20,4491.7124133822645,67.02023883411835,0,2,x1,-462.2710480256889,697.801966391896,0.13407100064322808,0.9965463886646879,0.994265551071489
80.0,1,4,2,121,122,123,20,2010.741427017085,44.841291540466194,0,2,x1,-158.98686077282267,373.6600960990613,0.2619537997013071,0.9674495415323235,0.9366416182191807
80.0,1,4,5,124,125,126,20,16.81397273670186,4.100484451464468,0,2,x1,-42.14300403016019,4.038076860034633,0.09214231279937306,0.9978041049153626,0.9964334019363174
80.0,1,6,1,127,128,129,42,17803.586778497134,133.4300819849,5,4,x3,-554.8973438908603,2218.8836347047486,0.19882130584493896,0.992095898401919,0.9875219219560372
