configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations
1,2,success,,14.192,14.192,8.568985849618912,22730
1,3,success,,14.192,14.192,8.561094600707293,22652
1,4,success,,14.084,14.084,8.119876941666007,21711
1,312,success,,14.192,14.192,7.7581426333636045,20531
1,620,success,,14.192,14.192,7.915683802217245,21233
1,622,success,,14.192,14.192,7.566471956670284,20323
1,778,success,,14.192,14.192,7.684789279475808,20377
1,1088,success,,14.196,14.196,7.863599583506584,20946
1,1244,success,,14.084,14.084,7.6211532317101955,20143
2,2,success,,14.192,14.192,8.148490566760302,22179
2,3,success,,14.192,14.192,7.99782676436007,21732
2,4,success,,14.084,14.084,8.124100930988789,21277
2,312,success,,14.192,14.192,8.24437347985804,22763
2,620,success,,14.192,14.192,7.8796837870031595,21438
2,622,success,,14.192,14.192,7.4234443083405495,20082
2,778,success,,14.192,14.192,8.065294176340103,22476
2,1088,success,,14.196,14.196,7.729673687368631,20513
2,1244,success,,14.084,14.084,8.132945911958814,22376
3,2,success,,14.192,14.192,7.812875950708985,20594
3,3,success,,14.192,14.192,7.92479139380157,20940
3,4,success,,14.084,14.084,7.400243982672691,19341
3,312,success,,14.192,14.192,7.611085072159767,20235
3,620,success,,14.192,14.192,7.54121214337647,19810
3,622,success,,14.192,14.192,7.794465923681855,20502
3,778,success,,14.192,14.192,7.7261953838169575,20434
3,1088,success,,14.196,14.196,7.79673619940877,20457
3,1244,success,,14.084,14.084,7.900093499571085,20919
4,2,success,,14.188,14.188,6.779524331912398,17891
4,3,success,,14.188,14.188,6.776942441239953,17853
4,4,success,,14.08,14.08,6.908073271624744,17807
4,312,success,,14.188,14.188,6.882533227093518,18329
4,620,success,,14.188,14.188,6.79762614518404,17981
4,622,success,,14.188,14.188,6.839761598967016,17654
4,778,success,,14.188,14.188,6.934737882576883,18485
4,1088,success,,14.192,14.192,7.026801144704223,17810
4,1244,success,,14.08,14.08,6.794005851261318,18059
5,2,success,,14.188,14.188,6.899119153618813,18543
5,3,success,,14.188,14.188,6.949644157662988,18570
5,4,success,,14.08,14.08,7.006182311102748,17739
5,312,success,,14.188,14.188,6.756847094744444,18252
5,620,success,,14.188,14.188,6.731280218809843,17958
5,622,success,,14.188,14.188,6.986788680776954,18219
5,778,success,,14.188,14.188,6.542397078126669,17575
5,1088,success,,14.192,14.192,7.2049284018576145,18473
5,1244,success,,14.08,14.08,6.711117452010512,17617
6,2,success,,14.188,14.188,7.752255235798657,17428
6,3,success,,14.188,14.188,7.7739067282527685,17600
6,4,success,,14.08,14.08,7.496081962250173,16867
6,312,success,,14.188,14.188,6.545844634063542,16787
