configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,35.0,,,100.0,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,1.747011674568057,"[""1"", ""x0"", ""x1""]","[[0.0, 233.03193374687586, -239.14418486682985], [0.0, 239.1245406779697, -233.01297226268898]]",(x0)' =  233.032 x0 + -239.144 x1 | (x1)' =  239.125 x0 + -233.013 x1
2,35.0,,,100.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.09843233786523342,"[""1"", ""x0"", ""x1""]","[[0.0, 233.3169763208484, -239.36110423096758], [0.0, 239.34038077376513, -233.29675261725703]]",(x0)' =  233.317 x0 + -239.361 x1 | (x1)' =  239.340 x0 + -233.297 x1
3,35.0,,,100.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.09044008888304234,"[""1"", ""x0"", ""x1""]","[[0.0, 235.7625143827504, -241.17136917378568], [0.0, 241.1214750846318, -235.710692864655]]",(x0)' =  235.763 x0 + -241.171 x1 | (x1)' =  241.121 x0 + -235.711 x1
4,35.0,,,100.0,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.07156141847372055,"[""1"", ""x0"", ""x1""]","[[0.0, 105.94247475031861, -117.26513706068917], [0.0, 117.25612400005477, -105.93601854878825]]",(x0)' =  105.942 x0 + -117.265 x1 | (x1)' =  117.256 x0 + -105.936 x1
5,35.0,,,100.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.08937888219952583,"[""1"", ""x0"", ""x1""]","[[0.0, 106.21844939108203, -117.43255540807384], [0.0, 117.42247388808305, -106.21075073883851]]",(x0)' =  106.218 x0 + -117.433 x1 | (x1)' =  117.422 x0 + -106.211 x1
6,35.0,,,100.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.09028337150812149,"[""1"", ""x0"", ""x1""]","[[0.0, 108.64429385467305, -118.81094660357154], [0.0, 118.78181843376815, -108.61436000250393]]",(x0)' =  108.644 x0 + -118.811 x1 | (x1)' =  118.782 x0 + -108.614 x1
7,35.0,,,100.0,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,0,6,0.0,0.062352512031793594,"[""1"", ""x0"", ""x1""]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000
8,35.0,,,100.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,0,6,0.0,0.07167748548090458,"[""1"", ""x0"", ""x1""]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000
9,35.0,,,100.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,0,6,0.0,0.07561542093753815,"[""1"", ""x0"", ""x1""]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000
10,35.0,,,100.0,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,12,20,60.0,0.150355851277709,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 431.4252971750464, -724.0960927871413, 397.6391230032981, -106.08679598294637], [0.0, 125.0069688793188, 0.0, -125.00752289370845, 0.0], [0.0, 0.0, 125.00689764262228, 0.0, -125.00500278011656], [0.0, 106.02826149040243, -397.4779381247798, 723.9392412493247, -431.37059499230315]]",(x0)' =  431.425 x0 + -724.096 x1 +  397.639 x2 + -106.087 x3 | (x1)' =  125.007 x0 + -125.008 x2 | (x2)' =  125.007 x1 + -125.005 x3 | (x3)' =  106.028 x0 + -397.478 x1 +  723.939 x2 + -431.371 x3
11,35.0,,,100.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,20,60.0,0.16085368022322655,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 432.9451061369746, -727.4410586002537, 400.0304625639652, -106.61402594972294], [0.0, 125.00951905612224, 0.0, -125.01013309253356, 0.0], [0.0, 0.0, 125.00915381504089, 0.0, -125.00711764467172], [0.0, 106.5412032067052, -399.82988613611496, 727.243465783127, -432.8745798447642]]",(x0)' =  432.945 x0 + -727.441 x1 +  400.030 x2 + -106.614 x3 | (x1)' =  125.010 x0 + -125.010 x2 | (x2)' =  125.009 x1 + -125.007 x3 | (x3)' =  106.541 x0 + -399.830 x1 +  727.243 x2 + -432.875 x3
12,35.0,,,100.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,20,60.0,0.15916659124195576,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 444.44512102878343, -752.075508576909, 416.58878115484714, -109.73040502090934], [0.0, 125.01560900157695, 0.0, -125.016096841848, 0.0], [0.0, 0.0, 125.01438143924604, 0.0, -125.00751009657611], [0.0, 110.28492006851633, -418.2488411737901, 753.7969416736186, -445.05907939638564]]",(x0)' =  444.445 x0 + -752.076 x1 +  416.589 x2 + -109.730 x3 | (x1)' =  125.016 x0 + -125.016 x2 | (x2)' =  125.014 x1 + -125.008 x3 | (x3)' =  110.285 x0 + -418.249 x1 +  753.797 x2 + -445.059 x3
13,35.0,,,100.0,1,4,2,8.0,24.0,0,0.0,finite_difference,success,,4,20,20.0,0.12604318000376225,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 105.94853843130588, -117.26550795771536, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 117.2751271363781, -105.96252463292855]]",(x0)' =  105.949 x0 + -117.266 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  117.275 x2 + -105.963 x3
14,35.0,,,100.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,20,20.0,0.1451832577586174,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 106.22414177292212, -117.43257233339999, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 117.4416566836322, -106.23741742228543]]",(x0)' =  106.224 x0 + -117.433 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  117.442 x2 + -106.237 x3
15,35.0,,,100.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,20,20.0,0.14169511944055557,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 108.66326175821975, -118.82533106893155, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 118.8167387203346, -108.65875643642713]]",(x0)' =  108.663 x0 + -118.825 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  118.817 x2 + -108.659 x3
16,35.0,,,100.0,1,4,5,20.0,60.0,0,0.0,finite_difference,success,,0,20,0.0,0.10191843286156654,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000
17,35.0,,,100.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,0,20,0.0,0.11264164559543133,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000
18,35.0,,,100.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,0,20,0.0,0.11622375622391701,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000
19,35.0,,,100.0,1,6,1,4.0,20.0,0,0.0,finite_difference,success,,18,42,42.857142857142854,0.24563726596534252,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 521.5036180300267, -1061.738278004196, 906.4128185885759, -472.5715237852455, 106.22631463994524, 0.0], [0.0, 125.01156326983327, 0.0, -125.01257979017046, 0.0, 0.0, 0.0], [0.0, 0.0, 125.00743419716919, 0.0, -125.00732448631067, 0.0, 0.0], [0.0, 0.0, 0.0, 125.00875546344892, 0.0, -125.00735746391565, 0.0], [0.0, 0.0, 0.0, 0.0, 125.01442234796306, 0.0, -125.01250767333758], [0.0, 0.0, -106.12218906404308, 472.1804667042832, -905.8348960607251, 1061.337982661254, -521.3941828400399]]",(x0)' =  521.504 x0 + -1061.738 x1 +  906.413 x2 + -472.572 x3 +  106.226 x4 | (x1)' =  125.012 x0 + -125.013 x2 | (x2)' =  125.007 x1 + -125.007 x3 | (x3)' =  125.009 x2 + -125.007 x4 | (x4)' =  125.014 x3 + -125.013 x5 | (x5)' = -106.122 x1 +  472.180 x2 + -905.835 x3 +  1061.338 x4 + -521.394 x5
