configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,,,sr3,0.1,0.05,0.01,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,6,6,100.0,1.3791836155578494,"[""1"", ""x0"", ""x1""]","[[-0.1055728552163189, 197.01721811321326, -206.05327225968247], [0.07290423791690952, 206.11249253087902, -197.07960132253305]]",(x0)' = -0.106 1 +  197.017 x0 + -206.053 x1 | (x1)' =  0.073 1 +  206.112 x0 + -197.080 x1
2,80.0,,,sr3,0.1,0.05,0.1,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.06612084619700909,"[""1"", ""x0"", ""x1""]","[[-0.0, 197.01721811325362, -206.05327225972488], [0.0, 206.1124925308512, -197.07960132250383]]",(x0)' =  197.017 x0 + -206.053 x1 | (x1)' =  206.112 x0 + -197.080 x1
3,80.0,,,sr3,0.1,0.05,1.0,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.05977561231702566,"[""1"", ""x0"", ""x1""]","[[-0.0, 197.01721811321778, -206.0532722596872], [0.0, 206.11249253087675, -197.07960132253064]]",(x0)' =  197.017 x0 + -206.053 x1 | (x1)' =  206.112 x0 + -197.080 x1
4,80.0,,,sr3,0.1,0.05,10.0,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.06074986420571804,"[""1"", ""x0"", ""x1""]","[[-0.0, 197.01721811321386, -206.05327225968307], [0.0, 206.112492530879, -197.07960132253297]]",(x0)' =  197.017 x0 + -206.053 x1 | (x1)' =  206.112 x0 + -197.080 x1
5,80.0,,,sr3,0.1,0.05,0.01,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07235592789947987,"[""1"", ""x0"", ""x1""]","[[-0.0, 211.9403070671693, -220.04651504630442], [0.13574268949397503, 220.1185970525818, -212.01575203523598]]",(x0)' =  211.940 x0 + -220.047 x1 | (x1)' =  0.136 1 +  220.119 x0 + -212.016 x1
6,80.0,,,sr3,0.1,0.05,0.1,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07230573892593384,"[""1"", ""x0"", ""x1""]","[[-0.0, 211.940307067098, -220.04651504622566], [0.0, 220.11859705255208, -212.01575203520312]]",(x0)' =  211.940 x0 + -220.047 x1 | (x1)' =  220.119 x0 + -212.016 x1
7,80.0,,,sr3,0.1,0.05,1.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.071040328592062,"[""1"", ""x0"", ""x1""]","[[-0.0, 211.94030706709034, -220.04651504621725], [0.0, 220.11859705257837, -212.01575203523225]]",(x0)' =  211.940 x0 + -220.047 x1 | (x1)' =  220.119 x0 + -212.016 x1
8,80.0,,,sr3,0.1,0.05,10.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07035071216523647,"[""1"", ""x0"", ""x1""]","[[-0.0, 211.94030706709083, -220.0465150462177], [0.0, 220.11859705258237, -212.01575203523652]]",(x0)' =  211.940 x0 + -220.047 x1 | (x1)' =  220.119 x0 + -212.016 x1
9,80.0,,,sr3,0.1,0.05,0.01,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07622641697525978,"[""1"", ""x0"", ""x1""]","[[0.0, 231.08308261380375, -236.97140804085322], [0.4801879672361918, 236.9148022983765, -231.03179126358395]]",(x0)' =  231.083 x0 + -236.971 x1 | (x1)' =  0.480 1 +  236.915 x0 + -231.032 x1
10,80.0,,,sr3,0.1,0.05,0.1,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07320083305239677,"[""1"", ""x0"", ""x1""]","[[0.0, 231.0830826138175, -236.97140804086854], [0.48018796723619184, 236.91480229837666, -231.03179126358415]]",(x0)' =  231.083 x0 + -236.971 x1 | (x1)' =  0.480 1 +  236.915 x0 + -231.032 x1
11,80.0,,,sr3,0.1,0.05,1.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07344799675047398,"[""1"", ""x0"", ""x1""]","[[0.0, 231.08308261381927, -236.97140804087044], [0.4801879672361922, 236.914802298377, -231.0317912635845]]",(x0)' =  231.083 x0 + -236.971 x1 | (x1)' =  0.480 1 +  236.915 x0 + -231.032 x1
12,80.0,,,sr3,0.1,0.05,10.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07252778764814138,"[""1"", ""x0"", ""x1""]","[[0.0, 231.0830826138213, -236.97140804087246], [0.0, 236.91480229837717, -231.03179126358444]]",(x0)' =  231.083 x0 + -236.971 x1 | (x1)' =  236.915 x0 + -231.032 x1
13,80.0,,,sr3,0.1,0.05,0.01,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,5,6,83.33333333333333,0.06000532861799002,"[""1"", ""x0"", ""x1""]","[[-0.37442453032719475, 81.89456739600313, -95.37696895300074], [0.0, 95.37847874031986, -81.89579555800626]]",(x0)' = -0.374 1 +  81.895 x0 + -95.377 x1 | (x1)' =  95.378 x0 + -81.896 x1
14,80.0,,,sr3,0.1,0.05,0.1,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,5,6,83.33333333333333,0.058544861152768135,"[""1"", ""x0"", ""x1""]","[[-0.37442453032719486, 81.89456739600296, -95.3769689530006], [0.0, 95.37847874031355, -81.89579555799973]]",(x0)' = -0.374 1 +  81.895 x0 + -95.377 x1 | (x1)' =  95.378 x0 + -81.896 x1
15,80.0,,,sr3,0.1,0.05,1.0,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.06005491688847542,"[""1"", ""x0"", ""x1""]","[[-0.0, 81.89456739600139, -95.37696895299894], [0.0, 95.37847874031318, -81.89579555799932]]",(x0)' =  81.895 x0 + -95.377 x1 | (x1)' =  95.378 x0 + -81.896 x1
16,80.0,,,sr3,0.1,0.05,10.0,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.05875584576278925,"[""1"", ""x0"", ""x1""]","[[-0.0, 81.89456739600293, -95.37696895300054], [0.0, 95.37847874031304, -81.89579555799918]]",(x0)' =  81.895 x0 + -95.377 x1 | (x1)' =  95.378 x0 + -81.896 x1
17,80.0,,,sr3,0.1,0.05,0.01,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07064232230186462,"[""1"", ""x0"", ""x1""]","[[-0.4879361104554916, 90.44370542622963, -103.62699052815208], [0.0, 103.61945277428966, -90.43118280900977]]",(x0)' = -0.488 1 +  90.444 x0 + -103.627 x1 | (x1)' =  103.619 x0 + -90.431 x1
18,80.0,,,sr3,0.1,0.05,0.1,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07074905652552843,"[""1"", ""x0"", ""x1""]","[[-0.4879361104554918, 90.44370542622957, -103.62699052815202], [0.0, 103.6194527742696, -90.43118280898985]]",(x0)' = -0.488 1 +  90.444 x0 + -103.627 x1 | (x1)' =  103.619 x0 + -90.431 x1
19,80.0,,,sr3,0.1,0.05,1.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07537336088716984,"[""1"", ""x0"", ""x1""]","[[-0.4879361104554916, 90.44370542622956, -103.62699052815202], [0.0, 103.6194527742676, -90.43118280898786]]",(x0)' = -0.488 1 +  90.444 x0 + -103.627 x1 | (x1)' =  103.619 x0 + -90.431 x1
20,80.0,,,sr3,0.1,0.05,10.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07044103182852268,"[""1"", ""x0"", ""x1""]","[[-0.0, 90.44370542622879, -103.62699052815123], [0.0, 103.61945277426746, -90.43118280898771]]",(x0)' =  90.444 x0 + -103.627 x1 | (x1)' =  103.619 x0 + -90.431 x1
21,80.0,,,sr3,0.1,0.05,0.01,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,6,100.0,0.07463809847831726,"[""1"", ""x0"", ""x1""]","[[-0.4851578836452348, 105.29285539859178, -116.07268126222166], [0.1868158959819238, 116.01032223380554, -105.2260222180689]]",(x0)' = -0.485 1 +  105.293 x0 + -116.073 x1 | (x1)' =  0.187 1 +  116.010 x0 + -105.226 x1
22,80.0,,,sr3,0.1,0.05,0.1,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,6,100.0,0.07156538404524326,"[""1"", ""x0"", ""x1""]","[[-0.4851578836452349, 105.29285539859168, -116.07268126222158], [0.1868158959819239, 116.01032223380541, -105.22602221806878]]",(x0)' = -0.485 1 +  105.293 x0 + -116.073 x1 | (x1)' =  0.187 1 +  116.010 x0 + -105.226 x1
23,80.0,,,sr3,0.1,0.05,1.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07591925282031298,"[""1"", ""x0"", ""x1""]","[[-0.4851578836452348, 105.29285539859181, -116.07268126222168], [0.0, 116.01032223380801, -105.22602221807122]]",(x0)' = -0.485 1 +  105.293 x0 + -116.073 x1 | (x1)' =  116.010 x0 + -105.226 x1
24,80.0,,,sr3,0.1,0.05,10.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07205102033913136,"[""1"", ""x0"", ""x1""]","[[-0.0, 105.2928553985911, -116.07268126222102], [0.0, 116.0103222338057, -105.22602221806906]]",(x0)' =  105.293 x0 + -116.073 x1 | (x1)' =  116.010 x0 + -105.226 x1
25,80.0,,,sr3,0.1,0.05,0.01,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,6,100.0,0.05788401048630476,"[""1"", ""x0"", ""x1""]","[[0.28977214425905307, 18.261413681889785, -32.46911987827418], [-0.49775575838124214, 32.477210193887, -18.282581510709953]]",(x0)' =  0.290 1 +  18.261 x0 + -32.469 x1 | (x1)' = -0.498 1 +  32.477 x0 + -18.283 x1
26,80.0,,,sr3,0.1,0.05,0.1,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,6,100.0,0.056366377510130405,"[""1"", ""x0"", ""x1""]","[[0.28977214425905234, 18.261413681889785, -32.46911987827418], [-0.4977557583812432, 32.477210193887, -18.282581510709953]]",(x0)' =  0.290 1 +  18.261 x0 + -32.469 x1 | (x1)' = -0.498 1 +  32.477 x0 + -18.283 x1
27,80.0,,,sr3,0.1,0.05,1.0,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,5,6,83.33333333333333,0.05985936988145113,"[""1"", ""x0"", ""x1""]","[[0.0, 18.261413681881397, -32.46911987826189], [-0.4977557583812431, 32.47721019388701, -18.28258151070996]]",(x0)' =  18.261 x0 + -32.469 x1 | (x1)' = -0.498 1 +  32.477 x0 + -18.283 x1
28,80.0,,,sr3,0.1,0.05,10.0,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.05992903560400009,"[""1"", ""x0"", ""x1""]","[[0.0, 18.261413681888946, -32.46911987827295], [-0.0, 32.477210193888446, -18.28258151071207]]",(x0)' =  18.261 x0 + -32.469 x1 | (x1)' =  32.477 x0 + -18.283 x1
29,80.0,,,sr3,0.1,0.05,0.01,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,6,100.0,0.06914949975907803,"[""1"", ""x0"", ""x1""]","[[0.3206528091206418, 18.594625316262352, -32.711557990442], [-0.4126595215444576, 32.71778547204997, -18.61428509628343]]",(x0)' =  0.321 1 +  18.595 x0 + -32.712 x1 | (x1)' = -0.413 1 +  32.718 x0 + -18.614 x1
30,80.0,,,sr3,0.1,0.05,0.1,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,6,100.0,0.07059803046286106,"[""1"", ""x0"", ""x1""]","[[0.32065280912064126, 18.594625316262356, -32.71155799044201], [-0.4126595215444584, 32.71778547204997, -18.614285096283435]]",(x0)' =  0.321 1 +  18.595 x0 + -32.712 x1 | (x1)' = -0.413 1 +  32.718 x0 + -18.614 x1
31,80.0,,,sr3,0.1,0.05,1.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07052676938474178,"[""1"", ""x0"", ""x1""]","[[0.0, 18.594625316253737, -32.71155799042901], [-0.0, 32.717785472061074, -18.61428509630018]]",(x0)' =  18.595 x0 + -32.712 x1 | (x1)' =  32.718 x0 + -18.614 x1
32,80.0,,,sr3,0.1,0.05,10.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07176847569644451,"[""1"", ""x0"", ""x1""]","[[0.0, 18.5946253162615, -32.71155799044072], [-0.0, 32.717785472051084, -18.614285096285112]]",(x0)' =  18.595 x0 + -32.712 x1 | (x1)' =  32.718 x0 + -18.614 x1
33,80.0,,,sr3,0.1,0.05,0.01,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,6,100.0,0.07273724023252726,"[""1"", ""x0"", ""x1""]","[[0.5780538568984896, 22.620379873870977, -37.72805145417219], [-0.2629569284522678, 37.74359122735945, -22.650866126659565]]",(x0)' =  0.578 1 +  22.620 x0 + -37.728 x1 | (x1)' = -0.263 1 +  37.744 x0 + -22.651 x1
34,80.0,,,sr3,0.1,0.05,0.1,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,6,100.0,0.07271666638553143,"[""1"", ""x0"", ""x1""]","[[0.5780538568984883, 22.620379873870956, -37.72805145417217], [-0.26295692845226915, 37.743591227359445, -22.65086612665955]]",(x0)' =  0.578 1 +  22.620 x0 + -37.728 x1 | (x1)' = -0.263 1 +  37.744 x0 + -22.651 x1
35,80.0,,,sr3,0.1,0.05,1.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.07180984225124121,"[""1"", ""x0"", ""x1""]","[[0.5780538568984882, 22.62037987387097, -37.72805145417218], [-0.0, 37.74359122736734, -22.65086612667154]]",(x0)' =  0.578 1 +  22.620 x0 + -37.728 x1 | (x1)' =  37.744 x0 + -22.651 x1
36,80.0,,,sr3,0.1,0.05,10.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.07343475427478552,"[""1"", ""x0"", ""x1""]","[[0.0, 22.620379873869236, -37.728051454169545], [-0.0, 37.74359122736024, -22.650866126660762]]",(x0)' =  22.620 x0 + -37.728 x1 | (x1)' =  37.744 x0 + -22.651 x1
37,80.0,,,sr3,0.1,0.05,0.01,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,20,20,100.0,0.08605715725570917,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5182715435700759, 260.2582152960278, -375.4391122104648, 167.3471323553848, -59.49979876398093], [0.2649641667511951, 124.9934930687236, 0.11114835724997991, -125.19923962523815, 0.09129576828663727], [0.39718199363659806, -0.07080610096009911, 125.14765285496253, -0.09819073851583306, -124.98404773403823], [-0.2615758041990571, 59.51025750700847, -167.41145995486156, 375.5556793492702, -260.3142733904047]]",(x0)' = -0.518 1 +  260.258 x0 + -375.439 x1 +  167.347 x2 + -59.500 x3 | (x1)' =  0.265 1 +  124.993 x0 +  0.111 x1 + -125.199 x2 +  0.091 x3 | (x2)' =  0.397 1 + -0.071 x0 +  125.148 x1 + -0.098 x2 + -124.984 x3 | (x3)' = -0.262 1 +  59.510 x0 + -167.411 x1 +  375.556 x2 + -260.314 x3
38,80.0,,,sr3,0.1,0.05,0.1,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,16,20,80.0,0.08792223688215017,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5182715435700777, 260.2582152960267, -375.43911221046284, 167.34713235538393, -59.499798763981], [0.2649641677949683, 124.9934935183719, 0.0, -125.19923855478531, 0.0], [0.3971819945212356, -0.0, 125.14765194251314, -0.0, -124.9840481232081], [-0.2615758041990552, 59.510257507009435, -167.4114599548636, 375.5556793492722, -260.3142733904056]]",(x0)' = -0.518 1 +  260.258 x0 + -375.439 x1 +  167.347 x2 + -59.500 x3 | (x1)' =  0.265 1 +  124.993 x0 + -125.199 x2 | (x2)' =  0.397 1 +  125.148 x1 + -124.984 x3 | (x3)' = -0.262 1 +  59.510 x0 + -167.411 x1 +  375.556 x2 + -260.314 x3
39,80.0,,,sr3,0.1,0.05,1.0,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,13,20,65.0,0.08723804634064436,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5182715435700752, 260.2582152960279, -375.4391122104655, 167.3471323553858, -59.49979876398138], [0.0, 124.99349311360395, 0.0, -125.19923951837085, 0.0], [0.0, -0.0, 125.14765276400512, -0.0, -124.9840477728519], [-0.0, 59.5102575070922, -167.4114599550521, 375.5556793494461, -260.3142733904727]]",(x0)' = -0.518 1 +  260.258 x0 + -375.439 x1 +  167.347 x2 + -59.500 x3 | (x1)' =  124.993 x0 + -125.199 x2 | (x2)' =  125.148 x1 + -124.984 x3 | (x3)' =  59.510 x0 + -167.411 x1 +  375.556 x2 + -260.314 x3
40,80.0,,,sr3,0.1,0.05,10.0,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,12,20,60.0,0.08879200275987387,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.0, 260.258215296048, -375.43911221051076, 167.34713235542733, -59.49979876399747], [0.0, 124.99349307321222, 0.0, -125.19923961454975, 0.0], [0.0, -0.0, 125.14765284586676, -0.0, -124.98404773791958], [-0.0, 59.51025750701894, -167.41145995488478, 375.55567934929104, -260.3142733904126]]",(x0)' =  260.258 x0 + -375.439 x1 +  167.347 x2 + -59.500 x3 | (x1)' =  124.993 x0 + -125.199 x2 | (x2)' =  125.148 x1 + -124.984 x3 | (x3)' =  59.510 x0 + -167.411 x1 +  375.556 x2 + -260.314 x3
41,80.0,,,sr3,0.1,0.05,0.01,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.1029725605621934,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5042831567643383, 311.2690516332492, -472.7821559275331, 227.4091879897149, -71.00398721830416], [0.2797855283571698, 124.91470062460803, 0.35092534154995536, -125.4611639145154, 0.19226727940627933], [0.5033165042647411, -0.17488152868142, 125.40196596629109, -0.3275340799839015, -124.90595033020317], [-0.23948370429273638, 71.09835509693404, -227.68626778449394, 473.07623865922295, -311.3718269744523]]",(x0)' = -0.504 1 +  311.269 x0 + -472.782 x1 +  227.409 x2 + -71.004 x3 | (x1)' =  0.280 1 +  124.915 x0 +  0.351 x1 + -125.461 x2 +  0.192 x3 | (x2)' =  0.503 1 + -0.175 x0 +  125.402 x1 + -0.328 x2 + -124.906 x3 | (x3)' = -0.239 1 +  71.098 x0 + -227.686 x1 +  473.076 x2 + -311.372 x3
42,80.0,,,sr3,0.1,0.05,0.1,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.10038873367011547,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5042831567643158, 311.26905163325745, -472.7821559275542, 227.4091879897358, -71.00398721831225], [0.2797855283571695, 124.91470062460802, 0.3509253415501731, -125.46116391451615, 0.19226727940685254], [0.5033165042647447, -0.17488152868027282, 125.40196596628772, -0.3275340799804944, -124.90595033020436], [-0.23948370429270693, 71.09835509694419, -227.6862677845215, 473.07623865925217, -311.37182697446417]]",(x0)' = -0.504 1 +  311.269 x0 + -472.782 x1 +  227.409 x2 + -71.004 x3 | (x1)' =  0.280 1 +  124.915 x0 +  0.351 x1 + -125.461 x2 +  0.192 x3 | (x2)' =  0.503 1 + -0.175 x0 +  125.402 x1 + -0.328 x2 + -124.906 x3 | (x3)' = -0.239 1 +  71.098 x0 + -227.686 x1 +  473.076 x2 + -311.372 x3
43,80.0,,,sr3,0.1,0.05,1.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,14,20,70.0,0.10063254181295633,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5042831567643229, 311.26905163325324, -472.78215592754725, 227.4091879897331, -71.00398721831252], [0.0, 124.91470094544259, 0.0, -125.4611631271727, 0.0], [0.503316505045898, -0.0, 125.40196523447585, -0.0, -124.90595062875377], [-0.0, 71.09835509715002, -227.6862677850269, 473.07623865973176, -311.3718269746426]]",(x0)' = -0.504 1 +  311.269 x0 + -472.782 x1 +  227.409 x2 + -71.004 x3 | (x1)' =  124.915 x0 + -125.461 x2 | (x2)' =  0.503 1 +  125.402 x1 + -124.906 x3 | (x3)' =  71.098 x0 + -227.686 x1 +  473.076 x2 + -311.372 x3
44,80.0,,,sr3,0.1,0.05,10.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,20,60.0,0.10045774932950735,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.0, 311.26905163329775, -472.78215592765343, 227.40918798982995, -71.00398721834712], [0.0, 124.91470065669066, 0.0, -125.46116383578367, 0.0], [0.0, -0.0, 125.40196589321361, -0.0, -124.90595036002193], [-0.0, 71.09835509696269, -227.6862677845668, 473.07623865929475, -311.3718269744798]]",(x0)' =  311.269 x0 + -472.782 x1 +  227.409 x2 + -71.004 x3 | (x1)' =  124.915 x0 + -125.461 x2 | (x2)' =  125.402 x1 + -124.906 x3 | (x3)' =  71.098 x0 + -227.686 x1 +  473.076 x2 + -311.372 x3
45,80.0,,,sr3,0.1,0.05,0.01,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,18,20,90.0,0.10322605166584253,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 358.13921412500366, -538.5918759359523, 232.62893159502644, -54.16619006312137], [-0.0, 125.94849614846501, -2.9951627180747034, -121.54096471872253, -1.4283635046599619], [0.11603537503946093, 0.868322116660114, 122.70912956004013, 2.1458251184234367, -125.71666071310776], [0.12835554686182862, 54.00884826481884, -231.98934673181247, 537.5321780093577, -357.54765169277965]]",(x0)' =  358.139 x0 + -538.592 x1 +  232.629 x2 + -54.166 x3 | (x1)' =  125.948 x0 + -2.995 x1 + -121.541 x2 + -1.428 x3 | (x2)' =  0.116 1 +  0.868 x0 +  122.709 x1 +  2.146 x2 + -125.717 x3 | (x3)' =  0.128 1 +  54.009 x0 + -231.989 x1 +  537.532 x2 + -357.548 x3
46,80.0,,,sr3,0.1,0.05,0.1,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.10612342786043882,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 358.1392141259009, -538.5918759383899, 232.628931597415, -54.166190063967264], [-0.0, 125.94849614391683, -2.995162705711648, -121.5409647308481, -1.4283635003606798], [0.0, 0.8683221119195865, 122.70912957292398, 2.1458251057894944, -125.71666070862914], [0.0, 54.00884825970055, -231.98934671790516, 537.5321779957235, -357.54765168794756]]",(x0)' =  358.139 x0 + -538.592 x1 +  232.629 x2 + -54.166 x3 | (x1)' =  125.948 x0 + -2.995 x1 + -121.541 x2 + -1.428 x3 | (x2)' =  0.868 x0 +  122.709 x1 +  2.146 x2 + -125.717 x3 | (x3)' =  54.009 x0 + -231.989 x1 +  537.532 x2 + -357.548 x3
47,80.0,,,sr3,0.1,0.05,1.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.10633113235235214,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 358.13921412594146, -538.5918759385042, 232.62893159753193, -54.16619006401045], [-0.0, 125.94849614345883, -2.995162704469032, -121.54096473206438, -1.4283634999302768], [0.0, 0.8683221161827688, 122.70912956133698, 2.145825117152114, -125.71666071265716], [0.0, 54.00884826438741, -231.9893467306403, 537.5321780082087, -357.5476516923725]]",(x0)' =  358.139 x0 + -538.592 x1 +  232.629 x2 + -54.166 x3 | (x1)' =  125.948 x0 + -2.995 x1 + -121.541 x2 + -1.428 x3 | (x2)' =  0.868 x0 +  122.709 x1 +  2.146 x2 + -125.717 x3 | (x3)' =  54.009 x0 + -231.989 x1 +  537.532 x2 + -357.548 x3
48,80.0,,,sr3,0.1,0.05,10.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,15,20,75.0,0.10409975238144398,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 358.13921412589303, -538.591875938362, 232.628931597381, -54.166190063952975], [-0.0, 125.94849614341022, -2.99516270433402, -121.54096473219967, -1.4283634998813899], [0.0, 0.0, 122.70912997582806, 2.145824739491352, -125.71666058775222], [0.0, 54.008848264795056, -231.9893467317514, 537.5321780093017, -357.54765169276106]]",(x0)' =  358.139 x0 + -538.592 x1 +  232.629 x2 + -54.166 x3 | (x1)' =  125.948 x0 + -2.995 x1 + -121.541 x2 + -1.428 x3 | (x2)' =  122.709 x1 +  2.146 x2 + -125.717 x3 | (x3)' =  54.009 x0 + -231.989 x1 +  537.532 x2 + -357.548 x3
