configuration_index,lowpass_hz,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
1,35.0,36.85636440989091,1,2,1,4.0,4.0,0,0.0,finite_difference,4,6,66.66666666666667,0.2876742593944073,9,9,0,1.0,True,,True
2,35.0,36.85636440989091,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.09928629919886589,9,9,0,1.0,True,,True
3,35.0,36.85636440989091,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08367816917598248,9,9,0,1.0,True,,True
4,35.0,36.85636440989091,1,2,2,8.0,8.0,0,0.0,finite_difference,4,6,66.66666666666667,0.07392096146941185,9,9,0,1.0,True,,True
5,35.0,36.85636440989091,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08340512961149216,9,9,0,1.0,True,,True
6,35.0,36.85636440989091,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08229395374655724,9,9,0,1.0,True,,True
7,35.0,36.85636440989091,1,2,5,20.0,20.0,0,0.0,finite_difference,5,6,83.33333333333333,0.07201942056417465,9,9,0,1.0,True,,True
8,35.0,36.85636440989091,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.08408150635659695,9,9,0,1.0,True,,True
9,35.0,36.85636440989091,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.08655618317425251,9,9,0,1.0,True,,True
10,35.0,36.85636440989091,1,4,1,4.0,12.0,0,0.0,finite_difference,16,20,80.0,0.14320851862430573,9,9,0,1.0,True,,True
11,35.0,36.85636440989091,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.1504474263638258,9,9,0,1.0,True,,True
12,35.0,36.85636440989091,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.157229196280241,9,9,0,1.0,True,,True
