degree,parameter,value,configurations,all_held_out_completed_count,all_held_out_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction
1,lowpass_hz,35.0,36,36,1.0,324,324,1.0
1,lowpass_hz,80.0,36,36,1.0,324,324,1.0
1,n_delays,2,18,18,1.0,162,162,1.0
1,n_delays,4,18,18,1.0,162,162,1.0
1,n_delays,6,18,18,1.0,162,162,1.0
1,n_delays,8,18,18,1.0,162,162,1.0
1,delay_samples,1,24,24,1.0,216,216,1.0
1,delay_samples,2,24,24,1.0,216,216,1.0
1,delay_samples,5,24,24,1.0,216,216,1.0
1,smooth_window_samples,0,24,24,1.0,216,216,1.0
1,smooth_window_samples,5,24,24,1.0,216,216,1.0
1,smooth_window_samples,9,24,24,1.0,216,216,1.0
2,lowpass_hz,35.0,36,20,0.5555555555555556,324,278,0.8580246913580247
2,lowpass_hz,80.0,36,14,0.3888888888888889,324,221,0.6820987654320988
2,n_delays,2,18,14,0.7777777777777778,162,156,0.9629629629629629
2,n_delays,4,18,9,0.5,162,127,0.7839506172839507
2,n_delays,6,18,7,0.3888888888888889,162,138,0.8518518518518519
2,n_delays,8,18,4,0.2222222222222222,162,78,0.48148148148148145
2,delay_samples,1,24,11,0.4583333333333333,216,141,0.6527777777777778
2,delay_samples,2,24,14,0.5833333333333334,216,177,0.8194444444444444
2,delay_samples,5,24,9,0.375,216,181,0.8379629629629629
2,smooth_window_samples,0,24,12,0.5,216,178,0.8240740740740741
2,smooth_window_samples,5,24,9,0.375,216,154,0.7129629629629629
2,smooth_window_samples,9,24,13,0.5416666666666666,216,167,0.7731481481481481
3,lowpass_hz,35.0,36,12,0.3333333333333333,324,156,0.48148148148148145
3,lowpass_hz,80.0,36,13,0.3611111111111111,324,193,0.595679012345679
3,n_delays,2,18,18,1.0,162,162,1.0
3,n_delays,4,18,4,0.2222222222222222,162,73,0.4506172839506173
3,n_delays,6,18,3,0.16666666666666666,162,68,0.41975308641975306
3,n_delays,8,18,0,0.0,162,46,0.2839506172839506
3,delay_samples,1,24,10,0.4166666666666667,216,117,0.5416666666666666
3,delay_samples,2,24,9,0.375,216,112,0.5185185185185185
3,delay_samples,5,24,6,0.25,216,120,0.5555555555555556
3,smooth_window_samples,0,24,10,0.4166666666666667,216,126,0.5833333333333334
3,smooth_window_samples,5,24,8,0.3333333333333333,216,116,0.5370370370370371
3,smooth_window_samples,9,24,7,0.2916666666666667,216,107,0.49537037037037035
