parameter,value,matched_equation_pairs,mean_coefficient_cosine_similarity,median_coefficient_cosine_similarity,minimum_coefficient_cosine_similarity,mean_relative_l2_change_from_35hz,median_relative_l2_change_from_35hz,maximum_relative_l2_change_from_35hz
degree,1,36,0.935228168046376,0.9952097488123608,0.45927684096023014,0.37419954396875443,0.22511269072839996,0.8961294122831983
degree,2,36,0.8943171632234191,0.9323104405349598,0.449465061005779,0.4664936408365114,0.5080521850412347,0.900301078800041
degree,3,36,0.8943918618783668,0.9321912894583262,0.4344171097121654,0.4698785888077413,0.5261062761909345,0.9052983351901295
n_delays,2,27,0.9817524805264718,0.9993398809569994,0.8941953487375762,0.1728904177582591,0.1463019435739692,0.5379392714075156
n_delays,4,27,0.948737596090851,0.9889473586829637,0.8121154035865625,0.37474039145671345,0.3551295978918419,0.6290075333923851
n_delays,6,27,0.888943272282152,0.9416507666366155,0.6747837615348641,0.5481479595655662,0.5817022752600706,0.7763988928076239
n_delays,8,27,0.8124829086314077,0.9172957887323604,0.4344171097121654,0.6516502627034706,0.7938136248877443,0.9052983351901295
delay_samples,1,36,0.9730268713566504,0.9805981870327125,0.9172957887323604,0.4663411560860457,0.5213991418981831,0.8386639488756935
delay_samples,2,36,0.8133245879130823,0.8192030902383671,0.4344171097121654,0.5366320484786683,0.6493341456888998,0.9052983351901295
delay_samples,5,36,0.9375857338784288,0.9928733700730545,0.8150261948866777,0.3075985690482932,0.17408299763986684,0.6255612987849344
smooth_window_samples,0,36,0.8797783594312624,0.9226620240042313,0.5669771246375501,0.5291537107243399,0.5857837673649982,0.851633223315073
smooth_window_samples,5,36,0.9184111885165307,0.9717150919441708,0.6738822710118881,0.44764402402910314,0.49360191403623066,0.795704291656771
smooth_window_samples,9,36,0.9257476452003688,0.9912942230604724,0.4344171097121654,0.333774038859564,0.22879666400038762,0.9052983351901295
