parameter,value,configurations,all_held_out_completed_count,all_held_out_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction
degree,1,72,72,1.0,648,648,1.0
degree,2,72,34,0.4722222222222222,648,499,0.7700617283950617
degree,3,72,25,0.3472222222222222,648,349,0.5385802469135802
lowpass_hz,35.0,108,68,0.6296296296296297,972,758,0.779835390946502
lowpass_hz,80.0,108,63,0.5833333333333334,972,738,0.7592592592592593
n_delays,2,54,50,0.9259259259259259,486,480,0.9876543209876543
n_delays,4,54,31,0.5740740740740741,486,362,0.7448559670781894
n_delays,6,54,28,0.5185185185185185,486,368,0.757201646090535
n_delays,8,54,22,0.4074074074074074,486,286,0.588477366255144
delay_samples,1,72,45,0.625,648,474,0.7314814814814815
delay_samples,2,72,47,0.6527777777777778,648,505,0.779320987654321
delay_samples,5,72,39,0.5416666666666666,648,517,0.7978395061728395
smooth_window_samples,0,72,46,0.6388888888888888,648,520,0.8024691358024691
smooth_window_samples,5,72,41,0.5694444444444444,648,486,0.75
smooth_window_samples,9,72,44,0.6111111111111112,648,490,0.7561728395061729
nonzero_terms,4,8,8,1.0,72,72,1.0
nonzero_terms,5,10,10,1.0,90,90,1.0
nonzero_terms,11,1,1,1.0,9,9,1.0
nonzero_terms,12,17,13,0.7647058823529411,153,147,0.9607843137254902
nonzero_terms,16,7,7,1.0,63,63,1.0
nonzero_terms,17,6,6,1.0,54,54,1.0
nonzero_terms,18,1,1,1.0,9,9,1.0
nonzero_terms,19,5,5,1.0,45,45,1.0
nonzero_terms,20,17,17,1.0,153,153,1.0
nonzero_terms,35,1,1,1.0,9,9,1.0
nonzero_terms,36,8,8,1.0,72,72,1.0
nonzero_terms,37,3,3,1.0,27,27,1.0
nonzero_terms,38,2,2,1.0,18,18,1.0
nonzero_terms,39,3,3,1.0,27,27,1.0
nonzero_terms,40,1,1,1.0,9,9,1.0
nonzero_terms,59,3,3,1.0,27,27,1.0
nonzero_terms,60,15,6,0.4,135,100,0.7407407407407407
nonzero_terms,64,11,11,1.0,99,99,1.0
nonzero_terms,65,1,1,1.0,9,9,1.0
nonzero_terms,66,3,3,1.0,27,27,1.0
nonzero_terms,67,1,1,1.0,9,9,1.0
nonzero_terms,68,2,2,1.0,18,18,1.0
nonzero_terms,137,1,0,0.0,9,0,0.0
nonzero_terms,139,7,2,0.2857142857142857,63,39,0.6190476190476191
nonzero_terms,140,10,2,0.2,90,34,0.37777777777777777
nonzero_terms,165,2,1,0.5,18,16,0.8888888888888888
nonzero_terms,166,1,0,0.0,9,2,0.2222222222222222
nonzero_terms,167,7,3,0.42857142857142855,63,58,0.9206349206349206
nonzero_terms,168,8,3,0.375,72,62,0.8611111111111112
nonzero_terms,356,2,0,0.0,18,0,0.0
nonzero_terms,357,5,2,0.4,45,34,0.7555555555555555
nonzero_terms,358,3,0,0.0,27,11,0.4074074074074074
nonzero_terms,359,4,2,0.5,36,21,0.5833333333333334
nonzero_terms,360,4,0,0.0,36,12,0.3333333333333333
nonzero_terms,499,1,0,0.0,9,8,0.8888888888888888
nonzero_terms,500,4,2,0.5,36,21,0.5833333333333334
nonzero_terms,501,5,0,0.0,45,8,0.17777777777777778
nonzero_terms,502,3,1,0.3333333333333333,27,11,0.4074074074074074
nonzero_terms,503,2,0,0.0,18,8,0.4444444444444444
nonzero_terms,504,3,0,0.0,27,12,0.4444444444444444
nonzero_terms,1300,1,0,0.0,9,0,0.0
nonzero_terms,1304,2,0,0.0,18,4,0.2222222222222222
nonzero_terms,1305,2,0,0.0,18,4,0.2222222222222222
nonzero_terms,1306,1,0,0.0,9,6,0.6666666666666666
nonzero_terms,1307,2,0,0.0,18,12,0.6666666666666666
nonzero_terms,1308,2,0,0.0,18,2,0.1111111111111111
nonzero_terms,1309,1,0,0.0,9,5,0.5555555555555556
nonzero_terms,1310,2,0,0.0,18,7,0.3888888888888889
nonzero_terms,1311,3,0,0.0,27,3,0.1111111111111111
nonzero_terms,1312,2,0,0.0,18,3,0.16666666666666666
