parameter,value,configurations,mean_utilization_percent,median_utilization_percent,minimum_utilization_percent,maximum_utilization_percent,fully_utilized_configurations
degree,1,72,84.99669312169311,85.71428571428571,66.66666666666667,95.23809523809524,0
degree,2,72,99.56349206349206,100.0,91.66666666666667,100.0,44
degree,3,72,99.47861552028219,99.4047619047619,95.0,100.0,30
lowpass_hz,35.0,108,93.8697490780824,99.4047619047619,66.66666666666667,100.0,41
lowpass_hz,80.0,108,95.48945139222918,99.2063492063492,66.66666666666667,100.0,33
n_delays,2,54,91.72839506172839,100.0,66.66666666666667,100.0,34
n_delays,4,54,94.96031746031748,99.28571428571429,80.0,100.0,25
n_delays,6,54,95.74882422104643,99.4047619047619,83.33333333333333,100.0,11
n_delays,8,54,96.28086419753087,99.01515151515152,88.88888888888889,100.0,4
delay_samples,1,72,94.13194444444444,99.31818181818181,66.66666666666667,100.0,24
delay_samples,2,72,94.39569304152639,99.24242424242425,66.66666666666667,100.0,24
delay_samples,5,72,95.51116321949655,99.18650793650794,83.33333333333333,100.0,26
smooth_window_samples,0,72,94.6403519320186,99.3560606060606,66.66666666666667,100.0,26
smooth_window_samples,5,72,94.72628066378067,99.22438672438673,66.66666666666667,100.0,24
smooth_window_samples,9,72,94.67216810966812,99.24603174603175,66.66666666666667,100.0,24
