configuration_index,lowpass_hz,stlsq_threshold,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,100.0,37.49490932254601,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,4,6,66.66666666666667,0.4160673916339874,"[""1"", ""x0"", ""x1""]","[[0.0, 197.0172185139639, -206.05327268047105], [0.0, 206.1124922541428, -197.07960103195933]]",(x0)' =  197.017 x0 + -206.053 x1 | (x1)' =  206.112 x0 + -197.080 x1
2,80.0,100.0,37.49490932254601,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,6,66.66666666666667,0.10256446525454521,"[""1"", ""x0"", ""x1""]","[[0.0, 211.94030714595323, -220.04651513331362], [0.0, 220.11859675662228, -212.01575170837722]]",(x0)' =  211.940 x0 + -220.047 x1 | (x1)' =  220.119 x0 + -212.016 x1
3,80.0,100.0,37.49490932254601,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.08364872820675373,"[""1"", ""x0"", ""x1""]","[[0.0, 231.0830825988333, -236.97140802415456], [0.48018796723613677, 236.91480229836625, -231.0317912635739]]",(x0)' =  231.083 x0 + -236.971 x1 | (x1)' =  0.480 1 +  236.915 x0 + -231.032 x1
4,80.0,100.0,37.49490932254601,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,5,6,83.33333333333333,0.0757621917873621,"[""1"", ""x0"", ""x1""]","[[-0.3744245303273608, 81.89456739600386, -95.3769689530016], [0.0, 95.37847874707711, -81.8957955649984]]",(x0)' = -0.374 1 +  81.895 x0 + -95.377 x1 | (x1)' =  95.378 x0 + -81.896 x1
5,80.0,100.0,37.49490932254601,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.0856009591370821,"[""1"", ""x0"", ""x1""]","[[-0.4879361104554662, 90.44370542622907, -103.62699052815151], [0.0, 103.61945279637467, -90.43118283094364]]",(x0)' = -0.488 1 +  90.444 x0 + -103.627 x1 | (x1)' =  103.619 x0 + -90.431 x1
6,80.0,100.0,37.49490932254601,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.08380701765418053,"[""1"", ""x0"", ""x1""]","[[-0.48515788364519624, 105.29285539859167, -116.07268126222166], [0.0, 116.01032247498249, -105.22602244484995]]",(x0)' = -0.485 1 +  105.293 x0 + -116.073 x1 | (x1)' =  116.010 x0 + -105.226 x1
7,80.0,100.0,37.49490932254601,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,5,6,83.33333333333333,0.07116505317389965,"[""1"", ""x0"", ""x1""]","[[0.0, 18.261412850055223, -32.46911866009664], [-0.4977557583812375, 32.477210193886656, -18.28258151070975]]",(x0)' =  18.261 x0 + -32.469 x1 | (x1)' = -0.498 1 +  32.477 x0 + -18.283 x1
8,80.0,100.0,37.49490932254601,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.08366769924759865,"[""1"", ""x0"", ""x1""]","[[0.0, 18.594624461031664, -32.71155670075316], [-0.41265952154446367, 32.71778547205054, -18.614285096283776]]",(x0)' =  18.595 x0 + -32.712 x1 | (x1)' = -0.413 1 +  32.718 x0 + -18.614 x1
9,80.0,100.0,37.49490932254601,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,5,6,83.33333333333333,0.08487355522811413,"[""1"", ""x0"", ""x1""]","[[0.5780538568984608, 22.620379873870938, -37.72805145417211], [0.0, 37.74359200914654, -22.650867314798376]]",(x0)' =  0.578 1 +  22.620 x0 + -37.728 x1 | (x1)' =  37.744 x0 + -22.651 x1
10,80.0,100.0,37.49490932254601,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,19,20,95.0,0.1525742206722498,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.5182715435700957, 260.25821529603974, -375.4391122104964, 167.34713235542014, -59.49979876399705], [0.0, 124.99348470756458, 0.11116742028610514, -125.19925727864464, 0.09130261331166939], [0.39718199363658957, -0.07080610095643335, 125.14765285495454, -0.0981907385093615, -124.9840477340403], [-0.2615758041990272, 59.51025750703357, -167.41145995492678, 375.55567934933964, -260.31427339043427]]",(x0)' = -0.518 1 +  260.258 x0 + -375.439 x1 +  167.347 x2 + -59.500 x3 | (x1)' =  124.993 x0 +  0.111 x1 + -125.199 x2 +  0.091 x3 | (x2)' =  0.397 1 + -0.071 x0 +  125.148 x1 + -0.098 x2 + -124.984 x3 | (x3)' = -0.262 1 +  59.510 x0 + -167.411 x1 +  375.556 x2 + -260.314 x3
