configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
1,2,success,,14.192,14.192,8.603652153164148,22920,3549,56.04692760672524,3549,68.7328046231091,68.71520336248379
1,3,success,,14.192,14.192,8.605259085074067,22946,3549,38.86231501317098,3549,49.58443455424576,49.578286463590885
1,4,success,,14.084,14.084,7.491819765418768,20232,3522,8.673986683797482,3522,28.51436606587216,28.512449636785274
1,312,success,,14.192,14.192,8.36741092428565,22092,3549,24.022071492879032,3549,42.1845603783227,42.17823131474349
1,620,success,,14.192,14.192,8.685386968776584,22786,3549,9.742619266267141,3549,41.374465409738136,41.37369891755155
1,622,success,,14.192,14.192,8.807723915204406,23091,3549,47.53625046769087,3549,60.18954658217272,60.18476605524981
1,778,success,,14.192,14.192,8.208059450611472,21778,3549,32.610827602853036,3549,46.48713934319889,46.48030670205892
1,1088,success,,14.196,14.196,8.15963413566351,21438,3550,54.622309513222454,3550,69.43580562271433,69.41686670647282
1,1244,success,,14.084,14.084,8.524849254637957,22675,3522,38.66461279790084,3522,52.709289560686116,52.69835109087378
2,2,success,,14.192,14.192,8.449169836938381,22687,3549,56.359632092558456,3549,69.0377352948994,69.03898504406386
2,3,success,,14.192,14.192,8.35425515472889,22419,3549,39.2687755561196,3549,48.774209581389385,48.76133806022894
2,4,success,,14.084,14.084,7.696824869140983,20334,3522,8.764737610650203,3522,28.180454138237295,28.172937783542135
2,312,success,,14.192,14.192,7.737054148688912,20847,3549,24.195670842122563,3549,42.16497513640941,42.16392190660014
2,620,success,,14.192,14.192,7.602958954870701,20048,3549,9.827386710580559,3549,40.936419124059455,40.93611320182013
2,622,success,,14.192,14.192,8.334327708929777,22154,3549,48.0299164702616,3549,60.40403416185316,60.38845612493659
2,778,success,,14.192,14.192,8.099788874387741,21460,3549,32.79617696211121,3549,48.92496390215745,48.92340478982473
2,1088,success,,14.196,14.196,7.755578914657235,20452,3550,55.09220650233777,3550,72.07466559200141,72.07502177413632
2,1244,success,,14.084,14.084,7.711944490671158,20700,3522,39.080776888137926,3522,53.049235204462576,53.051778869640664
3,2,success,,14.192,14.192,7.951364642009139,20490,3549,64.26955643650247,3549,76.53985755760532,76.53847512446487
3,3,success,,14.192,14.192,7.793383836746216,20182,3549,47.0509307387353,3549,56.05908704705471,56.03982733485181
3,4,success,,14.084,14.084,7.629132840782404,19066,3522,10.47146329955434,3522,29.201134673830396,29.193728064896746
3,312,success,,14.192,14.192,7.681456619873643,19891,3549,27.92640477984667,3549,44.7722630164406,44.77101041131058
3,620,success,,14.192,14.192,8.126889621838927,19784,3549,11.520975404460398,3549,41.58736332786717,41.58824509634161
3,622,success,,14.192,14.192,8.257775692269206,20297,3549,57.53058996855251,3549,69.1216585501249,69.10640562904348
3,778,success,,14.192,14.192,7.8783038798719645,20376,3549,37.450107043536676,3549,50.44016393456681,50.43633506123795
3,1088,success,,14.196,14.196,8.383071022108197,20536,3550,64.99563930087963,3550,78.23386514541389,78.22788341323773
3,1244,success,,14.084,14.084,7.898492159321904,20524,3522,46.77869759020315,3522,58.075803660696174,58.0762916683516
4,2,success,,14.188,14.188,6.918363839387894,18204,3548,52.613574784699914,3548,65.14665925709382,65.12450790240831
4,3,success,,14.188,14.188,6.847333379089832,18174,3548,37.80131225258545,3548,47.918284631759505,47.9075337049777
4,4,success,,14.08,14.08,6.730120984837413,17901,3521,10.346673937052493,3521,29.152226846234882,29.14246918162912
4,312,success,,14.188,14.188,6.778322106227279,18057,3548,25.19800514345177,3548,42.95212535878244,42.96203703227904
4,620,success,,14.188,14.188,6.762365696951747,17547,3548,7.522889749195894,3548,40.69829513022787,40.698264391073984
4,622,success,,14.188,14.188,6.8909503929317,18096,3548,44.917259971035776,3548,58.42748068011314,58.397194670787094
4,778,success,,14.188,14.188,6.850166933611035,18243,3548,29.742393189308903,3548,45.254900656110735,45.25254938958024
4,1088,success,,14.192,14.192,6.985251154750586,18421,3549,48.487363747817724,3549,66.68915263792073,66.66326005545558
4,1244,success,,14.08,14.08,6.89752502553165,18225,3521,35.474387739214706,3521,50.32087559513257,50.32253595264047
5,2,success,,14.188,14.188,6.7388558853417635,17786,3548,52.887643034912536,3548,66.09808060802703,66.090986410077
5,3,success,,14.188,14.188,7.4302409160882235,18294,3548,38.1770785371166,3548,48.82697943421154,48.8255667391966
5,4,success,,14.08,14.08,6.737148087471724,17380,3521,10.453573686141759,3521,28.941929791575117,28.94191244118689
5,312,success,,14.188,14.188,7.580627836287022,17730,3548,25.362141380371188,3548,43.04173700070493,43.01133659769094
5,620,success,,14.188,14.188,6.903346378356218,17809,3548,7.5727515743189295,3548,40.59691359779657,40.58693572425932
5,622,success,,14.188,14.188,7.010655315592885,17934,3548,45.36450536893385,3548,57.90758468083703,57.895835393042795
5,778,success,,14.188,14.188,7.526982970535755,17566,3548,29.885996733375737,3548,45.55512371583325,45.569894095985234
5,1088,success,,14.192,14.192,6.956095119938254,17817,3549,48.896739150161295,3549,66.64667098382252,66.64035220788736
