configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
1,35.0,1,2,1,4.0,4.0,0,0.0,finite_difference,4,6,66.66666666666667,0.4174744691699743,9,9,0,1.0,True,,True
2,35.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.10202424973249435,9,9,0,1.0,True,,True
3,35.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08826480060815811,9,9,0,1.0,True,,True
4,35.0,1,2,2,8.0,8.0,0,0.0,finite_difference,4,6,66.66666666666667,0.07581483013927937,9,9,0,1.0,True,,True
5,35.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08622836880385876,9,9,0,1.0,True,,True
6,35.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08686868287622929,9,9,0,1.0,True,,True
7,35.0,1,2,5,20.0,20.0,0,0.0,finite_difference,4,6,66.66666666666667,0.07320480234920979,9,9,0,1.0,True,,True
8,35.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08603043667972088,9,9,0,1.0,True,,True
9,35.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.08610613271594048,9,9,0,1.0,True,,True
10,35.0,1,4,1,4.0,12.0,0,0.0,finite_difference,16,20,80.0,0.1618257761001587,9,9,0,1.0,True,,True
11,35.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.16618485003709793,9,9,0,1.0,True,,True
12,35.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.16763043776154518,9,9,0,1.0,True,,True
13,35.0,1,4,2,8.0,24.0,0,0.0,finite_difference,16,20,80.0,0.1503994632512331,9,9,0,1.0,True,,True
14,35.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.16598868556320667,9,9,0,1.0,True,,True
15,35.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.16849801689386368,9,9,0,1.0,True,,True
16,35.0,1,4,5,20.0,60.0,0,0.0,finite_difference,16,20,80.0,0.15178959630429745,9,9,0,1.0,True,,True
