label,degree,threshold,nonzero_terms,derivative_r2_train,derivative_r2_test_median,derivative_r2_test_min,derivative_r2_test_max
deg2_thr1000,2,1000.0,12,0.3500035264100072,0.33453225717565277,0.2633360223741329,0.3814478316735108
deg2_thr10000,2,10000.0,9,0.34980969032148806,0.33431591964900564,0.2635422801296488,0.3809149489892269
deg2_thr20000,2,20000.0,7,0.3493671299919328,0.33409224520967373,0.26330223644386036,0.3801044086803497
deg2_thr50000,2,50000.0,4,0.3468702353699183,0.3331642273760224,0.261747048047449,0.3788723214464616
deg3_thr1000,3,1000.0,20,0.3557555385148295,0.3421184152768979,0.2614949657267338,0.3858332284834546
deg3_thr10000,3,10000.0,17,0.35579332591748547,0.34210641731758,0.26159894018268093,0.38578083238478755
deg3_thr20000,3,20000.0,11,0.3541748561125509,0.3381071851071491,0.2627666645154274,0.3819487796447199
deg3_thr50000,3,50000.0,6,0.3500345160462112,0.334809362166388,0.26196870425352015,0.37534953985350056
deg5_thr1000,5,1000.0,41,0.3575584583178749,0.3427362783523192,0.2572662637722456,0.3882218921201094
deg5_thr10000,5,10000.0,20,0.3568387574847076,0.34301379427318374,0.2579486588265163,0.38643356775890714
deg5_thr20000,5,20000.0,16,0.3564601201229608,0.3425924088708935,0.25801607945305766,0.3840195968801301
deg5_thr50000,5,50000.0,6,0.3500345160462112,0.334809362166388,0.26196870425352015,0.37534953985350056
deg7_thr1000,7,1000.0,69,0.3577133296491533,0.3424540206670759,0.25631808571075027,0.3879830418597394
deg7_thr10000,7,10000.0,21,0.3568242280671563,0.3430125573667188,0.25760839216311315,0.3860038733729336
deg7_thr20000,7,20000.0,12,0.35419260630863175,0.33803467651896296,0.2628716265113968,0.3819916806186693
deg7_thr50000,7,50000.0,6,0.3500345160462112,0.334809362166388,0.26196870425352015,0.37534953985350056
deg9_thr1000,9,1000.0,100,0.3578295436792733,0.3417428364747039,0.25630153421956964,0.38830262173661734
deg9_thr10000,9,10000.0,20,0.35678266909307554,0.3428583483422988,0.2580271060868074,0.3855531996458516
deg9_thr20000,9,20000.0,12,0.35419260630863175,0.33803467651896296,0.2628716265113968,0.3819916806186693
deg9_thr50000,9,50000.0,7,0.3515312347002706,0.3347138355049362,0.26233887588159105,0.3750774031201423
