threshold,degree,n_success,zero_term_configs,mean_nonzero_terms,mean_utilization_pct,sim_n_trials,sim_success_pct,sim_median_rmse_uv,mean_linear_terms,mean_quadratic_terms,mean_cubic_terms
0.1,1,216,0,35,100.0,1944,77.2,,13.3,18.3,1.7
0.1,2,216,0,150,100.0,1944,77.2,,13.3,18.3,1.7
0.1,3,216,0,496,100.0,1944,77.2,,13.3,18.3,1.7
100,1,216,0,30.9,85.0,864,80.2,50.55,13.3,18.3,1.7
100,2,216,0,149.3,99.6,864,80.2,50.55,13.3,18.3,1.7
100,3,216,0,492.2,99.5,864,80.2,50.55,13.3,18.3,1.7
1000,1,216,0,29.1,78.4,1944,74.2,53.25,13.3,18.3,1.7
1000,2,216,0,141.1,95.8,1944,74.2,53.25,13.3,18.3,1.7
1000,3,216,0,461.0,95.5,1944,74.2,53.25,13.3,18.3,1.7
10000,1,216,0,26.2,73.2,864,76.4,47.91,12.0,17.5,1.7
10000,2,216,0,73.5,63.6,864,76.4,47.91,12.0,17.5,1.7
10000,3,216,0,225.5,62.9,864,76.4,47.91,12.0,17.5,1.7
