threshold,degree,lowpass_hz,fit_success_count,mean_nonzero_terms,mean_possible_terms,mean_utilization_pct,sim_trial_success_pct,config_allok_pct,median_x0_rmse_uv
0.1,1,35.0,216,35,35,100.0,100.0,61.11,
0.1,1,80.0,216,35,35,100.0,100.0,61.11,
0.1,2,35.0,216,150,150,100.0,84.57,61.11,
0.1,2,80.0,216,150,150,100.0,69.44,61.11,
0.1,3,35.0,216,496,496,100.0,49.07,61.11,
0.1,3,80.0,216,496,496,100.0,59.88,61.11,
100,1,35.0,216,30.25,35,82.32,100.0,60.65,53.93
100,1,80.0,216,31.61,35,87.67,100.0,60.65,52.02
100,2,35.0,216,149.58,150,99.73,85.8,60.65,53.65
100,2,80.0,216,148.97,150,99.39,68.21,60.65,56.62
100,3,35.0,216,492.06,496,99.55,48.15,60.65,57.6
100,3,80.0,216,492.31,496,99.4,59.57,60.65,45.97
1000,1,35.0,216,29.89,35,80.11,100.0,60.19,54.41
1000,1,80.0,216,28.36,35,76.69,100.0,60.19,52.34
1000,2,35.0,216,140.58,150,95.38,74.69,60.19,51.02
1000,2,80.0,216,141.69,150,96.13,66.67,60.19,52.49
1000,3,35.0,216,460.44,496,95.58,46.91,60.19,60.56
1000,3,80.0,216,461.5,496,95.5,56.79,60.19,46.11
